Date,ACN
2015-01-05,-0.0168841708623374
2015-01-06,-0.007212898379029498
2015-01-07,0.02098902343229936
2015-01-08,0.015249436671839867
2015-01-09,-0.0011133209554652357
2015-01-12,-0.0030067978457807287
2015-01-13,0.0035749797486139823
2015-01-14,-0.011688846395268349
2015-01-15,-0.0068712409872701
2015-01-16,0.008166702635993728
2015-01-20,-0.003037309502706864
2015-01-21,-0.0031601235515759107
2015-01-22,0.013131108329124785
2015-01-23,-0.003128343260828448
2015-01-26,-0.0015691820544374568
2015-01-27,-0.03277958239876311
2015-01-28,-0.020891517450201347
2015-01-29,0.015173334088439905
2015-01-30,-0.01879952710848387
2015-02-02,0.02142085688615869
2015-02-03,0.02435066859123869
2015-02-04,-0.006597122035342129
2015-02-05,0.012937751040768886
2015-02-06,-0.0036169031239755567
2015-02-09,-0.008962048694368008
2015-02-10,0.0018318455414954027
2015-02-11,0.005027300310052496
2015-02-12,0.0128466589496532
2015-02-13,0.007857256459611106
2015-02-17,-0.005457372860156018
2015-02-18,0.0014557923968641084
2015-02-19,0.009392882765838051
2015-02-20,0.002437074604909828
2015-02-23,0.0008841913137462853
2015-02-24,0.0030916850229927295
2015-02-25,-0.0027519356827261365
2015-02-26,-0.003311215123417921
2015-02-27,-0.002990285820790639
2015-03-02,0.01277354110569573
2015-03-03,-0.0037287536895804774
2015-03-04,0.0007706989613660564
2015-03-05,0.012539490633397765
2015-03-06,-0.01499162220397654
2015-03-09,0.0013235036905236974
2015-03-10,-0.03006961119493512
2015-03-11,-0.013626795675731884
2015-03-12,0.015427076578869992
2015-03-13,-0.0037413553693408375
2015-03-16,0.011835662678548742
2015-03-17,-0.0007875308400202563
2015-03-18,0.023525643398083274
2015-03-19,-0.008137968385674488
2015-03-20,0.01430287771595462
2015-03-23,0.0006558923979032016
2015-03-24,-0.023268521329816938
2015-03-25,-0.013421346135072287
2015-03-26,0.06756627768436863
2015-03-27,-0.0024425295671078873
2015-03-30,0.005109345643307339
2015-03-31,-0.007731067215880794
2015-04-01,-0.0013874815658454498
2015-04-02,0.006626391399486176
2015-04-06,0.016033504364966644
2015-04-07,0.007315319019725042
2015-04-08,-0.0026213778313923797
2015-04-09,0.0036791399228630617
2015-04-10,-0.008170015082626825
2015-04-13,-0.012672674057794486
2015-04-14,0.0034225181024341023
2015-04-15,0.003730997271324421
2015-04-16,-0.0010620640328788955
2015-04-17,-0.01775450498027864
2015-04-20,0.009525079580738893
2015-04-21,-0.0028953588409469377
