Date,MSI
2015-01-05,-0.021801660050956073
2015-01-06,-0.008453762625806993
2015-01-07,-0.001239844727519701
2015-01-08,0.015520639158292715
2015-01-09,-0.004890545398077761
2015-01-12,-0.011672798320680577
2015-01-13,-0.0037294157988042587
2015-01-14,-0.005459832820453481
2015-01-15,-0.005488953326838408
2015-01-16,0.010093321792554288
2015-01-20,-0.0004688202018630072
2015-01-21,0.004530208136012348
2015-01-22,0.016327077390923206
2015-01-23,0.0018360310555500803
2015-01-26,0.003512033516198443
2015-01-27,-0.011717671039947919
2015-01-28,-0.016938831466341675
2015-01-29,-0.0001567401679618552
2015-01-30,-0.022246535272066326
2015-02-02,0.006409341288528436
2015-02-03,0.019105064688138107
2015-02-04,-0.001093488564106182
2015-02-05,0.0009385449392356193
2015-02-06,0.010312402016779743
2015-02-09,0.04825226831799467
2015-02-10,0.00649159704881086
2015-02-11,0.005130699479051426
2015-02-12,0.020854501611223375
2015-02-13,-0.0012857463045151674
2015-02-17,-0.001716665082803992
2015-02-18,-0.009599972467425166
2015-02-19,-0.0013020501241107763
2015-02-20,0.011588838990346906
2015-02-23,-0.01718463373381096
2015-02-24,-0.0014568833064403375
2015-02-25,-0.007442314326848498
2015-02-26,0.006616268360950972
2015-02-27,-0.007740984267777806
2015-03-02,0.01398312147968106
2015-03-03,-0.01088706080539703
2015-03-04,-0.007337796000891239
2015-03-05,0.004287421811769443
2015-03-06,-0.01634029179869234
2015-03-09,-0.0037415106935233533
2015-03-10,-0.018626817737837253
2015-03-11,0.004923765910933131
2015-03-12,-0.005359232817518045
2015-03-13,-0.0024629511122005177
2015-03-16,0.016358199393779582
2015-03-17,-0.008199523916276319
2015-03-18,0.020361391649797556
2015-03-19,-0.004651513263725704
2015-03-20,0.007386764658512401
2015-03-23,-0.004638983870410618
2015-03-24,-0.0043595572751188305
2015-03-25,-0.013287053253993153
2015-03-26,0.001071149374253455
2015-03-27,-0.0006113221324454132
2015-03-30,0.015448308199389027
2015-03-31,0.004217478128979213
2015-04-01,0.0
2015-04-02,-0.06239696346687995
2015-04-06,-0.016477434588541895
2015-04-07,0.008295459653467452
2015-04-08,0.006936479998394196
2015-04-09,-0.0016019385044842016
2015-04-10,0.0033698302425317905
2015-04-13,-0.00895579334235419
2015-04-14,-0.0009681425238489139
2015-04-15,-0.0014539123758192662
2015-04-16,0.0006469944947127271
2015-04-17,-0.019075235753971076
2015-04-20,0.007910538124471289
2015-04-21,0.004414413690572161
2015-04-22,0.0026046284021403743
2015-04-23,-0.01217718046448224
2015-04-24,-0.004437928905254851
2015-04-27,0.006768999554013
2015-04-28,-0.00475569393933839
2015-04-29,-0.015653337899277142
2015-04-30,0.00016745577401700018
2015-05-01,0.008870123836918653
2015-05-04,0.006635834358122761
2015-05-05,-0.034442869627683725
2015-05-06,0.0027306498050887473
2015-05-07,0.02144676557756031
2015-05-08,0.00966483058675105
2015-05-11,-0.013038067012758114
2015-05-12,-0.006354597246650329
2015-05-13,-0.002860940955802249
2015-05-14,0.009113970166111374
2015-05-15,-0.008195454320621298
2015-05-18,0.013828165405813664
2015-05-19,-0.005322764292021831
2015-05-20,0.0
2015-05-21,-0.00016721235592254136
2015-05-22,-0.0021741995688245863
2015-05-26,-0.009218940059547265
2015-05-27,-0.0008458212084977434
2015-05-28,0.009651211395536041
2015-05-29,-0.010565316961398952
2015-06-01,0.01101709413922114
2015-06-02,-0.007711941208493611
2015-06-03,0.0048996668509877495
2015-06-04,-0.011432522265169887
2015-06-05,-0.0032309129828649308
2015-06-08,-0.009043112044024415
2015-06-09,-0.0030992668116478495
2015-06-10,0.010190203797068254
2015-06-11,0.006878684149128178
2015-06-12,-0.01537168773712061
2015-06-15,0.005204147613441457
2015-06-16,0.0039688705660931856
2015-06-17,-0.0036095164770182375
2015-06-18,0.007245107250503979
2015-06-19,-0.00582304915763443
2015-06-22,0.020155224662377735
2015-06-23,-0.0016886753775130492
2015-06-24,-0.014039365414769911
2015-06-25,0.00102950921421896
2015-06-26,0.0005138795486310244
2015-06-29,-0.021239886513214068
2015-06-30,0.003499978703625839
2015-07-01,0.004534493881118262
2015-07-02,-0.001562412460081819
2015-07-06,-0.00504286387533015
2015-07-07,0.004718757967633325
2015-07-08,-0.012175894773549967
2015-07-09,0.002641161874455511
2015-07-10,0.009483608541387412
2015-07-13,0.01652749950193
2015-07-14,0.0029094550346557835
2015-07-15,0.004948528768949911
2015-07-16,0.0067927078663743146
2015-07-17,-0.007421414931881087
2015-07-20,0.009346263455750403
2015-07-21,0.00286194289017061
2015-07-22,-0.0036932275178931384
2015-07-23,-0.008424957830277191
2015-07-24,0.011045251747369145
2015-07-27,-0.01327747174749172
2015-07-28,0.006813303557877903
2015-07-29,0.007951438936338429
2015-07-30,0.00469960078368814
2015-07-31,0.005011562263861569
2015-08-03,-0.0066491596763869065
2015-08-04,0.007697701977019689
2015-08-05,0.06343386920128147
2015-08-06,-0.0037474484050458168
2015-08-07,0.006112861231291955
2015-08-10,-0.00311557541926899
2015-08-11,-0.010001700640724143
2015-08-12,0.01973125002387821
2015-08-13,-0.004024474187062088
2015-08-14,0.009947086246534065
2015-08-17,0.0044629379158245275
2015-08-18,0.007660264492102664
2015-08-19,-0.006385670540043131
2015-08-20,-0.02234122367416369
2015-08-21,-0.02253873944494067
2015-08-24,-0.026581068836516675
2015-08-25,-0.005757644817953822
2015-08-26,0.04467212263773157
2015-08-27,0.018213897320427108
2015-08-28,0.0040440870181446265
2015-08-31,0.004182847098159748
2015-09-01,-0.014964714108285704
