Date,CB
2015-01-05,-0.016340473922647814
2015-01-06,-0.00879475577709199
2015-01-07,0.014249848043474511
2015-01-08,0.016170841203207997
2015-01-09,-0.014174105993197683
2015-01-12,-0.01208453795718012
2015-01-13,0.0015180725841570375
2015-01-14,-0.020682947046370193
2015-01-15,-0.00027282372555959
2015-01-16,0.017573946233368165
2015-01-20,-0.011453999826885775
2015-01-21,0.0006334379944248347
2015-01-22,0.026144462048494965
2015-01-23,-0.00484883979388917
2015-01-26,0.00017741344256783087
2015-01-27,-0.014172051260167962
2015-01-28,-0.01796939681387144
2015-01-29,0.007593956274138947
2015-01-30,-0.01970406008170167
2015-02-02,0.01250452190572271
2015-02-03,0.015552085200858157
2015-02-04,0.005494993486789612
2015-02-05,0.013259328427119632
2015-02-06,-0.0019452773931584177
2015-02-09,-0.00806169327289874
2015-02-10,-0.0019647427598999956
2015-02-11,0.006353641587338643
2015-02-12,0.00444576192841617
2015-02-13,0.0007970932396783592
2015-02-17,0.0076071553366137135
2015-02-18,-0.0017555534865698608
2015-02-19,0.001846494989936609
2015-02-20,0.0050914692609800305
2015-02-23,-0.00820970013336475
2015-02-24,0.008365380982341852
2015-02-25,-0.0024448485613686177
2015-02-26,0.004814716736193159
2015-02-27,-0.0067086136512388705
2015-03-02,0.003157617774356858
2015-03-03,-0.004721314021046696
2015-03-04,-0.010806056314703105
2015-03-05,0.0052400437222568375
2015-03-06,-0.01068998363482021
2015-03-09,0.007590800944491605
2015-03-10,-0.0241072531327301
2015-03-11,0.006448104735152782
2015-03-12,0.016874414550434924
2015-03-13,-0.008430295094678852
2015-03-16,0.020225702994959738
2015-03-17,-0.005613760971932558
2015-03-18,0.01226127266008481
2015-03-19,-0.009324463126625937
2015-03-20,-0.0012315953015582526
2015-03-23,0.0
2015-03-24,-0.010480893921388734
2015-03-25,-0.006764712939306805
2015-03-26,-0.0029570245926380245
2015-03-27,0.002621813998841871
2015-03-30,0.011812589961564646
2015-03-31,-0.006416984228147071
2015-04-01,-0.004484527229090873
2015-04-02,0.0018920579518151293
2015-04-06,0.0005397934424895556
2015-04-07,0.0008083781953087676
2015-04-08,-0.0009877749422125826
2015-04-09,0.004674833599881856
2015-04-10,0.0012527366795291872
2015-04-13,0.000357417748339417
2015-04-14,-0.0002678225644445753
2015-04-15,-0.0003574686249605552
2015-04-16,0.0044693754363231974
2015-04-17,-0.01984519297073495
2015-04-20,0.009260930668174572
2015-04-21,-0.019341368552129867
2015-04-22,-0.010549650970697821
2015-04-23,0.0041722248759483715
2015-04-24,0.0018464939944637937
2015-04-27,-0.00580598792979381
2015-04-28,0.008157405432763332
2015-04-29,-0.006620198096926488
2015-04-30,-0.009718856708897605
2015-05-01,0.005981908058531715
2015-05-04,-0.0017651964737426251
2015-05-05,-0.0033506378994510033
2015-05-06,-0.0014944578968074662
2015-05-07,0.006827536406097678
2015-05-08,0.010497040347681175
2015-05-11,-0.004596418920888801
2015-05-12,-0.011359425387319266
2015-05-13,0.0014011493669403574
2015-05-14,0.012966566781447808
2015-05-15,-0.004051778599893474
2015-05-18,0.0054552458993482045
2015-05-19,0.0018394483121846328
2015-05-20,0.0015605326291174837
2015-05-21,-0.0019249981621154433
2015-05-22,-0.002203754472118624
2015-05-26,-0.01730166674987399
2015-05-27,0.005338090499340087
2015-05-28,0.0021427126993283085
2015-05-29,-0.010225189488169084
2015-06-01,-0.0010327776039402714
2015-06-02,0.0
2015-06-03,0.004794535117439436
2015-06-04,-0.010011309444535765
2015-06-05,-0.010679664659633992
2015-06-08,-0.013183129973305618
2015-06-09,0.002129770101528816
2015-06-10,0.014876617167222328
2015-06-11,0.008851847729542062
2015-06-12,-0.004811726133805094
2015-06-15,-0.00047394285731361396
2015-06-16,0.008062432153399746
2015-06-17,0.0004702879654356895
2015-06-18,0.012508227260862537
2015-06-19,-0.015326000841696996
2015-06-22,0.0011320908209409009
2015-06-23,0.0026379465345529596
2015-06-24,-0.011088987804701578
2015-06-25,-0.023567675620125073
2015-06-26,0.013616760205801492
2015-06-29,-0.018072937089561036
2015-06-30,0.0007877017335240488
2015-07-01,0.007966042863382983
2015-07-02,0.012196520703927627
2015-07-06,-0.003952194642921958
2015-07-07,0.010935822023301345
2015-07-08,-0.017423112213958314
2015-07-09,0.008281351986540786
2015-07-10,0.0033819560170349483
2015-07-13,0.0037556899385713383
2015-07-14,-0.005756263411209828
2015-07-15,0.0014473752288943764
2015-07-16,0.0055886775572908665
2015-07-17,-0.002107809275790906
2015-07-20,0.0007678699164668235
2015-07-21,-0.0032621807144161963
2015-07-22,0.026087610482437906
2015-07-23,-0.0013134044348748208
2015-07-24,-9.381434590971516e-05
2015-07-27,0.005261280156265702
2015-07-28,0.005794167070833023
2015-07-29,0.003437931094995683
2015-07-30,0.005556183061170339
2015-07-31,0.0016575005143366628
2015-08-03,0.01811170770966175
2015-08-04,-0.0033410704586428475
2015-08-05,0.006885923301356733
2015-08-06,-0.008908428960501702
2015-08-07,-0.002542309155131761
2015-08-10,0.002275830220163977
2015-08-11,-0.0011804701097337666
2015-08-12,-0.007728824201960305
2015-08-13,-0.0013746826575813387
2015-08-14,0.00633136588381511
2015-08-17,0.002917864242659496
2015-08-18,0.004454899451293626
2015-08-19,-0.006788342100020661
2015-08-20,-0.020322699539996103
2015-08-21,-0.022604639021396644
2015-08-24,-0.0356904865118145
2015-08-25,-0.01579156595043274
2015-08-26,0.021359595174600177
2015-08-27,0.017574904189554763
2015-08-28,-0.008973022530958774
2015-08-31,-0.005354847442010868
