Date,CPB
2015-01-05,-0.015227286026910147
2015-01-06,-0.006693058198122381
2015-01-07,0.04414529457566685
2015-01-08,0.020211377848961876
2015-01-09,-0.0028553743723369607
2015-01-12,0.0033041150553680954
2015-01-13,-0.0004391132923879937
2015-01-14,0.0010981495820217013
2015-01-15,0.011189093444567089
2015-01-16,0.00998059049727873
2015-01-20,0.008378082232159967
2015-01-21,0.00362159890466085
2015-01-22,0.006792712050443184
2015-01-23,-0.015391116894110768
2015-01-26,0.001285012958617271
2015-01-27,-0.004491265485210505
2015-01-28,-0.01568196414835188
2015-01-29,0.013967670837041979
2015-01-30,-0.01549719871568711
2015-02-02,0.012899108610755272
2015-02-03,0.00906521711890984
2015-02-04,0.014545496416287662
2015-02-05,0.010330510004048055
2015-02-06,0.003965372647122489
2015-02-09,-0.011639722245593509
2015-02-10,0.010094337381945095
2015-02-11,-0.004164069868734632
2015-02-12,-0.002299886737970769
2015-02-13,-0.017602774365694462
2015-02-17,0.00042654302134970123
2015-02-18,0.008955609828114275
2015-02-19,-0.014581741049576213
2015-02-20,0.00021413196255681832
2015-02-23,0.012221579134071403
2015-02-24,0.00021194838922578008
2015-02-25,-0.0010591820928150808
2015-02-26,-0.014839684927030028
2015-02-27,0.002582291959575489
2015-03-02,0.0034342633868647
2015-03-03,0.004278080540846441
2015-03-04,-0.013631383532204167
2015-03-05,-0.000648088213842879
2015-03-06,-0.025496863907747858
2015-03-09,0.008647327178079589
2015-03-10,-0.007474308731434842
2015-03-11,-0.009966413542867425
2015-03-12,0.012975136036507351
2015-03-13,0.0011046789997235518
2015-03-16,-0.0015449371814804103
2015-03-17,-0.0022090522518690703
2015-03-18,0.006199624617176047
2015-03-19,-0.003080306548688516
2015-03-20,0.009933524860024745
2015-03-23,-0.0013116965123476376
2015-03-24,-0.006565710526817314
2015-03-25,0.00022021432644181438
2015-03-26,-0.007929225167350507
2015-03-27,0.01887199020809205
2015-03-30,0.012202926701363026
2015-03-31,0.002153026194773311
2015-04-01,0.00042956675432215263
2015-04-02,0.0012883735646460615
2015-04-06,0.0006433013082307593
2015-04-07,-0.011572884117223237
2015-04-08,0.0023847021130589674
2015-04-09,0.006359564181095179
2015-04-10,-0.008439938082391851
2015-04-13,0.0065475119328815
2015-04-14,0.008455840233060119
2015-04-15,0.0012905714015869485
2015-04-16,-0.0012889079738166442
2015-04-17,-0.006879891768271085
2015-04-20,0.004546532648945778
2015-04-21,-0.0075432963997400515
2015-04-22,0.0013028936281718195
2015-04-23,-0.0008671623861608024
2015-04-24,-0.005644064504699675
2015-04-27,-0.004584019221734015
2015-04-28,-0.0028509475512324967
2015-04-29,-0.011655545067492779
2015-04-30,-0.0051180950361394695
2015-05-01,0.018787778031539748
2015-05-04,0.004171041110043516
2015-05-05,-0.007652257262900086
2015-05-06,-0.0041852842583030014
2015-05-07,0.006194429999716977
2015-05-08,0.007695772471330686
2015-05-11,-0.0006549169727463333
2015-05-12,0.002838498142518242
2015-05-13,-0.002612823675601783
2015-05-14,0.014626157733468537
2015-05-15,0.00795976495574191
2015-05-18,-0.001280422337976872
2015-05-19,-0.001496152015766583
2015-05-20,-0.0004278079906184784
2015-05-21,0.0049249842632177465
2015-05-22,0.020881964931970476
2015-05-26,-0.003548399237803146
2015-05-27,0.007960174204366899
2015-05-28,0.005610699217567516
2015-05-29,-0.0010333135567727192
2015-06-01,-0.0004137963341288575
2015-06-02,-0.013451778411891713
2015-06-03,-0.006083276739939025
2015-06-04,-0.006543132432549004
2015-06-05,-0.011259684121248448
2015-06-08,-0.0055868419807760805
2015-06-09,0.006266666077694216
2015-06-10,0.005797328197661766
2015-06-11,-0.00021341193875845654
2015-06-12,-0.0021355823343160996
2015-06-15,-0.00855937732198564
2015-06-16,0.026332924477163955
2015-06-17,0.004416384032934095
2015-06-18,0.010050065391442153
2015-06-19,0.0006217637074068527
2015-06-22,0.0006214859519524385
2015-06-23,-0.0002068524373750602
2015-06-24,-0.0057982769295965575
2015-06-25,-0.006457053714301719
2015-06-26,0.003144562165735776
2015-06-29,-0.01755467603430194
2015-06-30,0.013613651072165611
2015-07-01,0.003987659805062327
2015-07-02,-0.00376243228131401
2015-07-06,-0.008183053505722793
2015-07-07,0.015020399092772418
2015-07-08,-0.008545485572671763
2015-07-09,-0.002920098930747961
2015-07-10,0.010611331005516256
2015-07-13,0.004409620066680109
2015-07-14,0.006272376458865692
2015-07-15,-0.011219923814878019
2015-07-16,0.009035553624348713
2015-07-17,-0.0035399329881998787
2015-07-20,-0.005015716011743998
2015-07-21,-0.0031501876374741
2015-07-22,0.01812015564478986
2015-07-23,-0.0024833567249306077
2015-07-24,0.0016598007979748974
2015-07-27,0.0
2015-07-28,0.014912806660300815
2015-07-29,-0.005918346395588969
2015-07-30,0.009443582946728535
2015-07-31,0.0028472181109506778
2015-08-03,0.011559725477113147
2015-08-04,-0.004009586844262225
2015-08-05,0.00644131211113641
2015-08-06,0.00980004557579428
2015-08-07,-0.00415947962000407
2015-08-10,0.003977792634242805
2015-08-11,-0.003169564096993538
2015-08-12,0.0015895623705053374
2015-08-13,-0.002777629394619785
2015-08-14,0.008754377810569425
2015-08-17,-0.002564090186048529
2015-08-18,-0.006723376675399351
2015-08-19,-0.002388616253040765
2015-08-20,-0.009578900418094172
2015-08-21,-0.02055225219733159
2015-08-24,-0.03291506077937678
2015-08-25,-0.0182938365945855
2015-08-26,0.02773579578857155
2015-08-27,0.006113590719788231
2015-08-28,0.0016767151355379095
2015-08-31,0.003975219400212504
2015-09-01,-0.023338565400752298
