Date,DOC
2015-01-05,0.01003361097335742
2015-01-06,0.018984115666398127
2015-01-07,0.021230653604453753
2015-01-08,-0.01336423449386026
2015-01-09,0.0010745833196978971
2015-01-12,0.01589375527874437
2015-01-13,-0.001902486118890434
2015-01-14,0.011226262331606174
2015-01-15,0.008797308968268913
2015-01-16,0.0010384514196715156
2015-01-20,-0.0008297323621728747
2015-01-21,-0.014324370205546999
2015-01-22,0.01158417312577864
2015-01-23,0.002498296685148116
2015-01-26,-0.0012463393246576748
2015-01-27,-0.0027029601472579046
2015-01-28,-0.0016681910292716262
2015-01-29,0.001462134878924104
2015-01-30,-0.013764778362147512
2015-02-02,-0.002325787592560302
2015-02-03,-0.00784232800515361
2015-02-04,-0.03097633433943814
2015-02-05,0.009041274802808363
2015-02-06,-0.03053084180104393
2015-02-09,-0.004107605476928233
2015-02-10,-0.02199846977102282
2015-02-11,-0.002108661062025896
2015-02-12,0.0018782884363859331
2015-02-13,0.004687256418939079
2015-02-17,0.0025656518543346607
2015-02-18,0.013262002972275866
2015-02-19,-0.013547562406989067
2015-02-20,0.011639290654924972
2015-02-23,0.006211945411899844
2015-02-24,-0.03590192181434526
2015-02-25,0.003320701122415226
2015-02-26,-0.01229325947252713
2015-02-27,0.013882378743228063
2015-03-02,-0.004249265929650692
2015-03-03,0.0009480158867829491
2015-03-04,-0.010421464516408463
2015-03-05,0.003829752935792241
2015-03-06,-0.03814986811897758
2015-03-09,0.007437071245659288
2015-03-10,-0.00024591821112374124
2015-03-11,-0.015998308918657722
2015-03-12,0.008754378793557338
2015-03-13,-0.0034714694095347998
2015-03-16,0.00920642957680129
2015-03-17,0.0046841566077235886
2015-03-18,0.02233145671400516
2015-03-19,-0.010081840856386193
2015-03-20,0.02909811415146457
2015-03-23,-0.00047123178882824135
2015-03-24,0.0009429079058356216
2015-03-25,-0.015308542927036317
2015-03-26,0.0009567512319759164
2015-03-27,0.007168386988602338
2015-03-30,0.039383140957777396
2015-03-31,-0.013695202365761383
2015-04-01,0.00902547905237605
2015-04-02,0.008944914156188366
2015-04-06,0.013639245148624246
2015-04-07,-0.008073188481602878
2015-04-08,-0.007008779109335395
2015-04-09,-0.025045446793583448
