Date,TSLA
2015-01-05,-0.04204102817052724
2015-01-06,0.005664237314159992
2015-01-07,-0.0015619306272327549
2015-01-08,-0.0015643062581811584
2015-01-09,-0.018801629106854012
2015-01-12,-0.021532914950603166
2015-01-13,0.010088497728839352
2015-01-14,-0.05659733676235856
2015-01-15,-0.004255528597720826
2015-01-16,0.006254228739435819
2015-01-20,-0.00590461088227523
2015-01-21,0.024175518017267583
2015-01-22,0.02569055090301542
2015-01-23,-0.0016366947705445112
2015-01-26,0.02613147671721605
2015-01-27,-0.0027596300325537504
2015-01-28,-0.03209052877530916
2015-01-29,0.02924214605280495
2015-01-30,-0.007797333058199185
2015-02-02,0.0360511389604945
2015-02-03,0.0351758385028933
2015-02-04,0.0008701251992371262
2015-02-05,0.011164535201252157
2015-02-06,-0.016426056915829212
2015-02-09,0.0005520394593698796
2015-02-10,-0.005471765552931385
2015-02-11,-0.016135698387415576
2015-02-12,-0.04661658846022321
2015-02-13,0.004386864226918918
2015-02-17,0.0028462803614237586
2015-02-18,0.0005383231478952588
2015-02-19,0.035459277020091884
2015-02-20,0.025506564298148016
2015-02-23,-0.04500019733692018
2015-02-24,-0.015578320500655551
2015-02-25,-0.001714777553045277
2015-02-26,0.016833573717678796
2015-02-27,-0.0185820116516362
2015-03-02,-0.02955644716492234
2015-03-03,0.011300918070464405
2015-03-04,0.014431779204036044
2015-03-05,-0.008940979178158281
2015-03-06,-0.03364400833280279
2015-03-09,-0.015473474370690798
2015-03-10,-0.0029337926038629503
2015-03-11,0.017969786081706296
2015-03-12,-0.013781390917263936
2015-03-13,-0.012508496633278132
2015-03-16,0.037205883869277256
2015-03-17,-0.00495657224609003
2015-03-18,0.030709164308927006
2015-03-19,-0.025210528438961433
2015-03-20,0.012420115455768377
2015-03-23,0.007825204316233458
2015-03-24,0.010469325694766773
2015-03-25,-0.036783689389238594
2015-03-26,-0.020020535165919506
2015-03-27,-0.028412417028683246
2015-03-30,0.030108169094502424
2015-03-31,-0.009445338842494988
2015-04-01,-0.0062510704017435526
2015-04-02,0.018177920738268627
2015-04-06,0.06335084074758979
2015-04-07,0.0007385693434276419
2015-04-08,0.02174665976455148
2015-04-09,0.011653015949509848
2015-04-10,0.0038555516327911654
2015-04-13,-0.005310595640134919
2015-04-14,-0.011059221524362783
2015-04-15,0.0017834849910411954
2015-04-16,-0.005437155028403029
2015-04-17,0.0004354513000803806
2015-04-20,-0.007350472676152187
2015-04-21,0.02016856020521529
2015-04-22,0.04789641514821552
2015-04-23,-0.0038279091473925053
2015-04-24,-0.0007776197845633659
2015-04-27,0.060065042656655576
2015-04-28,-0.004621129472000773
2015-04-29,0.00854744301337429
2015-04-30,-0.027532837607318394
2015-05-01,-8.840630703377261e-05
2015-05-04,0.01982033262823535
2015-05-05,0.010585201507501196
2015-05-06,-0.01081772507834955
2015-05-07,0.027643952080381284
2015-05-08,-0.000802367109835278
2015-05-11,0.012171892568897835
2015-05-12,0.021921607801995036
2015-05-13,-0.006374116918974937
2015-05-14,0.0037831669775971744
2015-05-15,0.019418271142708665
2015-05-18,-0.0003617094762363715
2015-05-19,-0.006472295749399448
2015-05-20,-0.011289082211751178
2015-05-21,0.005197378373454464
2015-05-22,0.008590523912465953
2015-05-26,-0.0010898750183484518
2015-05-27,-0.00012128073379813475
2015-05-28,0.016246998689338543
2015-05-29,-0.0025849904207780883
2015-06-01,-0.005382784466743784
2015-06-02,-0.004409611340134401
2015-06-03,0.0025769365731915794
2015-06-04,-0.01232978096437809
2015-06-05,0.013093670696398219
2015-06-08,0.028698768522178453
2015-06-09,-0.00113150446221999
2015-06-10,-0.020703187995237737
2015-06-11,0.0028321502750325855
2015-06-12,-0.0028638677326909834
2015-06-15,-0.0012366685227346297
2015-06-16,0.010943373157369374
2015-06-17,0.028800573289696096
2015-06-18,0.005683373161624372
2015-06-19,0.0023674530537807215
2015-06-22,-0.010361630404811084
2015-06-23,0.030332307745169373
2015-06-24,-0.009339929636816735
2015-06-25,0.013651601690611415
2015-06-26,-0.006324607704336294
2015-06-29,-0.018982328906347767
2015-06-30,0.02381499635902573
2015-07-01,0.003317596250232091
2015-07-02,0.04038639915454456
2015-07-06,-0.001071274437522196
2015-07-07,-0.04232804124569667
2015-07-08,-0.04823057784907436
2015-07-09,0.011609720385955313
2015-07-10,0.004768851945843755
2015-07-13,0.011614881028806812
2015-07-14,0.013312443878506386
2015-07-15,-0.009448430502932648
2015-07-16,0.013452917723576485
2015-07-17,0.029923479333326286
2015-07-20,0.027670547578698246
2015-07-21,-0.054878507378390284
2015-07-22,0.004123425201304931
2015-07-23,-0.0025011922264167596
2015-07-24,-0.0066990980175530845
2015-07-27,-0.046720231391331746
2015-07-28,0.04667806507496031
2015-07-29,-0.003776200204621105
2015-07-30,0.011257673505236987
2015-07-31,-0.0023988239767867015
2015-08-03,-0.023144884928617437
2015-08-04,0.02419330078904558
2015-08-05,0.014458436896063187
2015-08-06,-0.08884613070827718
2015-08-07,-0.014707655017798138
2015-08-10,-0.005649254943673188
2015-08-11,-0.015634065274604314
2015-08-12,0.0033702625495031224
2015-08-13,0.018222278547613824
2015-08-14,0.0026389930841606013
2015-08-17,0.04869422505161958
2015-08-18,0.022471468870960187
2015-08-19,-0.02098032399177252
2015-08-20,-0.05120474567775368
2015-08-21,-0.047113613026361856
2015-08-24,-0.05156653613722739
2015-08-25,0.005299957738899019
2015-08-26,0.021860631008791875
2015-08-27,0.08072407396744574
2015-08-28,0.022593474526899193
2015-08-31,0.00233425311787383
2015-09-01,-0.04187746789935942
