Date,XYL
2015-01-05,-0.06223748847649935
2015-01-06,-0.00588117464611515
2015-01-07,0.007887772519481029
2015-01-08,0.0075462908552155206
2015-01-09,-0.018862741606803457
2015-01-12,-0.02177011701146825
2015-01-13,0.0023122605222840598
2015-01-14,-0.006343780333420201
2015-01-15,-0.006964646981005185
2015-01-16,0.007305807277282694
2015-01-20,-0.0020305341156785506
2015-01-21,0.020348429195614193
2015-01-22,0.0065527959332603025
2015-01-23,-0.004528659110987099
2015-01-26,0.0005687738039674706
2015-01-27,-0.012787752130327124
2015-01-28,-0.013817086374397936
2015-01-29,-0.002918834572493978
2015-01-30,-0.001756197846332741
2015-02-02,0.018768225276720063
2015-02-03,0.01871040652608258
2015-02-04,-0.014128364623771317
2015-02-05,-0.0008598514028897997
2015-02-06,0.009466567721679198
2015-02-09,-0.0022734304410961803
2015-02-10,0.007974951292974097
2015-02-11,-0.003956173583049338
2015-02-12,0.01021284107704723
2015-02-13,0.0166622164256236
2015-02-17,-0.004991632766622733
2015-02-18,-0.0013930266408557213
2015-02-19,-0.004744750979919221
2015-02-20,0.010375920979073472
2015-02-23,-0.006106783971658647
2015-02-24,0.0041893711131444356
2015-02-25,0.0022247523737872754
2015-02-26,-0.00749199213478724
2015-02-27,-0.0019568169160036897
2015-03-02,0.013165065534144427
2015-03-03,-0.0019352968261131531
2015-03-04,-0.011356860306500294
2015-03-05,-0.0030820544240487413
2015-03-06,-0.011523566137097596
2015-03-09,0.002274540443915729
2015-03-10,-0.01560275549025747
2015-03-11,-0.0034579913867613943
2015-03-12,0.017061702270402268
2015-03-13,-0.01592252357797097
2015-03-16,0.012134910538534438
2015-03-17,-0.01027699087774181
2015-03-18,0.03461253482126048
2015-03-19,-0.009200369834683975
2015-03-20,0.012661880836066564
2015-03-23,-0.02472896064425456
2015-03-24,-0.0008547233139324373
2015-03-25,-0.009409628108115742
2015-03-26,-0.002015270956178594
2015-03-27,0.008652930268968406
2015-03-30,0.010866807647730292
2015-03-31,-0.009335341168589362
2015-04-01,0.011136538857075218
2015-04-02,0.010731775241735297
2015-04-06,0.00782288975650891
2015-04-07,0.0
2015-04-08,-0.02273345344119615
2015-04-09,-0.008226859307019718
2015-04-10,0.006865168821808876
2015-04-13,-0.0011365782318172313
2015-04-14,0.0011378715118082194
2015-04-15,0.008238357995570489
2015-04-16,0.009580477065234572
2015-04-17,-0.01925816748772291
2015-04-20,0.009106365018801466
2015-04-21,-0.0028197258036521955
2015-04-22,0.0028276991398819007
2015-04-23,0.012408556132452286
2015-04-24,-0.007520727793178694
2015-04-27,0.01880420312693376
2015-04-28,0.0019285452982455986
2015-04-29,0.007148758074462691
2015-04-30,0.010647172228127166
2015-05-01,0.003241341347385518
2015-05-04,-0.0064618548619226335
2015-05-05,-0.0070463720799694984
2015-05-06,-0.003002144253368977
2015-05-07,0.004379958390217098
2015-05-08,0.005723899709374702
2015-05-11,-0.0024392057060733663
2015-05-12,-0.00869316471404058
2015-05-13,0.008221169881180934
2015-05-14,0.008154605275576543
2015-05-15,-0.007010042465389166
2015-05-18,0.004887448560228602
2015-05-19,-0.0062149336902906915
2015-05-20,0.0008159183619040888
2015-05-21,0.008964955079125092
2015-05-22,-0.004038644680489756
2015-05-26,-0.013813333602432087
2015-05-27,0.0044029711518234205
2015-05-28,0.005479439397258146
2015-05-29,-0.003542137832459047
2015-06-01,0.0008200765523016518
2015-06-02,0.002459040698866044
2015-06-03,0.007359025952277554
2015-06-04,-0.014610415628648954
2015-06-05,-0.0010981765046265135
2015-06-08,-0.006597313177250097
2015-06-09,-0.001106326044586492
2015-06-10,0.011634319767096724
2015-06-11,0.01067843182199213
2015-06-12,-0.010023808698211067
2015-06-15,-0.011494520820432674
2015-06-16,0.009136222865372634
2015-06-17,-0.0019202865198448826
2015-06-18,0.014294010176609806
2015-06-19,-0.012466383277101811
2015-06-22,0.015367452165375939
2015-06-23,0.008107914814131867
2015-06-24,-0.0013402769928969605
2015-06-25,-0.00778524652255308
2015-06-26,-0.0005410658447301264
2015-06-29,-0.018408246070203638
2015-06-30,0.022338584772414682
2015-07-01,-0.0070140340166769954
2015-07-02,-0.002172965926404813
2015-07-06,-0.013068660054739722
2015-07-07,0.003586587600872493
2015-07-08,-0.022264542886903493
2015-07-09,-0.0008441039961893937
2015-07-10,-0.004220314043484552
2015-07-13,0.018931765508226395
2015-07-14,0.01192487345312454
2015-07-15,-0.014798893171261929
2015-07-16,0.001947475297090051
2015-07-17,-0.005830229745431459
2015-07-20,-0.0011171245031756927
2015-07-21,-0.016214789188883416
2015-07-22,-0.005967683571529991
2015-07-23,-0.0088622810596245
2015-07-24,-0.001153545808003087
2015-07-27,-0.00664171912073197
2015-07-28,0.01104667656375291
2015-07-29,0.012938285227946267
2015-07-30,-0.0002838790743873165
2015-07-31,-0.019591069817804785
2015-08-03,-0.019692978024010488
2015-08-04,-0.003249336158502425
2015-08-05,0.004445590407469391
2015-08-06,-0.0061963442379159295
2015-08-07,-0.00534466143341783
2015-08-10,0.017611932785474016
2015-08-11,-0.014960206717690716
2015-08-12,0.0023824290114378144
2015-08-13,-0.0050507171983738
2015-08-14,0.006270417314496068
2015-08-17,0.0020771788807123492
2015-08-18,-0.01066038989656315
2015-08-19,-0.007781954879920061
2015-08-20,-0.014781165088255999
2015-08-21,-0.01806509864353556
2015-08-24,-0.036170794522749516
2015-08-25,-0.014558606028737708
2015-08-26,0.03020376522529178
2015-08-27,0.03154871771694823
2015-08-28,0.010194701343999135
2015-08-31,-0.003347741527326753
