Date,GNRC
2015-01-05,-0.008410597339485126
2015-01-06,-0.003914752217655804
2015-01-07,-0.01572046764191315
2015-01-08,0.01530609136385741
2015-01-09,-0.01201658797377736
2015-01-12,-0.012162826999350118
2015-01-13,0.007387549688419481
2015-01-14,0.004666646321614509
2015-01-15,-0.003981426870623417
2015-01-16,0.009105037941964378
2015-01-20,0.0028609390854783534
2015-01-21,0.0006583010642478015
2015-01-22,0.01644736897141863
2015-01-23,-0.007766921413283279
2015-01-26,0.04392251727210095
2015-01-27,-0.059154348091574716
2015-01-28,-0.004870432032851202
2015-01-29,-0.012013368328406493
2015-01-30,-0.015086651007596319
2015-02-02,0.02583441266702713
2015-02-03,0.010251903501674597
2015-02-04,-0.008382992560457048
2015-02-05,0.009121242279269248
2015-02-06,0.010802421895420133
2015-02-09,0.02028354059162507
2015-02-10,0.017742664658255913
2015-02-11,0.0279352656859293
2015-02-12,0.013485898363959414
2015-02-13,0.005846792831629921
2015-02-17,0.004810616985427174
2015-02-18,-0.013764261454307425
2015-02-19,0.0008090800290947442
2015-02-20,0.01596606553831914
2015-02-23,0.0027849490426414825
2015-02-24,-0.009521911201929356
2015-02-25,-0.0010013866764460033
2015-02-26,0.000400971478255574
2015-02-27,-0.012224460755481226
2015-03-02,0.020288090513810086
2015-03-03,-0.00556775877702731
2015-03-04,-0.00839828400403031
2015-03-05,0.002218201452169666
2015-03-06,-0.011267633092444496
2015-03-09,0.0008140194551116142
2015-03-10,-0.0016267147327827525
2015-03-11,-0.0026476019848856724
2015-03-12,0.013477635919132425
2015-03-13,-0.023775947607905135
2015-03-16,0.0008256122785852416
2015-03-17,0.002062249343363076
2015-03-18,0.0096727972674866
2015-03-19,-0.005095800917284565
2015-03-20,0.0024584906475833
2015-03-23,-0.0008175130855887502
2015-03-24,0.0030681433371149147
2015-03-25,-0.008360518755257451
2015-03-26,0.0
2015-03-27,0.0016450342299061393
2015-03-30,0.007185430001987569
2015-03-31,-0.007541841341722089
2015-04-01,-0.00020534651499704015
2015-04-02,0.0
2015-04-06,0.0016433446149530795
2015-04-07,-0.004101660277413655
2015-04-08,0.005560141065238389
2015-04-09,-0.013106761833841962
2015-04-10,-0.0012450209650036737
2015-04-13,0.007687490622764193
2015-04-14,-0.00041238057244685766
2015-04-15,0.017945522691822813
2015-04-16,-0.018034436011485355
2015-04-17,-0.005777936124365168
2015-04-20,0.007887112198179391
2015-04-21,-0.001853380355079537
2015-04-22,-0.03218488413457454
2015-04-23,-0.01939884566983885
2015-04-24,0.003260902736498039
2015-04-27,0.0034669521586556673
2015-04-28,0.01619520573870159
2015-04-29,-0.012112190356792563
2015-04-30,-0.10324807224046784
2015-05-01,-0.04053726750727871
2015-05-04,-0.00950002670288086
2015-05-05,0.003533553594716743
2015-05-06,0.003521207501406831
2015-05-07,0.009774420419394803
2015-05-08,0.02159342050422941
2015-05-11,0.005587938364649547
2015-05-12,0.000241655868034929
2015-05-13,0.007970966284895908
2015-05-14,0.025401423074978835
2015-05-15,-0.002570708296284363
2015-05-18,-0.0025773338698459325
2015-05-19,-0.008926499197542515
2015-05-20,0.03413136971506403
2015-05-21,-0.007105234143979122
2015-05-22,-0.0073868812806674455
2015-05-26,-0.029534894366597064
2015-05-27,0.011742192279941221
2015-05-28,-0.0023685998561582267
2015-05-29,-0.008072178566237098
2015-06-01,-0.012685466605602325
2015-06-02,0.00678784919507569
2015-06-03,0.0033710424696238306
2015-06-04,-0.011759008526539882
2015-06-05,-0.010684765018170284
2015-06-08,-0.0049091986916918184
2015-06-09,-0.0037000868892791416
2015-06-10,0.007427562307352531
2015-06-11,-0.006389735323375945
2015-06-12,0.0022260735075079197
2015-06-15,-0.007403732321603851
2015-06-16,0.0022376964161194834
2015-06-17,-0.007194267071384819
2015-06-18,-0.003748164022067235
2015-06-19,-0.0025081132881877855
2015-06-22,0.0010058062626834285
2015-06-23,0.0022607422628293516
2015-06-24,0.01077694959226716
2015-06-25,-0.006198859128429213
2015-06-26,0.012973967547663667
2015-06-29,-0.01822654905372012
2015-06-30,-0.002759674075945573
2015-07-01,0.0007546862716194536
2015-07-02,-0.053795863632911445
2015-07-06,-0.023910672842071157
2015-07-07,-0.001905375784522989
2015-07-08,-0.01745294304897005
2015-07-09,0.0038856340380695187
2015-07-10,-0.00331763721204148
2015-07-13,0.013869625813639042
2015-07-14,-0.009575881844785528
2015-07-15,-0.016022149691457432
2015-07-16,0.012071878665635527
2015-07-17,-0.0058252174456849826
2015-07-20,0.00027897102373430904
2015-07-21,-0.0044630363799766926
2015-07-22,0.004763294765591786
2015-07-23,-0.005298450590416448
2015-07-24,-0.02663294076278544
2015-07-27,-0.011232700919834193
2015-07-28,0.01077771372415337
2015-07-29,0.027089297004077473
2015-07-30,-0.006733946910202238
2015-07-31,-0.009322085221195264
2015-08-03,-0.016253199309503863
2015-08-04,-0.00028980642125231437
2015-08-05,-0.01913597608851869
2015-08-06,-0.1398167659938757
2015-08-07,-0.041580789551872055
2015-08-10,0.0308354474425252
2015-08-11,-0.018434806492017675
2015-08-12,0.029766129448145717
2015-08-13,0.0178940284693776
2015-08-14,0.01622716509379174
2015-08-17,-0.0073186732289781675
2015-08-18,0.017761417021961545
2015-08-19,-0.004609854893919185
2015-08-20,-0.015547446922644648
2015-08-21,-0.017473133527029172
2015-08-24,-0.03351571648110352
2015-08-25,-0.012031144721662446
2015-08-26,0.07378221562726517
2015-08-27,0.019346228571115898
2015-08-28,-0.007853395789016004
2015-08-31,0.01978893098643897
2015-09-01,-0.013906866239158155
