Date,TMUS
2015-01-05,-0.01355312450633428
2015-01-06,-0.002227906035111582
2015-01-07,0.05135829567848549
2015-01-08,0.027256683823839722
2015-01-09,0.00792550906527989
2015-01-12,0.000683866166226732
2015-01-13,0.006832851137439588
2015-01-14,0.003393406134396759
2015-01-15,-0.013189089562154477
2015-01-16,-0.0013708119892411608
2015-01-20,0.013726802581682573
2015-01-21,0.018280399842037554
2015-01-22,0.013962639949851363
2015-01-23,-0.011147527346997088
2015-01-26,0.01657827464591266
2015-01-27,0.0
2015-01-28,-0.0185909276334445
2015-01-29,-0.017946325104036154
2015-01-30,0.021319972764069384
2015-02-02,0.0053014980100003495
2015-02-03,0.01812790382336349
2015-02-04,-0.004532275861448332
2015-02-05,0.01495930067145812
2015-02-06,0.003204156377232703
2015-02-09,-0.007345965593070325
2015-02-10,0.007078465208852247
2015-02-11,-0.001277839734717734
2015-02-12,0.010556621279998346
2015-02-13,0.005064869256024895
2015-02-17,0.00031494754101069056
2015-02-18,-0.023929463114476746
2015-02-19,0.027419415339928976
2015-02-20,0.0031397097062342283
2015-02-23,-0.018466259401611618
2015-02-24,0.0073340651147275615
2015-02-25,0.018993306187585768
2015-02-26,0.009009060509926892
2015-02-27,0.01693339603220312
2015-03-02,-0.0021193161101215052
2015-03-03,-0.0060678283931034915
2015-03-04,-0.002441900877372838
2015-03-05,0.0036718774335615656
2015-03-06,-0.00243904229541414
2015-03-09,0.00916874171469062
2015-03-10,-0.019987884262335
2015-03-11,-0.0077256890670734935
2015-03-12,0.0012457880578833347
2015-03-13,-0.0034215022764245706
2015-03-16,0.013420777490310787
2015-03-17,0.006159396217350954
2015-03-18,0.005815851463951693
2015-03-19,0.010346972694310397
2015-03-20,-0.0018072716118727739
2015-03-23,0.00030197388847374995
2015-03-24,-0.005128345040147142
2015-03-25,-0.01940590088874583
2015-03-26,0.0037107239443783246
2015-03-27,-0.002464650148981451
2015-03-30,-0.0024706187417213865
2015-03-31,-0.018885512226230028
2015-04-01,-0.0015777192924799621
2015-04-02,0.04171921667001599
2015-04-06,0.00364086333957081
2015-04-07,-0.003022849022184082
2015-04-08,-0.006367526912688826
2015-04-09,-0.011901230930488005
2015-04-10,-0.009882535424948546
2015-04-13,-0.017779217472383424
2015-04-14,0.012067318419066497
2015-04-15,0.00439278611080085
2015-04-16,0.0015621304785948809
2015-04-17,0.0009357675706007651
2015-04-20,0.018697244521879375
2015-04-21,0.020189720844290937
2015-04-22,0.022188922585074433
2015-04-23,0.01026674329512467
2015-04-24,-0.003774297037176799
2015-04-27,-0.007286771636650813
2015-04-28,-0.0026422861189167035
2015-04-29,0.019134541121738735
2015-04-30,-0.016753303093895333
2015-05-01,-0.005581781279380249
2015-05-04,0.008862723897303804
2015-05-05,-0.010248819315790691
2015-05-06,-0.014792977546311259
2015-05-07,0.0
2015-05-08,0.01411399696231963
2015-05-11,0.005922518346207273
2015-05-12,0.017368235004349142
2015-05-13,-0.018229201774421222
2015-05-14,0.004420913626250078
2015-05-15,0.009389625515572986
2015-05-18,0.012500163610237758
2015-05-19,-0.012345838607735415
2015-05-20,0.02354655778286796
2015-05-21,0.029536946925878382
2015-05-22,0.011862225032331919
2015-05-26,0.05098147380007512
2015-05-27,0.0025939257044427233
2015-05-28,-0.008537909684529943
2015-05-29,0.014613678879147551
2015-06-01,0.0002570902220522253
2015-06-02,-0.006428422500978859
2015-06-03,-0.008022745009507504
2015-06-04,0.026350247689223005
2015-06-05,0.022877420106082402
2015-06-08,-0.018886769094013434
