Date,IBM
2015-01-05,-0.015734899800530444
2015-01-06,-0.02156583209445362
2015-01-07,-0.0065358090524161305
2015-01-08,0.02173475690574822
2015-01-09,0.004355666939941827
2015-01-12,-0.016781024543414014
2015-01-13,0.002365526050266187
2015-01-14,-0.006440986845358765
2015-01-15,-0.007894545307250311
2015-01-16,0.01662628915708453
2015-01-20,-0.0012089415733160802
2015-01-21,-0.0309651737758192
2015-01-22,0.021697803440731578
2015-01-23,0.003088752675493023
2015-01-26,0.0031439265773476333
2015-01-27,-0.017204007639786245
2015-01-28,-0.013795879275181888
2015-01-29,0.02593201694496372
2015-01-30,-0.01395663149548454
2015-02-02,0.008805693335088183
2015-02-03,0.02463502511421911
2015-02-04,-0.009528852283584688
2015-02-05,0.0060522715209609945
2015-02-06,-0.0005741704187305352
2015-02-09,-0.006189365040743078
2015-02-10,0.018041849720139114
2015-02-11,-0.0022702424167067026
2015-02-12,0.0020226457882095428
2015-02-13,0.011859827345691576
2015-02-17,0.0034910622733317354
2015-02-18,0.0076418375612470335
2015-02-19,0.010481596484637867
2015-02-20,-0.0014648260732101903
2015-02-23,-0.004521473259166298
2015-02-24,0.011785613372395698
2015-02-25,-0.012254856745705589
2015-02-26,-0.011915994636921723
2015-02-27,0.006651459116493008
2015-03-02,-0.009015770671804924
2015-03-03,0.0034272412533369323
2015-03-04,-0.009997978895927573
2015-03-05,0.011039921273347186
2015-03-06,-0.0166272625478453
2015-03-09,0.014321693569801841
2015-03-10,-0.01841148656441005
2015-03-11,-0.006400235105562091
2015-03-12,0.007525707473339915
2015-03-13,-0.023420627136752525
2015-03-16,0.018148611086964195
2015-03-17,-0.0007637725358539127
2015-03-18,0.018157124760183718
2015-03-19,0.0
2015-03-20,0.01921055501541913
2015-03-23,0.010744012385028645
2015-03-24,-0.009901135059257715
2015-03-25,-0.02331274851832177
2015-03-26,0.008731096483538758
2015-03-27,-0.0011828877825271755
2015-03-30,0.014151817977113623
2015-03-31,-0.013339758763691312
2015-04-01,-0.00822416985466079
2015-04-02,0.007978418163381962
2015-04-06,0.009909780055807893
2015-04-07,0.00018506022390618604
2015-04-08,-0.0013574165064531574
2015-04-09,0.003027140783544935
2015-04-10,0.003203332300098616
2015-04-13,-0.0029471942871289736
2015-04-14,-0.0004924353061118714
2015-04-15,0.011275233844939558
2015-04-16,-0.006093010649156239
2015-04-17,-0.015079761020029392
2015-04-20,0.03416925608593657
2015-04-21,-0.01143443255880805
2015-04-22,0.006696141004848499
2015-04-23,0.029511508292225486
2015-04-24,-0.0027016622530827705
2015-04-27,0.005595240860073902
2015-04-28,0.018684755503003192
2015-04-29,0.0027596318642990614
2015-04-30,-0.017832710949123642
2015-05-01,0.013894418354028604
2015-05-04,0.0017278853521698334
2015-05-05,-0.005116097674934483
2015-05-06,-0.010071207114383918
2015-05-07,0.005528240638805526
2015-05-08,0.009883339798870683
2015-05-11,-0.009033831577773266
2015-05-12,-0.003331302782638268
2015-05-13,0.010143625473218787
2015-05-14,0.010274192082857736
2015-05-15,-0.004539088474797781
2015-05-18,-0.0011542847173326987
2015-05-19,0.002426926722209899
2015-05-20,0.0016140340058805602
2015-05-21,-0.0024170084419494753
2015-05-22,-0.006461207981340644
2015-05-26,-0.012135904002931408
2015-05-27,0.010991502315239599
2015-05-28,-0.001685909683684872
2015-05-29,-0.011996767520771168
2015-06-01,0.0031240662583778
2015-06-02,-0.0031143368636648017
2015-06-03,0.0015915368334946667
2015-06-04,-0.009063315635414404
2015-06-05,-0.0058202959844729785
2015-06-08,-0.012305499846761103
2015-06-09,0.0020565464577162462
2015-06-10,0.01955547973271865
2015-06-11,-0.0008287297231385216
2015-06-12,-0.010605795743595214
2015-06-15,-0.004371235199209678
2015-06-16,0.003488522842490127
2015-06-17,0.00197798204507027
2015-06-18,0.00646022318522288
2015-06-19,-0.007488926075401081
2015-06-22,0.004431329489943403
2015-06-23,0.005306437611160231
2015-06-24,-0.009785364834382637
2015-06-25,-0.005330295832998377
2015-06-26,-0.0037330381000056923
2015-06-29,-0.015049050101466399
2015-06-30,-0.0019021759586156373
2015-07-01,0.011250554435100035
2015-07-02,0.003647778122012557
2015-07-06,-0.002181009360728736
2015-07-07,0.0016391462379099497
2015-07-08,-0.01115152331659841
2015-07-09,0.004228877436540657
2015-07-10,0.018919750613769493
2015-07-13,0.014555560927942857
2015-07-14,-0.004546322367790179
2015-07-15,-0.00047438903131069576
2015-07-16,0.014656115090736499
2015-07-17,0.008830523002964608
2015-07-20,0.004115802566922122
2015-07-21,-0.05859611785598562
2015-07-22,-0.016679893512170252
2015-07-23,0.008605969307676542
2015-07-24,-0.012242492915784164
2015-07-27,-0.004256866147239746
2015-07-28,0.00616063698399727
2015-07-29,0.006498503208013595
2015-07-30,-0.0008073251909829215
2015-07-31,0.00639918783056781
2015-08-03,-0.020247985989492068
2015-08-04,-0.006994041051052502
2015-08-05,0.0019038602716952013
2015-08-06,-0.0017881298787528754
2015-08-07,-0.007676696730550714
2015-08-10,0.010508070062271502
2015-08-11,-0.007910852137047009
2015-08-12,0.004179981264958776
2015-08-13,-0.00698022871059456
2015-08-14,0.004385090488341792
2015-08-17,0.0035956223212310068
2015-08-18,-0.001918635650708489
2015-08-19,-0.013269018267185184
2015-08-20,-0.008315208254840112
2015-08-21,-0.024956978284793263
2015-08-24,-0.03614382296307839
2015-08-25,-0.017495080703765264
2015-08-26,0.04072045042393402
2015-08-27,0.01254277699696904
2015-08-28,-0.0037698232301514034
2015-08-31,-0.0006080161440413789
2015-09-01,-0.03522904891613088
