Date,FFIV
2015-01-05,-0.004373569525132348
2015-01-06,-0.0233507342645789
2015-01-07,0.012783103477234992
2015-01-08,0.010128459144133517
2015-01-09,0.0018511801346916545
2015-01-12,-0.015166688967281017
2015-01-13,0.005863039483548604
2015-01-14,-0.02385948347332123
2015-01-15,-0.010987239412286298
2015-01-16,0.01666398063502217
2015-01-20,-0.000316738579755782
2015-01-21,-0.0023762617961015087
2015-01-22,-0.09964268143270039
2015-01-23,0.012786569036432383
2015-01-26,-0.0047888152343964485
2015-01-27,-0.00971129116986047
2015-01-28,-0.0030921998053389244
2015-01-29,0.010102862956759662
2015-01-30,-0.02070539165507057
2015-02-02,0.00886935889096141
2015-02-03,-0.0023088725230552276
2015-02-04,-0.02002670254168515
2015-02-05,0.008901029704954544
2015-02-06,0.008192257991667118
2015-02-09,-0.013751236225584051
2015-02-10,0.021819861735611568
2015-02-11,0.008063051814580335
2015-02-12,0.01318449542286615
2015-02-13,0.011885163411813338
2015-02-17,-0.001800403682883589
2015-02-18,0.010220754430019019
2015-02-19,0.005951342729946685
2015-02-20,0.008789730546059582
2015-02-23,-0.006953768656253745
2015-02-24,0.009027248003406818
2015-02-25,-0.006438099104432826
2015-02-26,0.0017672227656044814
2015-02-27,-0.00772847918237296
2015-03-02,0.012190948006504332
2015-03-03,-0.004600162542607422
2015-03-04,0.0019325747702767515
2015-03-05,-0.00016770080027384004
2015-03-06,-0.010568714337604534
2015-03-09,-0.026534395368861707
2015-03-10,-0.022119662762562275
2015-03-11,0.005432368023671641
2015-03-12,0.0012400300066988112
2015-03-13,-0.006015572360831167
2015-03-16,0.00809893225143865
2015-03-17,-0.00600335768807847
2015-03-18,0.01492139941219972
2015-03-19,0.002537857040752156
2015-03-20,0.015625008324671175
2015-03-23,-0.00799312692197962
2015-03-24,-0.0034656171566854743
2015-03-25,-0.018431535203103255
2015-03-26,-0.005934438971568423
2015-03-27,0.01461284273896557
2015-03-30,0.012206896953729673
2015-03-31,-0.0027763290724739376
2015-04-01,-0.005481162949632412
2015-04-02,-0.005248871375520214
2015-04-06,-0.017324784421461903
2015-04-07,0.012350142376903905
2015-04-08,0.0027404309677061534
2015-04-09,0.02345055122593931
2015-04-10,-0.019553766169992604
2015-04-13,-0.0015814470713266804
2015-04-14,-0.0026399423914915676
2015-04-15,0.03326278802075966
2015-04-16,0.008368164310746717
2015-04-17,-0.01583533893791378
2015-04-20,0.010411280947888235
2015-04-21,0.012773567198346436
2015-04-22,0.012528360043270625
2015-04-23,0.016442479546924682
2015-04-24,0.0063725389671009935
2015-04-27,0.0023542857185328003
2015-04-28,0.017170123076276633
2015-04-29,-0.014650819265415449
2015-04-30,-0.01397982510653406
2015-05-01,0.01106381036433457
2015-05-04,0.008429933471458595
2015-05-05,-0.01969298694251942
2015-05-06,0.008363432929795689
2015-05-07,0.0117905099094342
2015-05-08,0.013019390360916372
2015-05-11,0.001824638809763579
2015-05-12,-0.00989863804310498
2015-05-13,0.009677670129458749
2015-05-14,0.010773135562147207
2015-05-15,0.0014890473642503732
2015-05-18,-0.003443167996352914
2015-05-19,-0.0032979833056744345
2015-05-20,0.00023634112680026576
2015-05-21,-0.00047257056574034895
2015-05-22,-0.0010244671493245816
2015-05-26,-0.005442887357285819
2015-05-27,-0.0009517984203619712
2015-05-28,0.00690697644415339
2015-05-29,-0.008988404740125966
2015-06-01,-0.004614542284897105
2015-06-02,0.0011989571189123804
2015-06-03,0.007903543404804036
2015-06-04,-0.013227708268873761
2015-06-05,-0.00048165987402737365
2015-06-08,0.002650191454796058
2015-06-09,-0.0012815060846637083
2015-06-10,0.017964534605107163
2015-06-11,-0.003545237116207911
2015-06-12,-0.010199247954531532
2015-06-15,0.00495243314239624
2015-06-16,0.004053748876300167
2015-06-17,0.001266653439644827
2015-06-18,0.003636931311382874
2015-06-19,-0.00015758840457069656
2015-06-22,0.007563812624664434
2015-06-23,-0.0026587139911871116
2015-06-24,-0.011761016067370789
2015-06-25,0.004046351416422844
2015-06-26,-0.02354803069988709
2015-06-29,-0.02848585135356152
2015-06-30,0.0024989205725711727
2015-07-01,-0.0007477884423070513
2015-07-02,0.0014967595374884013
2015-07-06,-0.023995344827848375
2015-07-07,0.006550375355816707
2015-07-08,-0.004056823513959085
2015-07-09,-0.021130328760617045
2015-07-10,0.00901604620099472
2015-07-13,0.005155068968704324
2015-07-14,0.010770169751585845
2015-07-15,-0.0033826767516186296
2015-07-16,0.0006788445658931774
2015-07-17,-0.01399136370396914
2015-07-20,-0.00017196975641842194
2015-07-21,0.0172887878023662
2015-07-22,0.0019447312375235892
2015-07-23,0.07746835700570287
2015-07-24,-0.001488114355827963
2015-07-27,0.0025099984327097147
2015-07-28,0.029027515724396658
2015-07-29,0.007375313178165976
2015-07-30,0.013736825345090686
2015-07-31,-0.001265714928415096
2015-08-03,-0.021917418031784597
2015-08-04,0.0012195401359078595
2015-08-05,0.006394612773962027
2015-08-06,-0.01777602798014144
2015-08-07,0.003927566290827578
2015-08-10,0.01518867534725854
2015-08-11,-0.0073296149882498
2015-08-12,0.01020028656836236
2015-08-13,-0.008138058747772181
2015-08-14,0.007445078562532403
2015-08-17,0.009426136748712288
2015-08-18,-0.006424627270508632
2015-08-19,-0.001879699248120259
2015-08-20,-0.04662902027424676
2015-08-21,-0.03200059655886334
2015-08-24,-0.04113950557214818
2015-08-25,0.0
2015-08-26,0.042393765861827415
2015-08-27,0.0027766759963976373
2015-08-28,0.0014659198944024787
2015-08-31,-0.012686001001121494
2015-09-01,-0.02487442699421849
