Date,PGR
2015-01-05,-0.011094749618326016
2015-01-06,-0.012341155857013675
2015-01-07,0.020825163522393497
2015-01-08,0.0200298922069182
2015-01-09,-0.021090565927307847
2015-01-12,-0.014116234170622466
2015-01-13,-0.0015072448701317631
2015-01-14,-0.017735682146336473
2015-01-15,0.009220079052840724
2015-01-16,0.0038069354036811553
2015-01-20,-0.001896248805130063
2015-01-21,-0.004939252802347305
2015-01-22,0.01909100512408557
2015-01-23,-0.007493121800731362
2015-01-26,0.014344717781393124
2015-01-27,-0.006698930940916892
2015-01-28,-0.00599462853416588
2015-01-29,0.00452325047395874
2015-01-30,-0.02626641000034602
2015-02-02,0.023195126174698544
2015-02-03,0.00967108503047398
2015-02-04,0.0
2015-02-05,0.010728085146012978
2015-02-06,0.0
2015-02-09,-0.0015166062994086404
2015-02-10,0.004556083043347536
2015-02-11,0.007936478014545223
2015-02-12,0.014248130922675406
2015-02-13,0.002218067948490887
2015-02-17,-0.013647918612757937
2015-02-18,0.0003736148565864905
2015-02-19,-0.0014950837422444962
2015-02-20,-0.0037438069318638245
2015-02-23,-0.0018792121573103504
2015-02-24,0.002259172040609325
2015-02-25,-0.0018782321675571145
2015-02-26,0.006021762888072546
2015-02-27,-0.0029928591558423534
2015-03-02,0.016510183524291344
2015-03-03,-0.011074144503767425
2015-03-04,-0.013811393241435987
2015-03-05,0.0045423798430801465
2015-03-06,-0.010550226408285956
2015-03-09,0.005712221346214408
2015-03-10,-0.016281659460458897
2015-03-11,0.013086962739566443
2015-03-12,0.01823697388722345
2015-03-13,-0.011566936021647711
2015-03-16,0.018497443782503842
2015-03-17,0.0018531703606372574
2015-03-18,0.017757941812461375
2015-03-19,0.000726757234339015
2015-03-20,0.004359409421768712
2015-03-23,0.0010846598769387317
2015-03-24,-0.013367050340019615
2015-03-25,-0.008788072903256228
2015-03-26,-0.005171609028622459
2015-03-27,0.003713403326016662
2015-03-30,0.012578590875923945
2015-03-31,-0.006211123251610329
2015-04-01,-0.008823790142627463
2015-04-02,-0.004450945647706539
2015-04-06,0.005961549897815388
2015-04-07,-0.0070372628615168464
2015-04-08,0.0
2015-04-09,-0.001865012145267686
2015-04-10,0.005231700436755471
2015-04-13,-0.0026022813242491116
2015-04-14,-0.002981885956487962
2015-04-15,0.016448740876073398
2015-04-16,-0.00036787896701451217
2015-04-17,-0.015820499231923302
2015-04-20,0.012710440290655933
2015-04-21,-0.012181585899190273
2015-04-22,-0.0018684059902829286
2015-04-23,0.003743898026489667
2015-04-24,0.0018649213904187167
2015-04-27,-0.010424536317885535
2015-04-28,0.006019865133856994
2015-04-29,-0.007105415713862362
2015-04-30,0.004142931361065694
2015-05-01,0.0116280428137292
2015-05-04,0.006303151575787869
2015-05-05,-0.0018423351952723266
2015-05-06,-0.009597645793357312
2015-05-07,0.004472602216721633
2015-05-08,0.0070501406028566915
2015-05-11,-0.0029475570097402537
2015-05-12,-0.0033259170301985774
2015-05-13,0.0011124588443907069
2015-05-14,0.014444452655030027
2015-05-15,-0.005841838282473644
2015-05-18,0.0007344983979089559
2015-05-19,0.0007341378848810809
2015-05-20,0.0018333737369122804
2015-05-21,0.0010980289894260142
2015-05-22,-0.0025591981944073083
2015-05-26,-0.006598278983608652
2015-05-27,0.006273094602170293
2015-05-28,0.005500478106539308
2015-05-29,-0.002917635107668959
2015-06-01,0.0
2015-06-02,0.0014631753013232274
2015-06-03,0.00766971398286076
2015-06-04,-0.011598278513368032
2015-06-05,0.0014665740759989276
2015-06-08,-0.00842172130015617
2015-06-09,-0.0036926544855850896
2015-06-10,0.021868113682879553
2015-06-11,0.009430281445207411
2015-06-12,-0.002155814184869098
2015-06-15,-0.0064818533689972035
2015-06-16,0.00434904578064077
2015-06-17,0.005774291167365497
2015-06-18,0.01794079015430383
2015-06-19,-0.010222262817387362
2015-06-22,0.010683882327302996
2015-06-23,0.0024664877793585394
2015-06-24,-0.0073815141263502415
2015-06-25,-0.00247871586165338
2015-06-26,0.005324831200544722
2015-06-29,-0.018008568046186335
2015-06-30,0.0007191798619838874
2015-07-01,0.021918959641738622
2015-07-02,-0.0070324853770075135
2015-07-06,0.004957690201098375
2015-07-07,0.020084441348105386
2015-07-08,-0.007944719116761867
2015-07-09,0.010793828031742558
2015-07-10,0.012400871437052263
2015-07-13,0.011568622142811957
2015-07-14,0.0016816721065120444
2015-07-15,0.007723456307566989
2015-07-16,0.00566480801766267
2015-07-17,0.03644796431527331
2015-07-20,-0.016624054349198336
2015-07-21,-0.007802097639848626
2015-07-22,0.003276443742317614
2015-07-23,-0.0019595415848734365
2015-07-24,-0.00163631667600328
2015-07-27,-0.0013110712792131496
2015-07-28,-0.0013125528830167932
2015-07-29,-0.0013145977763380223
2015-07-30,0.003290700450582884
2015-07-31,0.0003278231434042933
2015-08-03,0.003934582902382022
2015-08-04,-0.002612722113164545
2015-08-05,0.006548676768462158
2015-08-06,-0.008132568480673341
2015-08-07,0.0026238619657084072
2015-08-10,0.010794707779599566
2015-08-11,0.000970814003407261
2015-08-12,-0.002586300278453857
2015-08-13,0.004862094356194335
2015-08-14,0.0009678393369432214
2015-08-17,0.00676746217110491
2015-08-18,-0.0016003099213139915
2015-08-19,0.008336011032510582
2015-08-20,-0.01812389411203219
2015-08-21,-0.029793006070629513
2015-08-24,-0.04072102736881911
2015-08-25,-0.006610786335281338
2015-08-26,0.03362527572005103
2015-08-27,0.02507615406021002
2015-08-28,-0.00661177937709756
2015-08-31,-0.002994905308831619
2015-09-01,-0.024032188234545004
2015-09-02,0.01470633879882377
