Date,WSM
2015-01-05,-0.0048097501685185895
2015-01-06,-0.004698600651551255
2015-01-07,0.036417620362124925
2015-01-08,0.013274239257274001
2015-01-09,-0.013870924489324699
2015-01-12,-0.0014325844102527352
2015-01-13,-0.010434198580962395
2015-01-14,0.01476169888305745
2015-01-15,-0.023379789549450303
2015-01-16,0.01529490154004609
2015-01-20,0.005239716548049778
2015-01-21,0.0199373368635678
2015-01-22,0.005902301733389237
2015-01-23,0.01339278283411005
2015-01-26,0.018753974692995667
2015-01-27,-0.016803123655737662
2015-01-28,0.0023874405351487216
2015-01-29,0.012661975524518532
2015-01-30,-0.031319807799780275
2015-02-02,0.005112086852185005
2015-02-03,0.014876138222184032
2015-02-04,0.008644094173423156
2015-02-05,-0.0004969925733856462
2015-02-06,-0.003479092765564795
2015-02-09,-0.014216157292600506
2015-02-10,0.01986021822222339
2015-02-11,-0.000620149812032067
2015-02-12,0.010053744960934141
2015-02-13,0.008969952882337484
2015-02-17,-0.0049932361787986546
2015-02-18,-0.01958396158832465
2015-02-19,-0.011485421231026915
2015-02-20,0.0075775689485413356
2015-02-23,0.006267099776975815
2015-02-24,0.010712350041918617
2015-02-25,0.00037003182394612644
2015-02-26,-0.016508617162231176
2015-02-27,0.007766607123026903
2015-03-02,0.012429873065049168
2015-03-03,-0.01657456200821228
2015-03-04,-0.01036232141919835
2015-03-05,-0.0007564699126980656
2015-03-06,-0.006943634546436872
2015-03-09,0.017416910337052505
2015-03-10,-0.0024992538099827266
2015-03-11,0.009770896797026696
2015-03-12,0.01215737821929297
2015-03-13,0.006863629528037984
2015-03-16,0.012781308616381493
2015-03-17,0.008053176651342309
2015-03-18,-0.03469677219793921
2015-03-19,-0.01902192125113178
2015-03-20,-0.009065618450994295
2015-03-23,0.010292257704528351
2015-03-24,0.012702943991725002
2015-03-25,-0.012295320686091071
2015-03-26,-0.029799799493527512
2015-03-27,0.009590176416188756
2015-03-30,0.015533137540622022
2015-03-31,0.007584272310717788
2015-04-01,-0.012169334345910943
2015-04-02,0.01104908934125537
2015-04-06,-0.002261072219414517
2015-04-07,-0.011205229020406104
2015-04-08,0.0
2015-04-09,-0.014896421402089688
2015-04-10,0.007625865943027943
2015-04-13,0.004746039769974564
2015-04-14,-0.007787877907238894
2015-04-15,-0.0006432896637850183
2015-04-16,-0.005922377703077242
2015-04-17,-0.009065669169411317
2015-04-20,0.003659224953750817
2015-04-21,-0.0006513358998331276
2015-04-22,-0.0040580476556730805
2015-04-23,0.008018089228330805
2015-04-24,0.0028682437995768417
2015-04-27,-0.015472424185623113
2015-04-28,-0.008848274469419826
2015-04-29,-0.007461804711441977
2015-04-30,-0.012887466439811424
2015-05-01,0.020127894599430984
2015-05-04,0.011731172697339032
2015-05-05,-0.006587703288484792
2015-05-06,0.002254187695020393
2015-05-07,0.004103335970521149
2015-05-08,0.015025318656414877
2015-05-11,0.005583730367671569
2015-05-12,-0.00981455936455089
2015-05-13,-0.011606122830845722
2015-05-14,-0.000923618716739627
2015-05-15,0.005546706471314389
2015-05-18,0.02902567426625735
2015-05-19,-0.0015320750953651263
2015-05-20,-0.004345833889963346
2015-05-21,0.008730357573236036
2015-05-22,0.004963748352254438
2015-05-26,-0.0149446071338184
2015-05-27,0.015685248004693397
2015-05-28,0.0
2015-05-29,-0.004936546672425601
2015-06-01,0.0050885776558822204
2015-06-02,-0.00012689487800843224
2015-06-03,0.004177306202200803
2015-06-04,-0.005167915230159914
2015-06-05,-0.0029148558267939606
2015-06-08,-0.0025412062422803805
2015-06-09,-0.00942810370186109
2015-06-10,0.012218530600595301
2015-06-11,0.006734795036556607
2015-06-12,0.015524294343673084
2015-06-15,-0.0004970969296526073
2015-06-16,0.005098354513474179
2015-06-17,0.008165156998245493
2015-06-18,0.007117339618946339
2015-06-19,-0.013037525700170471
2015-06-22,0.0009876864166167287
2015-06-23,0.0013568944367690072
2015-06-24,-0.002464158810996264
2015-06-25,0.001605626663822246
2015-06-26,0.022928747531652194
2015-06-29,-0.02277656960421548
2015-06-30,0.014551577689636552
2015-07-01,0.012034107937394456
2015-07-02,-0.004084107151299143
2015-07-06,0.001688636054170134
2015-07-07,0.0054181383222162705
2015-07-08,-0.010059292846028578
2015-07-09,0.0009678529166021743
2015-07-10,0.015588941263564138
2015-07-13,0.008091825983146617
2015-07-14,-0.006019492535554893
2015-07-15,-0.0001194649732177977
2015-07-16,0.008313783589908308
2015-07-17,-0.01060050630348408
2015-07-20,-0.005238672130215449
2015-07-21,-0.012685242232897243
2015-07-22,0.007547451712457409
2015-07-23,0.000724756631352852
2015-07-24,-0.019558073041025303
2015-07-27,-0.008127144263038177
2015-07-28,0.015145709514541528
2015-07-29,0.03240822016218625
2015-07-30,-0.0021323496882983406
2015-07-31,0.004986037778065278
2015-08-03,-0.0027164404268278375
2015-08-04,0.010067355302214143
2015-08-05,0.0069181540701719335
2015-08-06,-0.012460718349347255
2015-08-07,0.002593825465915911
2015-08-10,0.016467348083640587
2015-08-11,-0.004050085654112245
2015-08-12,0.005344105765699547
2015-08-13,0.003120924208085185
2015-08-14,0.008064148361236922
2015-08-17,0.011542905007590587
2015-08-18,0.0018076768522974351
2015-08-19,-0.01217999355495536
2015-08-20,-0.015641176650859512
2015-08-21,-0.03375073080936619
2015-08-24,-0.030008644676927765
2015-08-25,0.0032174489271279416
2015-08-26,0.025286763934478707
2015-08-27,-0.07723765732744226
2015-08-28,-0.011603446017477648
2015-08-31,0.0029019299694508227
2015-09-01,-0.0182822812988791
2015-09-02,0.014067539408368912
