Date,EA
2015-01-05,-0.006400568189412481
2015-01-06,-0.01309858040629941
2015-01-07,0.018494336715838777
2015-01-08,0.02819921452627039
2015-01-09,-0.012882038946788854
2015-01-12,-0.009471727308928757
2015-01-13,-0.013599429112516104
2015-01-14,0.010340319071112214
2015-01-15,-0.005543766199581079
2015-01-16,0.031089294298128678
2015-01-20,-0.0058223873856306785
2015-01-21,0.005437919994168983
2015-01-22,0.026836144846811072
2015-01-23,0.00871146375864651
2015-01-26,-0.006226197621989615
2015-01-27,-0.021624951116753666
2015-01-28,0.12807281865846698
2015-01-29,0.01318454832968552
2015-01-30,-0.008494585869124771
2015-02-02,0.002004879770733936
2015-02-03,-0.00818595944771161
2015-02-04,0.0007333128945075096
2015-02-05,0.03354125567199562
2015-02-06,-0.022167080484294055
2015-02-09,-0.015596728639317714
2015-02-10,0.00884306550467251
2015-02-11,0.0034698835359250335
2015-02-12,0.022747980109590005
2015-02-13,0.0033806263856761554
2015-02-17,0.006561206414880338
2015-02-18,0.014975678387966429
2015-02-19,-0.008158400746843042
2015-02-20,0.009275486534259914
2015-02-23,-0.0020807942648617406
2015-02-24,0.0013899525953366965
2015-02-25,-0.004164409628438448
2015-02-26,0.005924416192198967
2015-02-27,-0.009527129608937424
2015-03-02,0.004722044415155446
2015-03-03,-0.013577159484990053
2015-03-04,0.009352414249154117
2015-03-05,0.003146700735275232
2015-03-06,-0.0177762119784739
2015-03-09,0.005500467438304124
2015-03-10,-0.02858655168389812
2015-03-11,0.0007268219785447894
2015-03-12,-0.0005447738737111019
2015-03-13,0.0043589309443989865
2015-03-16,0.009402995959271188
2015-03-17,-0.029559018538567905
2015-03-18,0.026952269978497423
2015-03-19,0.00593188022444302
2015-03-20,0.02358830174722626
2015-03-23,-0.00017451179079042145
2015-03-24,0.012048064273115555
2015-03-25,-0.03226347316391964
2015-03-26,-0.00017842361479825097
2015-03-27,0.03851656598641817
2015-03-30,0.02111939900653259
2015-03-31,-0.010929892480027736
2015-04-01,-0.026181575058867534
2015-04-02,0.006459533771210113
2015-04-06,-0.009193362919278858
2015-04-07,0.011904565240026699
2015-04-08,0.006055537419885626
2015-04-09,-0.011177932266349555
2015-04-10,0.014956310185764599
2015-04-13,-0.017649123635645414
2015-04-14,-0.004535262302972964
2015-04-15,-0.003679194190129298
2015-04-16,0.0
2015-04-17,-0.014597525333596262
