Date,HST
2015-01-05,-0.00797944484368207
2015-01-06,-0.004233645866197122
2015-01-07,0.005526998816998363
2015-01-08,0.01057102513070518
2015-01-09,-0.006694378022165215
2015-01-12,0.0021062133749309986
2015-01-13,-0.0016819980047639849
2015-01-14,-0.0012625784346245172
2015-01-15,0.0016857481249927808
2015-01-16,-0.0016829111606592173
2015-01-20,-0.0012650848180901786
2015-01-21,-0.003376799820633103
2015-01-22,0.02117725455217756
2015-01-23,0.0008294491276874538
2015-01-26,0.00041441068259717717
2015-01-27,-0.006628003165795038
2015-01-28,-0.020016440011246583
2015-01-29,0.005957345676913972
2015-01-30,-0.03172575742759276
2015-02-02,0.003931677775984133
2015-02-03,0.014360487575071357
2015-02-04,-0.010296223287547979
2015-02-05,0.0151712439687548
2015-02-06,-0.01110150602492943
2015-02-09,-0.009499250762444733
2015-02-10,0.008718473224005985
2015-02-11,0.002593028836209932
2015-02-12,0.021551880318759542
2015-02-13,-0.0033757384370891597
2015-02-17,-0.0025401509550003754
2015-02-18,-0.0008488732511998665
2015-02-19,-0.07094297095731028
2015-02-20,-0.004573006388387202
2015-02-23,-0.007349233596927185
2015-02-24,-0.013419480717751897
2015-02-25,-0.003283819482154726
2015-02-26,-0.006117414390914178
2015-02-27,-0.005682004446015632
2015-03-02,0.020476322929991353
2015-03-03,-0.004199673222918698
2015-03-04,-0.020618131125971773
2015-03-05,-0.011483762913809592
2015-03-06,-0.01839253151159581
2015-03-09,0.007396245485365993
2015-03-10,-0.0083215024754969
2015-03-11,0.006416411166406899
2015-03-12,0.022560461600813264
2015-03-13,-0.0023979472676662894
2015-03-16,0.011057528448656706
2015-03-17,0.0014264263133765276
2015-03-18,0.015194612343923275
2015-03-19,-0.007015511320979995
2015-03-20,0.023079981978298747
2015-03-23,-0.009207988527491273
2015-03-24,-0.017193045753386205
2015-03-25,-0.03026038049302049
2015-03-26,-0.011213319409236533
2015-03-27,-0.0019921349459024462
2015-03-30,0.015468850434092296
2015-03-31,-0.008353770462020682
2015-04-01,0.003964032935790618
2015-04-02,0.01135271335061816
2015-04-06,-0.007320868471227482
2015-04-07,-0.016716038399800848
2015-04-08,0.009500480447045323
2015-04-09,-0.013372998970357486
2015-04-10,0.0005016942914530809
2015-04-13,0.015052864234097463
2015-04-14,-0.013346559444052497
2015-04-15,-0.001503138017503014
2015-04-16,0.015554736027093341
2015-04-17,0.017786853090834942
2015-04-20,0.0
2015-04-21,-0.00242774248937494
2015-04-22,0.003406625591672263
2015-04-23,0.0029097748611985885
2015-04-24,0.00048332571094289456
2015-04-27,-0.002899793254715566
2015-04-28,-0.011149030649885927
2015-04-29,-0.006372271171231514
2015-04-30,-0.0064134889846951815
