Date,BG
2015-01-05,-0.020294023559636498
2015-01-06,-0.009405080004640576
2015-01-07,0.005199505506124247
2015-01-08,0.018328894619923375
2015-01-09,-0.012146621651685341
2015-01-12,-0.006930296374012435
2015-01-13,0.011706308250960085
2015-01-14,-0.0005563846366476444
2015-01-15,0.008126479130655007
2015-01-16,0.015459295372676651
2015-01-20,-0.012505390495424762
2015-01-21,0.008810081018289173
2015-01-22,0.004693423899243543
2015-01-23,-0.001521204956039024
2015-01-26,0.004461177354869061
2015-01-27,-0.004008195671660886
2015-01-28,-0.011964082373743024
2015-01-29,0.0072653050509292605
2015-01-30,-0.021530070605681018
2015-02-02,0.01195191815657104
2015-02-03,-0.004415702792795906
2015-02-04,-0.005432201806958137
2015-02-05,0.01961887666342288
2015-02-06,-0.008746062457008819
2015-02-09,-0.003971066132852918
2015-02-10,0.011405934842188659
2015-02-11,0.0015327503855226965
2015-02-12,-0.11740203808999661
2015-02-13,0.022128195906311765
2015-02-17,0.006081705286372419
2015-02-18,0.0020548654523053766
2015-02-19,-0.004704774053659988
2015-02-20,0.002666668487271151
2015-02-23,0.001329385783037429
2015-02-24,-0.0031387884934167554
2015-02-25,-0.006297529055012241
2015-02-26,-0.0090190452059975
2015-02-27,0.0057802347044695335
2015-03-02,-0.002201143229526359
2015-03-03,-0.002573341229037962
2015-03-04,0.007740318672152746
2015-03-05,0.0034137599836185917
2015-03-06,-0.01822563925868037
2015-03-09,-0.00668307576873306
2015-03-10,-0.0064790988517456904
2015-03-11,-0.01103594037981237
2015-03-12,0.010144416087672248
2015-03-13,-0.0031380929972124605
2015-03-16,0.0015110521724388537
2015-03-17,-0.0071673446398760055
2015-03-18,0.013931380094991619
2015-03-19,-0.012865278273449743
2015-03-20,0.014677805834541147
2015-03-23,0.010599954906308051
2015-03-24,-0.013943815304867102
2015-03-25,-0.004505177320711318
2015-03-26,-0.013199309437331497
2015-03-27,0.020000226995861015
2015-03-30,0.021606041403713583
2015-03-31,0.006846069017304668
2015-04-01,0.009713438759751503
2015-04-02,0.005531392750435904
2015-04-06,0.00430553948142709
2015-04-07,-0.0022625584861125647
2015-04-08,0.008593056109114983
2015-04-09,-0.002248853624507219
2015-04-10,0.006997324939806537
2015-04-13,-0.0010602731068619642
2015-04-14,0.012615622225691459
2015-04-15,0.012341245320487193
2015-04-16,-0.0034503418718154766
2015-04-17,-0.012694996719129104
2015-04-20,-0.007363875412411902
2015-04-21,-0.004121686094977428
2015-04-22,0.003310886776729971
2015-04-23,0.010135478053506342
2015-04-24,0.001050078097206253
2015-04-27,0.0060607536303292076
2015-04-28,0.0039385716644932955
2015-04-29,0.004269486378271514
2015-04-30,-0.0075830718978012746
2015-05-01,0.027902750684505317
2015-05-04,0.005632036801741291
2015-05-05,-0.014000605644885589
2015-05-06,0.006929215163979485
2015-05-07,0.009702170392280607
2015-05-08,0.004581402770398979
2015-05-11,0.00044444434319856896
2015-05-12,0.0003339252071292709
2015-05-13,0.007112520268685252
2015-05-14,0.00662064928357764
2015-05-15,0.010783375423734087
2015-05-18,0.0006533038883798081
2015-05-19,-0.005330573829474217
2015-05-20,0.008859181969092855
2015-05-21,-0.0067209293425275485
2015-05-22,-0.0043662816905926105
2015-05-26,-0.008441692150193747
2015-05-27,0.0109455235871041
2015-05-28,0.0008751098908394983
2015-05-29,0.01136324871412353
2015-06-01,-0.009723353287604763
2015-06-02,-0.004363600744223151
2015-06-03,0.00021901328199835923
2015-06-04,-0.012051028868773073
2015-06-05,-0.0016631205617591016
2015-06-08,-0.004776121229731367
2015-06-09,0.0012280856177795396
2015-06-10,0.022739198880531664
2015-06-11,0.0007631757630590652
2015-06-12,-0.0017427539980059414
2015-06-15,-0.0062185929997834455
2015-06-16,0.0007687053693337109
2015-06-17,0.0018647184326650024
2015-06-18,0.007007635126182965
2015-06-19,-0.00010882767741882127
2015-06-22,0.0019575581337294423
2015-06-23,0.00770564308330246
2015-06-24,-0.015077957778817264
2015-06-25,-0.01345008962115013
2015-06-26,-0.008645181821132386
2015-06-29,-0.017665870205863743
2015-06-30,-0.0006826982501604295
2015-07-01,0.0234623304827275
2015-07-02,-0.0037837306960191164
2015-07-06,-0.03798033307043902
2015-07-07,0.010450692558449992
2015-07-08,-0.015513849134415225
2015-07-09,-0.0008172190020686587
2015-07-10,0.001401803214051922
2015-07-13,0.008049710123071874
2015-07-14,0.008332329708476527
2015-07-15,-0.004935087411762407
2015-07-16,0.014648157553716734
2015-07-17,0.0014779290668274214
2015-07-20,-0.0038594348567211334
2015-07-21,-0.014471581331742644
2015-07-22,0.01190897210827524
2015-07-23,-0.0044558859942280815
2015-07-24,-0.009755770258302543
2015-07-27,-0.008344709122720895
2015-07-28,0.012038234967767902
2015-07-29,-0.011317740985827496
2015-07-30,-0.05092834036159222
2015-07-31,-0.01723125127298686
2015-08-03,-0.0005007454322152327
2015-08-04,-0.009021321170334495
2015-08-05,-0.005310413540932091
2015-08-06,-0.01817777656157127
2015-08-07,-0.013205176503160443
2015-08-10,0.01010254136712363
2015-08-11,-0.009481690176308177
2015-08-12,0.013899784312423114
2015-08-13,-0.009182393240122377
2015-08-14,-0.003916351463211454
2015-08-17,0.003556049358451663
2015-08-18,-0.008399053845778215
2015-08-19,-0.024086845467871765
2015-08-20,-0.011255712524496975
2015-08-21,-0.026745476032588922
2015-08-24,-0.010287483720038182
2015-08-25,-0.018368082091999915
2015-08-26,0.010153768424574494
2015-08-27,0.03001174527291761
2015-08-28,0.01171037929250729
2015-08-31,-0.0016535876262600002
