Date,NOW
2015-01-05,-0.003413412539541083
2015-01-06,-0.012211462043053012
2015-01-07,0.011457779072156171
2015-01-08,0.026829678789849876
2015-01-09,-0.02583827544008288
2015-01-12,0.0160930088098985
2015-01-13,-0.01349179887668106
2015-01-14,-0.013824890019102365
2015-01-15,-0.04085009676474094
2015-01-16,0.005186201647304101
2015-01-20,0.013602294544016624
2015-01-21,0.010643140406039642
2015-01-22,0.00946280186733861
2015-01-23,0.039310530663960286
2015-01-26,-0.010619664681773555
2015-01-27,-0.0014703495218363338
2015-01-28,0.01472537102155913
2015-01-29,0.07212296222879733
2015-01-30,-0.013264696317970226
2015-02-02,0.0012345176406982628
2015-02-03,-0.004658122315953528
2015-02-04,0.026978651662856068
2015-02-05,-0.005227173119662587
2015-02-06,0.009700905535720894
2015-02-09,-0.02748872592576912
2015-02-10,0.006037355351102391
2015-02-11,0.007637719052435932
2015-02-12,0.02801840514048548
2015-02-13,0.021066572321339017
2015-02-17,-0.008639661792052666
2015-02-18,0.007804450116430717
2015-02-19,0.008776461999403518
2015-02-20,0.011514762721546168
2015-02-23,-0.0049329547393345274
2015-02-24,0.0010169293621042907
2015-02-25,0.0035555400545634885
2015-02-26,0.006326711473150004
2015-02-27,-0.041116518210203346
2015-03-02,0.0023603501197682064
2015-03-03,-0.012951405828681595
2015-03-04,-0.024519530138485957
2015-03-05,0.01494563175171626
2015-03-06,-0.008567595927639449
2015-03-09,0.0024304659885165947
2015-03-10,-0.008755408736294101
2015-03-11,0.008832743011623512
2015-03-12,0.032597061799227944
2015-03-13,0.0033915274512887894
2015-03-16,0.022490943813257225
2015-03-17,0.01589319740303763
2015-03-18,0.001877365744859416
2015-03-19,0.005121749120356123
2015-03-20,-0.013422841702009247
2015-03-23,-0.0012597439856523174
2015-03-24,-0.00037839025931862835
2015-03-25,-0.038485842924388836
2015-03-26,0.010892412917266281
2015-03-27,0.018694047309179895
2015-03-30,0.012361427368593025
2015-03-31,-0.008308202943424936
2015-04-01,-0.03973086191822239
2015-04-02,0.0062128382184147846
2015-04-06,0.027850696803642716
2015-04-07,0.0029397157874937463
2015-04-08,0.030202562512031905
2015-04-09,0.01113312180417636
2015-04-10,0.007340328967478937
2015-04-13,-0.019552988250694847
2015-04-14,-0.0065651726328819215
2015-04-15,0.0068578936743945995
2015-04-16,0.025882307589976783
2015-04-17,-0.11528242207315453
2015-04-20,0.018419954390191284
2015-04-21,0.0383172646535177
2015-04-22,0.0028387254284274466
2015-04-23,-0.01080807969752573
2015-04-24,-0.01027576669810848
2015-04-27,-0.017479225465514392
2015-04-28,0.003076454266546902
2015-04-29,0.033071121850661855
2015-04-30,-0.03369046817123411
2015-05-01,-0.014827686365234571
2015-05-04,-0.001898296808792388
2015-05-05,-0.004483111375063409
2015-05-06,0.00027298407197284824
2015-05-07,0.009686208116135075
2015-05-08,-0.0013511481047795426
2015-05-11,0.0010823190055011533
2015-05-12,0.0036491996250367364
2015-05-13,0.011446248985581331
2015-05-14,0.012515010434931417
2015-05-15,-0.004470794919676169
2015-05-18,0.020472897510253718
2015-05-19,0.006730476685070652
2015-05-20,-0.0042427595298770715
2015-05-21,0.018334484884341418
2015-05-22,-0.0013947078296041582
2015-05-26,-0.013331678812573355
2015-05-27,0.00875048659357991
2015-05-28,0.00012759454405331105
2015-05-29,-0.022831643886339514
2015-06-01,-0.01213941127485274
2015-06-02,-0.003964099505127661
2015-06-03,0.016317370678569754
2015-06-04,-0.015011114955186589
2015-06-05,0.018950441591908618
2015-06-08,-0.028872431243665786
2015-06-09,0.013258410572397628
2015-06-10,0.026962637951264634
2015-06-11,0.00038618288120906286
2015-06-12,0.002701647695914078
2015-06-15,-0.003849153738266109
2015-06-16,0.022668755152838393
2015-06-17,0.0065490759832911305
2015-06-18,0.013138176624305942
2015-06-19,-0.007286698263434088
2015-06-22,-0.0007464239940764283
2015-06-23,0.005353589477210763
2015-06-24,-0.04061917992937303
2015-06-25,0.018716882992054096
2015-06-26,-0.0240750325641359
2015-06-29,-0.04219683383084871
2015-06-30,0.007320061543992118
2015-07-01,-0.005517373787982671
2015-07-02,0.008524996487278225
2015-07-06,-0.011136479869167104
2015-07-07,0.026865718302866437
2015-07-08,-0.011231480849544395
2015-07-09,0.018040871857373686
2015-07-10,0.007350978686668563
2015-07-13,-0.0018243340310872824
2015-07-14,0.010574480471588155
2015-07-15,0.002196074937385939
2015-07-16,0.017272445298579964
2015-07-17,0.0
2015-07-20,-0.001013707968966604
2015-07-21,-0.003424615114253182
2015-07-22,-0.009163818550333436
2015-07-23,0.0021836630992591033
2015-07-24,0.02076394278755722
2015-07-27,-0.04143650272537225
2015-07-28,0.02999739357323916
2015-07-29,-0.008266487589837945
2015-07-30,0.03911253258611325
2015-07-31,-0.006540772396411376
2015-08-03,-0.01677016738038628
2015-08-04,-0.015666428804351984
2015-08-05,0.006417661102526395
2015-08-06,-0.030863482786817942
2015-08-07,0.01263322952309709
2015-08-10,-0.004678370690432976
2015-08-11,0.0010445467408268794
2015-08-12,0.0023477280484491825
2015-08-13,-0.014964236157612443
2015-08-14,0.012285341382664017
2015-08-17,0.008090862179358504
2015-08-18,-0.01760518589451865
2015-08-19,-0.003426039508783174
2015-08-20,-0.07034245521652183
2015-08-21,-0.0056890045565858305
2015-08-24,-0.027320892033432687
2015-08-25,0.009852914249195877
2015-08-26,0.03990105673838773
2015-08-27,0.01330341548135583
2015-08-28,0.0024875663855374874
2015-08-31,-0.021781111264316033
2015-09-01,-0.02874860402829027
2015-09-02,0.014944846295149583
