Date,GM
2015-01-05,-0.014638249502860079
2015-01-06,0.015146753764088361
2015-01-07,0.028408005191226104
2015-01-08,0.010044125262252956
2015-01-09,-0.01685076725258572
2015-01-12,0.00702489814664653
2015-01-13,-0.016462251661172878
2015-01-14,-0.02695059328809768
2015-01-15,-0.025364229151954243
2015-01-16,0.007478572985436083
2015-01-20,0.00742240196217292
2015-01-21,-0.0011789099062351482
2015-01-22,-0.0020654911253904507
2015-01-23,-0.002069766209127022
2015-01-26,-0.0014816060510498552
2015-01-27,-0.008308546097836489
2015-01-28,-0.017354763047400246
2015-01-29,0.00974453898530725
2015-01-30,-0.016285138805047006
2015-02-02,0.015021577809214426
2015-02-03,0.026275911329160184
2015-02-04,0.05444417691556769
2015-02-05,0.011721863981518865
2015-02-06,-0.006896656054930617
2015-02-09,0.0
2015-02-10,0.04222217956672503
2015-02-11,0.003997876433325498
2015-02-12,0.009291341944401621
2015-02-13,-0.010520886054457557
2015-02-17,-0.01010091832175608
2015-02-18,-0.001342424940193765
2015-02-19,0.00860428526785606
2015-02-20,0.003732244973312593
2015-02-23,0.0010626238756281658
2015-02-24,0.001591624015005566
2015-02-25,0.002914035275376481
2015-02-26,-0.00792407654363314
2015-02-27,-0.006655922648305612
2015-03-02,0.008040954511135734
2015-03-03,0.00505160471276489
2015-03-04,-0.006084426269342136
2015-03-05,0.0010646900322470731
2015-03-06,-0.020473517897793836
2015-03-09,0.03065150391189908
2015-03-10,-0.002921175729351577
2015-03-11,0.0061253999941408566
2015-03-12,0.017204747587885816
2015-03-13,-0.009887722545635969
2015-03-16,0.013928923834382934
2015-03-17,-0.007516815710084779
2015-03-18,0.005484412715051734
2015-03-19,0.0038961876545988705
2015-03-20,0.005692133796350918
2015-03-23,-0.0072040210591047815
2015-03-24,-0.01917573629872038
2015-03-25,-0.012417457478651639
2015-03-26,-0.0008027944529076514
2015-03-27,-0.0010707954690534205
2015-03-30,0.009917028175954856
2015-03-31,-0.004776992343580977
2015-04-01,-0.020266718388949778
2015-04-02,-0.006532106286275985
2015-04-06,0.004383258788820399
2015-04-07,-0.025368079770965224
2015-04-08,0.010635380623339241
2015-04-09,0.004984686456359189
2015-04-10,0.007715310675157294
2015-04-13,-0.004648462639119555
2015-04-14,0.0021977515362749944
2015-04-15,0.01260965997318042
2015-04-16,0.003789743361181097
2015-04-17,-0.0118660958728396
2015-04-20,0.01282739937992905
2015-04-21,0.0013473313650380625
2015-04-22,0.0
2015-04-23,-0.033368714538524746
2015-04-24,-0.00918722430076746
2015-04-27,0.005338505713214037
