Date,BAX
2015-01-05,-0.02482619109631834
2015-01-06,-0.0053157049834061665
2015-01-07,0.004781320621111584
2015-01-08,0.0258923032981615
2015-01-09,-0.012551087639930292
2015-01-12,0.004697772367161512
2015-01-13,-0.01031385939742413
2015-01-14,-0.0033348904293469817
2015-01-15,-0.0034850936048059777
2015-01-16,0.007414911997303042
2015-01-20,-0.0027773953044671895
2015-01-21,-0.0062665732347342296
2015-01-22,0.012612064376484655
2015-01-23,-0.011486725034543732
2015-01-26,-0.007699244061866617
2015-01-27,-0.003104277615935569
2015-01-28,-0.007076090860336448
2015-01-29,0.017388815478774466
2015-01-30,-0.014990209786275188
2015-02-02,0.0032711787941741566
2015-02-03,-0.0012760695444854475
2015-02-04,-0.005393703924919002
2015-02-05,0.018410506396694837
2015-02-06,-0.005465036383548005
2015-02-09,-0.017613417919019048
2015-02-10,0.007314726078956779
2015-02-11,-0.007688843483518504
2015-02-12,0.005596477891643081
2015-02-13,0.004423264406741456
2015-02-17,-0.00852389063183312
2015-02-18,-0.019916758787573152
2015-02-19,-0.014327539604561124
2015-02-20,0.007119533375007814
2015-02-23,0.010898504976797563
2015-02-24,0.006118851709636219
2015-02-25,-0.002896035909246031
2015-02-26,-0.002759425419327055
2015-02-27,0.006989815566029067
2015-03-02,0.01171408936554097
2015-03-03,-0.0077186931156308924
2015-03-04,-0.002448858717936986
2015-03-05,-0.0005777871296648307
2015-03-06,-0.02138413594189048
2015-03-09,0.007290288843089687
2015-03-10,0.0
2015-03-11,-0.010191931225788764
2015-03-12,-0.00014924445690656096
2015-03-13,0.00537304476998246
2015-03-16,0.01588513565191918
2015-03-17,0.0005843470579867116
2015-03-18,0.0011683147509908842
2015-03-19,-0.008315156935551404
2015-03-20,0.002942115135102119
2015-03-23,0.009680310045630192
2015-03-24,-0.004939057220214149
2015-03-25,-0.0052552658111302275
2015-03-26,-0.0017614160149520552
2015-03-27,0.007791956685148316
2015-03-30,0.00306336093626447
2015-03-31,-0.003781175437375217
2015-04-01,-0.014014365391184058
2015-04-02,0.006810879015588744
2015-04-06,0.009264289174126805
2015-04-07,0.0103453855588036
2015-04-08,0.0023076715830816497
2015-04-09,0.009352913256445383
2015-04-10,0.005986623482808762
2015-04-13,-0.009918916782047149
2015-04-14,0.001574191950646897
2015-04-15,0.003143672824528876
2015-04-16,-0.0007117804754522838
2015-04-17,-0.003421654769958815
2015-04-20,0.006436872908755609
2015-04-21,-0.0044060006195330015
2015-04-22,0.0047110345785623675
2015-04-23,0.016055618959353035
2015-04-24,-0.005174377629132976
2015-04-27,-0.010823680726044893
2015-04-28,-0.0019894217650835433
2015-04-29,-0.006834572604536127
2015-04-30,-0.0144801191716456
2015-05-01,0.010037910917768178
2015-05-04,0.007345448087760165
2015-05-05,-0.004146474742628969
2015-05-06,-0.010624521598505021
2015-05-07,0.006094351844354806
2015-05-08,0.003750208980334069
2015-05-11,-0.004597928802318685
2015-05-12,-0.009094678787950672
2015-05-13,-0.007867332287403994
2015-05-14,0.01380357869384663
2015-05-15,0.00463455426584769
2015-05-18,-0.016003478225894097
2015-05-19,0.0033697704962387665
2015-05-20,-0.007739070871372489
