Date,AES
2015-01-05,-0.02846698076461507
2015-01-06,-0.02253941630712164
2015-01-07,0.0015373986125988282
2015-01-08,0.015348673369858012
2015-01-09,-0.02494299382992038
2015-01-12,-0.0015505083195039848
2015-01-13,0.010869763010506128
2015-01-14,0.009216449627817758
2015-01-15,-0.0030442710890863367
2015-01-16,0.020610858229849205
2015-01-20,-0.020942474480718953
2015-01-21,0.008403643461704302
2015-01-22,-0.021212077975540256
2015-01-23,-0.018576213777738326
2015-01-26,0.003943470251621006
2015-01-27,0.0
2015-01-28,-0.03220731302229274
2015-01-29,0.009739770755118338
2015-01-30,-0.009723988683532636
2015-02-02,0.011456127482373235
2015-02-03,0.009708925921658729
2015-02-04,0.0032052266540461005
2015-02-05,0.011981004064557155
2015-02-06,-0.0473561993057634
2015-02-09,-0.018226708749645715
2015-02-10,0.026160344352800458
2015-02-11,-0.018914849264008438
2015-02-12,-0.0058676543105619094
2015-02-13,0.0
2015-02-17,-0.0185494444151435
2015-02-18,0.016323195853858774
2015-02-19,0.001690609955507405
2015-02-20,0.0033753964511331613
2015-02-23,0.0025234675733660783
2015-02-24,0.016778101174561133
2015-02-25,-0.009900950530986274
2015-02-26,0.052500134063948156
2015-02-27,0.02692013872605381
2015-03-02,-0.024672322138691194
2015-03-03,0.027667756745512362
2015-03-04,-0.01923069143836631
2015-03-05,-0.003921552452853416
2015-03-06,-0.03700772077500214
2015-03-09,-0.0032711976641188745
2015-03-10,-0.005742163247044574
2015-03-11,-0.005775668658419608
2015-03-12,0.004149591081755721
2015-03-13,-0.014875743066617764
2015-03-16,0.007550186162771366
2015-03-17,0.01498698559871725
2015-03-18,0.03691593384455771
2015-03-19,-0.009493850357719102
2015-03-20,0.025559003725880824
2015-03-23,0.0031154682686980184
2015-03-24,-0.014751707455126328
2015-03-25,-0.014972142340697658
2015-03-26,-0.003200318670123492
2015-03-27,0.001605130196917326
2015-03-30,0.02083336336558439
2015-03-31,0.008634732282130297
