Date,IQV
2015-01-05,-0.011842340648138383
2015-01-06,-0.022941279850855145
2015-01-07,0.01226565212340347
2015-01-08,0.024753337265788433
2015-01-09,-0.006418936878682002
2015-01-12,0.004080273371506182
2015-01-13,0.00728073645745364
2015-01-14,-0.006555777329669721
2015-01-15,-0.0010151871428561998
2015-01-16,0.009146356828482416
2015-01-20,0.006210119511810941
2015-01-21,-0.0028357294658730714
2015-01-22,0.012713318028599208
2015-01-23,0.007102746922250214
2015-01-26,0.016237458486934697
2015-01-27,-0.0009683272995526515
2015-01-28,-0.0038772483449206474
2015-01-29,0.0016217722083775588
2015-01-30,-0.020401527781355067
2015-02-02,0.0009917582362151123
2015-02-03,-0.0047886543750186306
2015-02-04,0.007964153618560177
2015-02-05,0.007572001390496297
2015-02-06,-0.012252900036233694
2015-02-09,-0.020178587900759326
2015-02-10,0.014686004511053286
2015-02-11,0.009482610032215844
2015-02-12,0.04235332369642397
2015-02-13,0.0009486383129013731
2015-02-17,0.011056716912894782
2015-02-18,0.0093735112341371
2015-02-19,-0.001393034614377231
2015-02-20,0.009764490322244912
2015-02-23,-0.002455927219676579
2015-02-24,-0.007693491559240928
2015-02-25,0.008373405697237768
2015-02-26,-0.0012302296256563316
2015-02-27,0.0004619924572948353
2015-03-02,0.008617998301996055
2015-03-03,0.0
2015-03-04,-0.009307302438670617
2015-03-05,0.011858873239602108
2015-03-06,-0.006088187443897275
2015-03-09,0.0006124545829058192
2015-03-10,-0.013774012043561545
2015-03-11,0.008379902158109909
2015-03-12,0.005540057900268236
2015-03-13,0.010866341500779253
2015-03-16,0.007872772430592256
2015-03-17,0.003455060207120164
2015-03-18,-0.0007485486448117751
2015-03-19,0.0017977939562852097
2015-03-20,0.005682626556156256
2015-03-23,0.010706337854321513
2015-03-24,-0.0076504967356473275
2015-03-25,-0.01690140016645536
2015-03-26,-0.0003015630191923746
2015-03-27,0.014632692824053217
2015-03-30,0.011002049364653876
2015-03-31,-0.015147040872012907
2015-04-01,0.013438875757414204
2015-04-02,-0.02180644315662894
2015-04-06,0.0010543710719650434
2015-04-07,-0.003912159792539227
2015-04-08,0.01465258709092554
2015-04-09,0.00357310554870649
2015-04-10,0.0032635154926159426
2015-04-13,0.0035488023497136645
2015-04-14,-0.009724526821867752
2015-04-15,-0.0007438688148239114
2015-04-16,0.004764736113389345
2015-04-17,-0.011707185480543836
2015-04-20,-0.0029990188981090515
2015-04-21,0.0031583560117256493
2015-04-22,-0.003748126108521377
2015-04-23,0.018660730626216537
2015-04-24,0.020682432353230196
2015-04-27,-0.002749961240156029
2015-04-28,0.00595059540834475
2015-04-29,-0.012119410871144543
2015-04-30,-0.037826842721042975
2015-05-01,0.021554430138750025
2015-05-04,-0.015898954625623518
2015-05-05,-0.02476229708466826
2015-05-06,0.004799585161246123
2015-05-07,-0.0006163469119703224
2015-05-08,-0.0001542111646060107
2015-05-11,-0.007555865463359512
2015-05-12,0.0017091455765751995
2015-05-13,0.01566623417258639
2015-05-14,0.002901569979709029
2015-05-15,0.022384669737942398
2015-05-18,0.005808748781558126
2015-05-19,0.012438975010653719
2015-05-20,0.006435495017348414
2015-05-21,-0.0014532550162633662
2015-05-22,0.014408352160686588
2015-05-26,-0.006169301635624014
2015-05-27,0.01804533074313519
2015-05-28,0.0009926219250764312
2015-05-29,-0.012466316745586958
2015-06-01,0.00473392390458649
2015-06-02,-0.005139928692830087
2015-06-03,-0.0005740659493707057
2015-06-04,0.00043076937908947954
2015-06-05,0.0005741483648433743
2015-06-08,-0.003729768177380244
2015-06-09,-0.00028792863851823114
2015-06-10,-0.00014406072571659934
2015-06-11,0.006338266393142611
2015-06-12,0.002433412073576724
2015-06-15,-0.004855009907427488
2015-06-16,0.012770833096134915
2015-06-17,0.0028336206156656107
2015-06-18,0.004662359942724459
2015-06-19,0.01040638246966652
2015-06-22,0.012108597982718017
2015-06-23,0.01086359876603571
2015-06-24,-0.008298198784174926
2015-06-25,0.008093228059552038
2015-06-26,-0.0032657214688510683
2015-06-29,-0.015972671248400183
2015-06-30,0.007352924054290666
2015-07-01,0.004958003130773214
2015-07-02,-0.0023296994121069226
2015-07-06,-0.002472531560854585
2015-07-07,0.0033048451486161756
2015-07-08,-0.016332726206938597
2015-07-09,0.006836968127290621
2015-07-10,0.027854689645634867
2015-07-13,0.01442631415989748
2015-07-14,0.011031390943916586
2015-07-15,-0.0018404021323791264
2015-07-16,0.010404331783908871
2015-07-17,0.0018248095336403924
2015-07-20,-0.005854761184865054
2015-07-21,-0.014657802550759769
2015-07-22,0.012485090051478354
2015-07-23,-0.007739786715246
2015-07-24,-0.009254322499875456
2015-07-27,-0.004803851062495479
2015-07-28,0.029096247193195035
2015-07-29,0.030618872626984928
2015-07-30,-0.00442475955591326
2015-07-31,-0.025777762276785743
2015-08-03,0.005083412192949721
2015-08-04,0.004927989241475306
2015-08-05,-0.002193807893041577
2015-08-06,-0.017071905070281335
2015-08-07,-0.009342093216745506
2015-08-10,0.011289659500399729
2015-08-11,-0.00998164095511922
2015-08-12,-0.004510431815851645
2015-08-13,-0.0005330612345324504
2015-08-14,0.0010666910807290986
2015-08-17,0.01451779849903767
2015-08-18,-0.0018379859920426567
2015-08-19,-0.004471870884512064
2015-08-20,-0.02179946456146864
2015-08-21,-0.014856813351151743
2015-08-24,-0.03701678759615712
2015-08-25,0.010962475738600652
2015-08-26,0.032530594129008605
2015-08-27,0.012002144804701853
2015-08-28,0.014016185421851013
2015-08-31,-0.009702229509107707
2015-09-01,-0.035028862374471115
