Date,HSY
2015-01-05,-0.007038511590621077
2015-01-06,0.0033012064967925525
2015-01-07,0.017614960696616055
2015-01-08,0.019308083127232534
2015-01-09,-0.0070918838008304785
2015-01-12,-0.00920952763055638
2015-01-13,0.011761351156027278
2015-01-14,0.0032809557331019423
2015-01-15,0.013455732570110124
2015-01-16,0.02028389455602353
2015-01-20,-0.002530336812472944
2015-01-21,-0.0016304681096418472
2015-01-22,0.005262960572200326
2015-01-23,-0.01949770247812488
2015-01-26,0.006536185151148288
2015-01-27,-0.001371951056090559
2015-01-28,-0.013738895676411289
2015-01-29,-0.04076877061013018
2015-01-30,-0.010456206079248909
2015-02-02,0.018099724795426653
2015-02-03,0.0061510317500916845
2015-02-04,0.009550429412964245
2015-02-05,0.0010412225438540812
2015-02-06,-0.002646503393930577
2015-02-09,-0.005495954830638916
2015-02-10,0.008861332377115616
2015-02-11,0.002738847269090794
2015-02-12,0.004615448163512559
2015-02-13,-0.006000629842694116
2015-02-17,-0.0010373425825721538
2015-02-18,0.009819338013846046
2015-02-19,-0.009350244578156808
2015-02-20,0.012175904287535566
2015-02-23,-0.006888158076893358
2015-02-24,-0.0021705917467073066
2015-02-25,-0.013334594331336103
2015-02-26,-0.00670961763404776
2015-02-27,0.0014476011703099534
2015-03-02,-0.010792244746827162
2015-03-03,-0.0010711566067879152
2015-03-04,-0.009946424542076393
2015-03-05,0.008076325265303774
2015-03-06,-0.026379933175406434
2015-03-09,0.003612475695199846
2015-03-10,-0.014898343879127807
2015-03-11,0.006090047112857766
2015-03-12,0.014931517956932927
2015-03-13,-0.007157206499420088
2015-03-16,0.009811820188535991
2015-03-17,-0.007832716026007325
2015-03-18,0.010392889163751917
2015-03-19,-0.005538520214897091
2015-03-20,0.015315418934801484
2015-03-23,-0.002938495037029587
2015-03-24,-0.011592417634467722
2015-03-25,0.010734599820795276
2015-03-26,-0.006686837658494427
2015-03-27,0.008711922261959382
2015-03-30,0.005300110519518064
2015-03-31,-0.014839718215567621
2015-04-01,-0.00019829953573446968
2015-04-02,-0.0013876014415642457
2015-04-06,0.007443942779742141
2015-04-07,0.0023648054746903124
2015-04-08,-0.011598303741271798
2015-04-09,0.001790134535041954
2015-04-10,-0.00645266786226617
2015-04-13,-0.006293874211651507
2015-04-14,0.015483556269770382
2015-04-15,-0.0034653693518515993
2015-04-16,0.007650149968198905
2015-04-17,-0.011338898429802624
2015-04-20,-0.020544170504509407
2015-04-21,-0.0019348936441816456
2015-04-22,0.0031623317752524915
2015-04-23,-0.034577255723498235
2015-04-24,-0.0031605367793748895
2015-04-27,-0.009722002130205465
2015-04-28,-0.0037348488580414285
2015-04-29,-0.02131513826390119
2015-04-30,0.006019156211941601
2015-05-01,0.018276973305815902
2015-05-04,0.006837634880638932
2015-05-05,-0.0037137404477814995
2015-05-06,0.0033015386685575354
2015-05-07,0.0018049394367762872
2015-05-08,0.0007413745820048501
2015-05-11,-0.005400235038909074
2015-05-12,0.004684708211420974
2015-05-13,-0.0007417865139854873
2015-05-14,0.01929973581742317
2015-05-15,0.0006244435263831338
2015-05-18,-0.00956552474379535
2015-05-19,-0.00010508149631149877
2015-05-20,-0.0017844305096498259
2015-05-21,-0.005130017722882907
2015-05-22,-0.00563462734999598
2015-05-26,-0.005666969575956249
2015-05-27,0.005054180809969999
2015-05-28,-0.0008561688980027737
2015-05-29,-0.005675052121943636
2015-06-01,-0.0013999327507773218
2015-06-02,-0.00215661771809339
2015-06-03,-0.008970340851019998
2015-06-04,-0.004689115193102111
2015-06-05,-0.004382549762814381
2015-06-08,0.007703301598800616
2015-06-09,-0.005460371360130556
2015-06-10,0.0004393129485051883
2015-06-11,-0.003841557853640709
2015-06-12,0.0030854811808860294
2015-06-15,-0.0019776649435827576
2015-06-16,0.013647519297601773
2015-06-17,0.004017359205656934
2015-06-18,-0.0022708468474795795
2015-06-19,-0.034901310869190905
2015-06-22,0.0022458832438094767
2015-06-23,-0.001344748571651344
2015-06-24,-0.009874190280613093
2015-06-25,-0.004306665606537363
2015-06-26,0.007853810281491569
2015-06-29,-0.007227512435280747
2015-06-30,0.010464980274417002
2015-07-01,0.008218111939342077
2015-07-02,0.005359558157464361
2015-07-06,-0.012439004102616336
2015-07-07,0.02665289184343833
2015-07-08,-0.010077626058982214
2015-07-09,0.004868697862591587
2015-07-10,0.011672785705924227
2015-07-13,0.0028302478239301543
2015-07-14,0.0032560989706398313
2015-07-15,-0.008114037105406924
2015-07-16,0.006980868097568704
2015-07-17,-0.008773749743016812
2015-07-20,-0.0019669799549895117
2015-07-21,-0.006679601845913652
2015-07-22,0.004078790862741544
2015-07-23,-0.004830108098175745
2015-07-24,-0.0049648477860310125
2015-07-27,0.005211074274762861
2015-07-28,0.01488934352189708
2015-07-29,0.005216279201895713
2015-07-30,0.0038916469376708562
2015-07-31,0.00032323752036234055
2015-08-03,-0.003983088467613749
2015-08-04,0.0030264722050776793
2015-08-05,-0.001508826358235349
2015-08-06,-0.004964467776952808
2015-08-07,-0.026789541857244137
2015-08-10,0.023180895593887252
2015-08-11,-0.004030258145354959
2015-08-12,0.00896767576313695
2015-08-13,-0.019293495680504424
2015-08-14,0.009615226460077952
2015-08-17,0.010508973075536776
2015-08-18,0.012241578255210106
2015-08-19,-0.014554479027983236
2015-08-20,-0.005321608010139922
2015-08-21,-0.01633965584386876
2015-08-24,-0.03407050447314075
2015-08-25,-0.015496731028164512
2015-08-26,0.03594510226353065
2015-08-27,0.023245232136019034
2015-08-28,-0.00044297889098643406
2015-08-31,-0.007539194871048038
