Date,TRGP
2015-01-05,-0.07351011941268581
2015-01-06,-0.031051907385411304
2015-01-07,-0.009467867372627947
2015-01-08,0.028256374913852467
2015-01-09,-0.05179283651141375
2015-01-12,-0.0382464733750677
2015-01-13,-0.0380864194960191
2015-01-14,-0.00442537393536413
2015-01-15,0.013334759882401181
2015-01-16,0.026665209563519365
2015-01-20,0.008432671807129921
2015-01-21,0.025978285121164513
2015-01-22,-0.008476481179601092
2015-01-23,-0.0013153143533161105
2015-01-26,0.005158169055389239
2015-01-27,0.007861308083538576
2015-01-28,-0.052432316866849904
2015-01-29,-0.014475706136028
2015-01-30,0.01626890450882712
2015-02-02,0.05504983388947382
2015-02-03,0.05141353964518447
2015-02-04,-0.037998348580394525
2015-02-05,0.043060558755066536
2015-02-06,-0.02307255345995296
2015-02-09,-0.006354815036651806
2015-02-10,0.005755830027702524
2015-02-11,-0.04005928774586387
2015-02-12,0.02936614114827596
2015-02-13,0.007400784659371773
2015-02-17,0.05461442597129884
2015-02-18,-0.004643682592674003
2015-02-19,-0.028904816754270812
2015-02-20,0.0052222780661201895
2015-02-23,0.006545203440365244
2015-02-24,-0.001445213781014032
2015-02-25,0.015505718297975646
2015-02-26,-0.0073291535291986065
2015-02-27,0.0211245488468792
2015-03-02,-0.007331452292704044
2015-03-03,-0.009205102990480718
2015-03-04,0.012150091038763078
2015-03-05,0.014223566508256846
2015-03-06,-0.01750556876748577
2015-03-09,-0.01518555379942732
2015-03-10,-0.012540841341929343
2015-03-11,-0.01717659433079799
2015-03-12,-0.03442446383976805
2015-03-13,-0.022487959151118342
2015-03-16,-0.0004489329661165886
2015-03-17,0.008644967267452897
2015-03-18,0.02404249732754682
2015-03-19,-0.021304080558516847
2015-03-20,0.007552115175753826
2015-03-23,0.009810421120588053
2015-03-24,-0.008187176354802261
2015-03-25,0.01430794685965342
2015-03-26,0.025499071634904835
2015-03-27,0.004867781545665917
2015-03-30,0.023059590308601052
2015-03-31,-0.014100618776614726
2015-04-01,-0.008351463963403805
2015-04-02,-0.0014739685280064085
2015-04-06,0.029414782688837127
2015-04-07,0.011368588687119763
2015-04-08,-0.00800012609362899
2015-04-09,0.02674561181702484
2015-04-10,-0.0001988370558750896
2015-04-13,-0.011038472577172276
2015-04-14,0.028858929983191617
2015-04-15,0.0453481561810678
2015-04-16,-0.014958908483693745
2015-04-17,-0.010155947712284341
2015-04-20,0.009300965312093012
2015-04-21,-0.006174827112505943
2015-04-22,0.007933967893677396
2015-04-23,0.016881907624833214
2015-04-24,-0.003544298217339703
2015-04-27,-0.0014973750448196155
2015-04-28,-0.007967843257198237
2015-04-29,0.008220332623983584
2015-04-30,-0.008500666968813131
2015-05-01,0.000381081266751071
2015-05-04,0.00552345338202942
2015-05-05,-0.012690841853582602
2015-05-06,-0.023213561317596
2015-05-07,0.0006876111998170842
2015-05-08,0.01383723423326555
2015-05-11,-0.015390554541375945
2015-05-12,-0.010912476909478941
2015-05-13,0.009840148492525902
2015-05-14,-0.0132876940780976
2015-05-15,0.00977607588111673
2015-05-18,-0.0043463906463681035
2015-05-19,-0.011211856379266805
2015-05-20,-0.01184049820907096
2015-05-21,0.0009135872435492853
