Date,ABBV
2015-01-05,-0.01881926392796407
2015-01-06,-0.004949465399778585
2015-01-07,0.040416429233877116
2015-01-08,0.010458699749091416
2015-01-09,-0.027354854364974313
2015-01-12,-0.00030356002543485694
2015-01-13,-0.028803683351700027
2015-01-14,0.004890199799353123
2015-01-15,-0.012715759639754354
2015-01-16,0.02623617866213457
2015-01-20,-0.01688850229494565
2015-01-21,-0.011820238882900735
2015-01-22,0.004465455531087015
2015-01-23,-0.008732833306065557
2015-01-26,0.006407283613377945
2015-01-27,0.004297089209089222
2015-01-28,-0.01980970588578157
2015-01-29,0.02053335829894376
2015-01-30,-0.04388448811623569
2015-02-02,0.00579988057205294
2015-02-03,0.015650355883357392
2015-02-04,-0.07688571848287462
2015-02-05,0.018977187420509578
2015-02-06,-0.01879637217809349
2015-02-09,-0.024956048946358833
2015-02-10,0.02541479758319176
2015-02-11,-0.0035154602257316814
2015-02-12,0.006350276677577149
2015-02-13,0.017528313198082346
2015-02-17,0.011541855534453305
2015-02-18,0.008855785031951502
2015-02-19,-0.004051582756609995
2015-02-20,0.03898268755991219
2015-02-23,-0.011908143514407055
2015-02-24,0.004952908507596776
2015-02-25,-0.004107242881375206
2015-02-26,-0.0016494786115762716
2015-02-27,-0.00033079082050613273
2015-03-02,-0.0006614114929779369
2015-03-03,-0.013892897024140871
2015-03-04,0.010902132595515868
2015-03-05,-0.05657853150945047
2015-03-06,-0.02145638740514344
2015-03-09,-0.001796902052021987
2015-03-10,0.005401257785935698
2015-03-11,0.013968479790076094
2015-03-12,0.024373034325850362
2015-03-13,0.0
2015-03-16,0.019310264220249396
2015-03-17,0.01031808479241847
2015-03-18,0.0026784704452997854
2015-03-19,0.02170666073979932
2015-03-20,-0.012911052768241005
2015-03-23,0.0013252082731110004
2015-03-24,-0.014054576100040017
2015-03-25,-0.02364593379722757
2015-03-26,-0.016316925136997784
2015-03-27,0.00663501284761181
2015-03-30,0.01023422912865235
2015-03-31,0.0051510589983181365
2015-04-01,-0.024598878123324397
2015-04-02,-0.0015759643790003164
2015-04-06,0.010524595805541548
2015-04-07,0.014060256784135916
2015-04-08,0.006675843790392433
2015-04-09,0.025675667427367044
2015-04-10,0.027851340886426712
2015-04-13,-0.004716234810216879
2015-04-14,0.008496835429457894
2015-04-15,0.005022714599611122
2015-04-16,0.009027824690543529
2015-04-17,-0.004793263527577141
2015-04-20,0.02006770154392079
2015-04-21,0.0011015684100343925
2015-04-22,0.014305916298237298
2015-04-23,-0.004184848287490328
2015-04-24,0.028327012361684112
2015-04-27,-0.01589229786416113
2015-04-28,0.022608177228333526
2015-04-29,-0.012934374880679833
2015-04-30,-0.01477958629501297
2015-05-01,-0.005258185519825709
2015-05-04,0.005597026944652361
2015-05-05,-0.012677785362284033
2015-05-06,0.0012526922556348463
2015-05-07,0.011886189340017284
2015-05-08,0.008346140822059533
2015-05-11,-0.0006129630959896826
2015-05-12,-0.005981666962803556
2015-05-13,0.007560687665975285
2015-05-14,0.010260109020026276
2015-05-15,0.0003033555422500278
2015-05-18,-0.005758646615011909
2015-05-19,0.0018293197118917082
2015-05-20,0.0024338400999639465
2015-05-21,-0.0036421177941976524
2015-05-22,-0.0025897120397740947
2015-05-26,0.00946851093754586
2015-05-27,0.019364386386073074
2015-05-28,0.0013360575915746242
2015-05-29,-0.01304302394359591
2015-06-01,0.005106136382220905
2015-06-02,-0.004631820496943662
2015-06-03,0.005853993313851946
2015-06-04,0.006118570958509428
2015-06-05,-0.00029631186516498875
2015-06-08,0.005785898630958908
2015-06-09,-0.001769975654763556
2015-06-10,0.008423132501441444
2015-06-11,-0.0029307625729954045
2015-06-12,-0.014550466056146294
2015-06-15,-0.002087544203528746
2015-06-16,-0.0020927834080384233
2015-06-17,0.014976867995968313
2015-06-18,0.01785456547147657
2015-06-19,0.007248474213607192
2015-06-22,0.00921143383020917
2015-06-23,-0.0014265918213673956
2015-06-24,-0.011424871612932264
2015-06-25,0.008667638693643731
2015-06-26,0.009166746703506146
2015-06-29,-0.046551265002085285
2015-06-30,0.00014881552226686523
2015-07-01,0.019645764048792147
2015-07-02,-0.004378903673404655
2015-07-06,0.00014648278741691279
2015-07-07,0.004983962826197175
2015-07-08,-0.013127130799712283
2015-07-09,0.004581933403553062
2015-07-10,0.01853736736085243
2015-07-13,0.012369088877725476
2015-07-14,0.0033060548968990577
2015-07-15,-0.0007161841601709407
2015-07-16,0.0034407125346389567
2015-07-17,0.0
2015-07-20,0.01157277309683491
2015-07-21,-0.0036720649684740536
2015-07-22,0.0002834191502321115
2015-07-23,-0.0005671703135766704
2015-07-24,-0.03459968922656187
2015-07-27,0.018507484633258242
2015-07-28,0.0272568561969031
2015-07-29,-0.006457936267945108
2015-07-30,-0.008619343908580324
2015-07-31,-0.002138188845466349
2015-08-03,-0.003998900438914155
2015-08-04,0.0031546556406449877
2015-08-05,0.005003616308695058
2015-08-06,-0.015078348921864326
2015-08-07,-0.008954301777230778
2015-08-10,0.008598308401058796
2015-08-11,-0.013871071373983912
2015-08-12,0.007326021006670125
2015-08-13,-0.0030547735766636164
2015-08-14,0.001605517537035528
2015-08-17,0.01048786965073889
2015-08-18,-0.007352046494704112
2015-08-19,-0.003920726664113028
2015-08-20,-0.016183245642588995
2015-08-21,-0.023414616054846293
2015-08-24,-0.03717741827015253
2015-08-25,-0.043183516844517045
2015-08-26,0.04002624171000524
2015-08-27,0.021697860024195048
2015-08-28,-0.00821584133324249
2015-08-31,-0.024538860726667444
2015-09-01,-0.0306038849540321
2015-09-02,0.007933639827900407
