Date,J
2015-01-05,-0.036066324698714736
2015-01-06,-0.018127080823721164
2015-01-07,-0.01325398219448548
2015-01-08,0.03597964738103587
2015-01-09,-0.026857934327184307
2015-01-12,-0.030216757211834366
2015-01-13,-0.012266882945507485
2015-01-14,-0.009190141357028447
2015-01-15,-0.033341885149400396
2015-01-16,0.010114216148087607
2015-01-20,0.00051345650218515
2015-01-21,0.0156529911520511
2015-01-22,0.0005054091310416897
2015-01-23,0.0047981783645842935
2015-01-26,0.00452336514080276
2015-01-27,-0.021265742631078166
2015-01-28,-0.01942757232888792
2015-01-29,0.01016688495893825
2015-01-30,-0.016774074202092537
2015-02-02,0.04593194195857042
2015-02-03,0.03186908390263832
2015-02-04,-0.0321010456776335
2015-02-05,0.026884595887864293
2015-02-06,0.0009786096860329163
2015-02-09,0.012955098961820566
2015-02-10,0.0004826644514219769
2015-02-11,0.011577580642623486
2015-02-12,0.014783031319819173
2015-02-13,0.016682741985021066
2015-02-17,-0.00046282427363697476
2015-02-18,0.013179796148326428
2015-02-19,-0.0002286774158637428
2015-02-20,0.01438041874297391
2015-02-23,-0.005400974707154171
2015-02-24,0.007013917734446373
2015-02-25,0.005392035413123164
2015-02-26,-0.004692561351878011
2015-02-27,-0.004490372713075286
2015-03-02,-0.0033829983022356513
2015-03-03,-0.004526050610536347
2015-03-04,-0.004773746065623308
2015-03-05,0.0015986924918560685
2015-03-06,-0.017331742283396512
2015-03-09,0.00394566442592037
2015-03-10,0.002080037465672868
2015-03-11,-0.007151100483998918
2015-03-12,0.013708131842597782
2015-03-13,-0.00939682536794928
2015-03-16,0.010179797834180215
2015-03-17,-0.003893017077440941
2015-03-18,0.026212632088040477
2015-03-19,-0.014340174039698894
2015-03-20,0.01841363271452745
2015-03-23,0.003571383092928704
2015-03-24,0.00333634624737722
2015-03-25,-0.0035471701267044686
2015-03-26,0.0002227080549022098
2015-03-27,-0.015124887346732008
2015-03-30,0.015357162702573923
2015-03-31,0.004448204212018636
2015-04-01,-0.018821943988058254
2015-04-02,-0.0006772145245218519
2015-04-06,0.02190602689094301
2015-04-07,-0.006629711421074047
2015-04-08,0.006673957835560129
2015-04-09,0.014364813262141674
2015-04-10,0.015250367595603276
2015-04-13,-0.0038626532686126813
2015-04-14,0.008186252827539597
2015-04-15,0.03012830025481983
2015-04-16,-0.009334296733788494
2015-04-17,-0.006281393986480643
2015-04-20,-0.0014750451152457655
2015-04-21,-0.005697445622880992
2015-04-22,-0.0036074695021648395
2015-04-23,0.004472780459828352
2015-04-24,-0.01802383184643319
2015-04-27,0.007557514752536187
2015-04-28,-0.05700785975094769
2015-04-29,0.0034086888757955958
2015-04-30,-0.02921801544283542
2015-05-01,-0.0025668174634791985
2015-05-04,0.0032748858309723516
2015-05-05,-0.002098213413090355
2015-05-06,0.0035046070915527583
