Date,K
2015-01-05,-0.018632053865884957
2015-01-06,0.002957064358986683
2015-01-07,0.02420435827186207
2015-01-08,0.018179350943678507
2015-01-09,-0.011605501512669703
2015-01-12,-0.014300433702460702
2015-01-13,0.007482929080812939
2015-01-14,0.011520170637330907
2015-01-15,0.01513584941734858
2015-01-16,0.005609620735417042
2015-01-20,0.01247846380140527
2015-01-21,0.000869396288908808
2015-01-22,0.011734174768817107
2015-01-23,-0.016609165998750508
2015-01-26,0.002911876455077511
2015-01-27,-0.006533181098992924
2015-01-28,-0.015344196080695593
2015-01-29,-0.0005936458070286976
2015-01-30,-0.026135930995112244
2015-02-02,0.013571181994683323
2015-02-03,0.0027080219074877565
2015-02-04,-0.00014997204358413452
2015-02-05,0.005852037355131401
2015-02-06,-0.011636582856388578
2015-02-09,-0.006792276670287811
2015-02-10,0.007750621772199651
2015-02-11,-0.0001505670794604841
2015-02-12,-0.045249045525431186
2015-02-13,-0.0015796364667497453
2015-02-17,0.0001580675457668601
2015-02-18,0.009175867338414578
2015-02-19,0.0
2015-02-20,0.0047030497940618865
2015-02-23,0.003120689769994467
2015-02-24,-0.004044024567027571
2015-02-25,0.011712919432647517
2015-02-26,-0.0016978483473913952
2015-02-27,-0.002938494256928048
2015-03-02,-0.002946170488238087
2015-03-03,0.007310483224870046
2015-03-04,0.007001723488834433
2015-03-05,-0.010352170682482065
2015-03-06,-0.024668580684801378
2015-03-09,0.002081121019771315
2015-03-10,0.00015974673147844953
2015-03-11,-0.010221883580329827
2015-03-12,0.005486512427532064
2015-03-13,-0.002567935032245061
2015-03-16,0.01110233372541436
2015-03-17,-0.009388968290187871
2015-03-18,0.013011684317987493
2015-03-19,-0.003964083065468027
2015-03-20,0.020219636847612188
2015-03-23,-0.00202883279405619
2015-03-24,-0.015793550641600707
2015-03-25,0.00333646856729386
2015-03-26,-0.0023750596438915084
2015-03-27,0.013333161305047803
2015-03-30,0.026002614975441762
2015-03-31,0.0068700658979949925
2015-04-01,0.0034876281724185443
2015-04-02,0.003021931709602299
2015-04-06,-0.005272749332832727
2015-04-07,-0.004391573948147931
2015-04-08,-0.002282096725236049
2015-04-09,-0.001524383192948786
2015-04-10,0.0036647344824349837
2015-04-13,-0.00410785948386061
2015-04-14,0.00183320717864488
2015-04-15,-0.006251909369746511
2015-04-16,-0.0018415403941700603
2015-04-17,-0.01014557463049326
2015-04-20,0.0026399323730685875
2015-04-21,-0.010842872379220991
2015-04-22,0.0018792278144001973
2015-04-23,-0.0020318251274050736
2015-04-24,-0.0018793424999729025
2015-04-27,-0.001883150536176048
2015-04-28,0.0009437116963018077
2015-04-29,-0.0045550697649580085
2015-04-30,-0.0007888135509027672
2015-05-01,0.008842608154983278
2015-05-04,0.00375651059515536
2015-05-05,-0.014813783377293444
2015-05-06,-0.002690673317033543
2015-05-07,0.00872899013852857
2015-05-08,0.0007862191719680833
2015-05-11,0.0026723949885643083
2015-05-12,-0.0017240758805194822
2015-05-13,0.0009421027132001658
2015-05-14,0.013337171609570042
2015-05-15,0.010065273238450967
2015-05-18,-0.009045049741060462
2015-05-19,-0.006961293226035559
2015-05-20,0.0006229806189355092
2015-05-21,-0.0042035259817956305
2015-05-22,-0.004377709667144569
2015-05-26,-0.010678365760769526
2015-05-27,0.0038096693586064934
2015-05-28,-0.0030282757646247216
2015-05-29,0.0033570552771073903
2015-06-01,-0.0035047171889945883
2015-06-02,-0.0060751903786361305
2015-06-03,0.0016081120032378493
2015-06-04,-0.00016053477050870235
2015-06-05,-0.013009965609938057
2015-06-08,-0.0022781245600904665
2015-06-09,0.0032619873007520006
2015-06-10,0.008779219009172223
2015-06-11,0.0027396818893388186
2015-06-12,-0.0014464301428556148
2015-06-15,-0.0070819130334460745
2015-06-16,0.012643671387918332
2015-06-17,0.005602728354686004
2015-06-18,0.0044571558974744185
2015-06-19,0.003803595286876016
2015-06-22,0.0009471163481589162
2015-06-23,0.0011041624280716533
2015-06-24,-0.0009453555159579796
2015-06-25,-0.008516071381865498
2015-06-26,0.0028631328194774763
2015-06-29,-0.007137396733859491
2015-06-30,0.001597701791850259
2015-07-01,0.004943896969535011
2015-07-02,0.002063434358476224
2015-07-06,-0.006335159202528251
2015-07-07,0.021995350941286462
2015-07-08,-0.006861769835779241
2015-07-09,-0.0014133567114865686
2015-07-10,0.0025161308820365047
2015-07-13,0.006745052156860165
2015-07-14,-0.0009351627844328414
2015-07-15,-0.006861769835779241
2015-07-16,0.01287683380268323
2015-07-17,-0.002325911720321372
2015-07-20,-0.003263055842219531
2015-07-21,-0.0018712262327658102
2015-07-22,0.005779639628002098
2015-07-23,-0.000931848315488315
2015-07-24,0.0032642462571885744
2015-07-27,0.0021693184274316213
2015-07-28,0.005720399597248571
2015-07-29,0.005841886112122108
2015-07-30,0.010086882365308636
2015-07-31,0.001210648550796778
2015-08-03,-0.0015113306018309514
2015-08-04,0.021643699765276025
2015-08-05,0.017185059777047762
2015-08-06,0.002913125734692601
2015-08-07,0.0008714404667589104
2015-08-10,0.0011606891942341768
2015-08-11,0.002898441208094571
2015-08-12,-0.004335219906652199
2015-08-13,-0.00014516950332488232
2015-08-14,0.01277380296920927
2015-08-17,-0.0024364574597246502
2015-08-18,-0.004310386686218526
2015-08-19,-0.005050622609328537
2015-08-20,-0.0033354072883221564
2015-08-21,-0.0183354647842785
2015-08-24,-0.025496507275292513
2015-08-25,-0.009735368694689939
2015-08-26,0.028110705544734937
2015-08-27,0.006424325044047663
2015-08-28,0.0026924386161348846
2015-08-31,-0.011336473967828997
