Date,WRB
2015-01-05,-0.00888404815732502
2015-01-06,-0.002589598667736115
2015-01-07,0.0009982033781106292
2015-01-08,0.02134886121347579
2015-01-09,-0.008595385508132991
2015-01-12,-0.009852317583819548
2015-01-13,0.001990134177012548
2015-01-14,-0.029394258085207348
2015-01-15,-0.0065480484176240195
2015-01-16,0.01627218666048491
2015-01-20,-0.00912048881495342
2015-01-21,0.004499956477969302
2015-01-22,0.029118235098104517
2015-01-23,-0.012663121122904686
2015-01-26,0.005811570621530704
2015-01-27,-0.0015941380981664421
2015-01-28,-0.009978070816127893
2015-01-29,0.01713368147451111
2015-01-30,-0.029131860262646025
2015-02-02,0.012043152206688612
2015-02-03,0.006857716261565061
2015-02-04,-0.030448911090349418
2015-02-05,0.016529295453905135
2015-02-06,0.00630080903141228
2015-02-09,0.0024235630995261825
2015-02-10,0.004029748519544407
2015-02-11,0.0024082414838610955
2015-02-12,0.004804911580328364
2015-02-13,0.0015934987807018075
2015-02-17,-0.00019859119137555226
2015-02-18,0.0005969293570815548
2015-02-19,-0.0033806083069155557
2015-02-20,0.0071829223194923575
2015-02-23,-0.006339205790469538
2015-02-24,-0.0019935449476777833
2015-02-25,-0.00019982482077463004
2015-02-26,0.005994019443779752
2015-02-27,-0.008738704305201406
2015-03-02,0.0068120513985776565
2015-03-03,-0.001790985066530526
2015-03-04,-0.0021929714086904584
2015-03-05,0.002597360342696753
2015-03-06,0.0009966549832070015
2015-03-09,-0.0005972059481360592
2015-03-10,-0.016135554316414558
2015-03-11,0.015994946844169133
2015-03-12,0.021323253122150332
2015-03-13,-0.012683112138010655
2015-03-16,0.015020021701769748
2015-03-17,-0.0021463412043704055
2015-03-18,0.008212755437011054
2015-03-19,-0.012994680691685523
2015-03-20,0.009825327339199497
2015-03-23,0.005059412643025452
2015-03-24,-0.016844180673973308
2015-03-25,-0.00945244485233121
2015-03-26,0.0047710446026349995
2015-03-27,-0.004550807517693878
2015-03-30,0.016895378531879723
2015-03-31,-0.012705356931212775
2015-04-01,-0.006137484534657789
2015-04-02,0.0017929156868801144
2015-04-06,0.00636329617404785
2015-04-07,-0.012448100622357572
2015-04-08,0.0038013301692685353
2015-04-09,0.009368176217953827
2015-04-10,-0.004541741341488104
2015-04-13,-0.0007937962890698369
2015-04-14,0.0005958599059385783
2015-04-15,-0.0035714421847881095
2015-04-16,0.009557928474210886
2015-04-17,-0.01005926287068104
2015-04-20,0.009563642560434182
2015-04-21,-0.01736696089479639
2015-04-22,-0.009239193737302864
2015-04-23,0.0036492344015268685
2015-04-24,0.005049350852602386
2015-04-27,-0.001808688574102435
2015-04-28,0.004831962668362388
2015-04-29,-0.01342403564838024
2015-04-30,-0.00507711916668363
2015-05-01,0.002040949709077644
2015-05-04,0.0024445263009766904
2015-05-05,-0.0020323951869589685
2015-05-06,0.0040725794752818345
2015-05-07,0.00669267896114456
2015-05-08,0.006849268680322096
2015-05-11,-0.0022011199149500893
2015-05-12,-0.0028072477214937663
2015-05-13,0.0010056925935117977
2015-05-14,0.004419283080142167
2015-05-15,-0.0026001522485477047
2015-05-18,0.0018047796323781284
2015-05-19,0.004002968900645554
2015-05-20,0.0007975135132460842
2015-05-21,-0.007967663735505726
2015-05-22,-0.00622538629285041
2015-05-26,-0.011315130945862117
2015-05-27,0.006335750871178991
2015-05-28,0.0004059224359767022
2015-05-29,-0.005278100449331635
2015-06-01,0.003469201474326944
2015-06-02,0.008948708656848714
2015-06-03,0.014109960835110957
2015-06-04,-0.012919780085938304
2015-06-05,-0.0032218497766602905
2015-06-08,-0.007272754910471968
2015-06-09,-0.007936728361753742
2015-06-10,0.030974657747535383
2015-06-11,0.015556280918796128
2015-06-12,0.008051803161660764
2015-06-15,-0.0027274221477443517
2015-06-16,0.006837320307697015
2015-06-17,-0.0015523315379802893
2015-06-18,0.01904411346519508
2015-06-19,0.008962874454658154
2015-06-22,-0.004158337703295656
2015-06-23,0.009110098288579227
2015-06-24,-0.006206780802706979
2015-06-25,-0.006244941027263917
2015-06-26,0.0020948551953208217
2015-06-29,-0.017104039004411375
2015-06-30,0.004060399249433022
2015-07-01,0.053726118141455004
2015-07-02,-0.004386139009763368
2015-07-06,0.011931120564223852
2015-07-07,0.017957770475922175
2015-07-08,-0.0014257153834114078
2015-07-09,-0.009992902925688885
2015-07-10,0.014059265610549154
2015-07-13,-0.0015996636590056568
2015-07-14,0.001246168410657944
2015-07-15,-0.004623209491380953
2015-07-16,0.0044664417029181
2015-07-17,0.0021337142761383987
2015-07-20,-0.01242244474829346
2015-07-21,-0.002515482305705752
2015-07-22,0.013691155447262737
2015-07-23,-0.00479856336862472
2015-07-24,0.006607254211697722
2015-07-27,-0.009224741360521649
2015-07-28,-0.018621187528310434
2015-07-29,0.016055297663263524
2015-07-30,0.0050277812769601304
2015-07-31,-0.004466383489197923
2015-08-03,0.0021536027379003286
2015-08-04,0.005551196208240183
2015-08-05,0.00017819926161788402
2015-08-06,0.0007122434709534442
2015-08-07,0.006583669575209505
2015-08-10,0.01060650259339635
2015-08-11,0.0010495604424385352
2015-08-12,-0.001922362749446127
2015-08-13,0.011379681136016506
2015-08-14,0.006750943160192202
2015-08-17,0.004298476993711997
2015-08-18,-0.0035952719729768212
2015-08-19,-0.004982663686494693
2015-08-20,-0.021930732072639847
2015-08-21,-0.02365816007941557
2015-08-24,-0.04647355225563443
2015-08-25,-0.014982014737132898
2015-08-26,0.020407948335358972
2015-08-27,0.026981343284425474
2015-08-28,0.0012860786243564792
2015-08-31,-0.004036947709134875
