Date,L
2015-01-05,-0.023958111308210017
2015-01-06,-0.017673167281436863
2015-01-07,0.0
2015-01-08,0.01599219141750763
2015-01-09,-0.01500241783200762
2015-01-12,-0.009488333527645776
2015-01-13,-0.0005042443435595567
2015-01-14,-0.00983610378607147
2015-01-15,-0.011461525982416898
2015-01-16,0.012882649574702754
2015-01-20,0.0010176223986100297
2015-01-21,-0.003303425599960441
2015-01-22,0.016063174031140548
2015-01-23,-0.010288602603631958
2015-01-26,0.0025354150668555064
2015-01-27,-0.002781750852604792
2015-01-28,-0.02460062569337762
2015-01-29,0.005720356979530328
2015-01-30,-0.010858594961827173
2015-02-02,0.02352334364144082
2015-02-03,0.02936672631604975
2015-02-04,0.002232674220762121
2015-02-05,0.008168301444270387
2015-02-06,0.0002455606695666024
2015-02-09,0.012027348880901956
2015-02-10,0.006791147649374052
2015-02-11,-0.0009635922066939528
2015-02-12,0.01085149797357432
2015-02-13,0.010018854249433717
2015-02-17,0.0044874798429748175
2015-02-18,-0.008934864660884112
2015-02-19,0.0054565738291523225
2015-02-20,-0.0007077160966157958
2015-02-23,-0.006139496418018253
2015-02-24,0.00784042439337762
2015-02-25,-0.01579425943515489
2015-02-26,-0.011442542241331566
2015-02-27,-0.004853402873233215
2015-03-02,-0.01024117880198483
2015-03-03,0.010101011099487467
2015-03-04,-0.008292624067154364
2015-03-05,0.0007375274574545898
2015-03-06,-0.005160465082798771
2015-03-09,0.0034587174150064737
2015-03-10,-0.02880413121629566
2015-03-11,0.0060837333336045685
2015-03-12,0.01990456628934889
2015-03-13,-0.013587471503617832
2015-03-16,0.012522010836908182
2015-03-17,0.002968282546359724
2015-03-18,0.011837496947492143
2015-03-19,-0.004387018719491653
2015-03-20,0.004895289040593109
2015-03-23,-0.0012176649978590248
2015-03-24,-0.009512262884569633
2015-03-25,-0.008618474307449886
2015-03-26,0.0034774190500734825
2015-03-27,-0.005198102424466833
2015-03-30,0.014182488297814988
2015-03-31,0.0017174304672971097
2015-04-01,-0.009796753767702504
2015-04-02,0.017808702873428395
2015-04-06,0.009234413782236883
2015-04-07,-0.0045745733715195636
2015-04-08,0.004353830048541507
2015-04-09,-0.0019267117057351069
2015-04-10,-0.006515422777286006
2015-04-13,0.008258186116907096
2015-04-14,0.003372703286493639
2015-04-15,0.018007436949694533
2015-04-16,-0.0037733517242631853
2015-04-17,-0.009469916989095273
2015-04-20,0.001434413279609803
2015-04-21,-0.016468294532704708
2015-04-22,0.0036396870470836173
2015-04-23,0.007011714128809077
2015-04-24,-0.00072028591796236
2015-04-27,-0.004564970452967776
2015-04-28,0.012792556874693162
2015-04-29,-0.001668122827770846
2015-04-30,-0.005967672941830537
2015-05-01,0.0021609901530268427
2015-05-04,-0.0014379061087212985
2015-05-05,-0.00959878523934854
2015-05-06,-0.004361700721065009
2015-05-07,0.0031638413003689525
2015-05-08,0.004851834824834089
2015-05-11,-0.006518665873378571
2015-05-12,-0.004860284493423572
2015-05-13,-0.009279612844703133
2015-05-14,0.008133767060399366
2015-05-15,-0.006356590637799586
2015-05-18,0.010088188471079063
2015-05-19,0.0012184469307521262
2015-05-20,0.0017032226119861882
2015-05-21,-0.002915221465417006
2015-05-22,-0.008525707558857287
2015-05-26,-0.0159704963509838
2015-05-27,0.0044943671640105265
2015-05-28,0.004057869546181259
2015-05-29,-0.00520711601442958
2015-06-01,-0.0027417996386404075
2015-06-02,0.010497325856250628
2015-06-03,0.0074204807647146875
2015-06-04,-0.014485757573253988
2015-06-05,-0.00024900328824062345
2015-06-08,-0.010216768673633858
2015-06-09,-0.0015103215729290742
2015-06-10,0.023449081284976803
2015-06-11,-0.0029562938493316038
2015-06-12,-0.011366787077868312
2015-06-15,-0.012496826031269448
2015-06-16,0.0007594281637737232
2015-06-17,-0.0017703841897822592
2015-06-18,0.004560475808661479
2015-06-19,-0.009583907586793727
2015-06-22,0.008658364595739432
2015-06-23,-0.0010101489221251425
2015-06-24,-0.010866740442552092
2015-06-25,-0.009708684204466023
2015-06-26,0.005418239200418951
2015-06-29,-0.020272223416954005
2015-06-30,0.008643029473429209
