Date,HLT
2015-01-05,-0.03238226723863913
2015-01-06,-0.009163134014482543
2015-01-07,0.016083563818909852
2015-01-08,0.02770084652311189
2015-01-09,-0.010011587485515672
2015-01-12,-0.010112832997799526
2015-01-13,0.007858473863096016
2015-01-14,0.01091620216941469
2015-01-15,-0.012726519437220585
2015-01-16,0.010155980096107742
2015-01-20,-0.0030935227980632973
2015-01-21,0.0038789029723556023
2015-01-22,0.0332304296392989
2015-01-23,-0.0067313613659732985
2015-01-26,0.013177867086028971
2015-01-27,-0.016350850616381307
2015-01-28,-0.0007557804631344034
2015-01-29,-0.002646564191895129
2015-01-30,-0.015541821854380133
2015-02-02,0.005775822796534769
2015-02-03,0.017228037907171423
2015-02-04,-0.009032647039086794
2015-02-05,0.020508983386814394
2015-02-06,-0.018980608321894077
2015-02-09,0.0049321812048064295
2015-02-10,0.0366171493261338
2015-02-11,0.025491790166763728
2015-02-12,0.009943203113979227
2015-02-13,0.004570974769362746
2015-02-17,0.0028001559086341388
2015-02-18,-0.003839266229700211
2015-02-19,-0.006657643396243085
2015-02-20,0.0
2015-02-23,-0.015167298954916641
2015-02-24,-0.004655966545064838
2015-02-25,0.004677745973825198
2015-02-26,0.003223610316959613
2015-02-27,0.009282362025929691
2015-03-02,0.021223646522984474
2015-03-03,0.01385515650450908
2015-03-04,-0.010591085069146855
2015-03-05,0.0024172513499314263
2015-03-06,-0.02721308707649439
2015-03-09,0.0014162646395614598
2015-03-10,-0.013083309164003132
2015-03-11,0.0046578459523900495
2015-03-12,0.009629233676112792
2015-03-13,-0.005651951985216508
2015-03-16,0.029485148152948337
2015-03-17,-0.0031057001166865383
2015-03-18,0.014191730140984848
2015-03-19,0.005460714301990244
2015-03-20,-0.005091786600478043
2015-03-23,0.005458986153256795
2015-03-24,0.00033942166785561056
2015-03-25,-0.024762713586081397
2015-03-26,0.014956615957981034
2015-03-27,0.01953399537933409
2015-03-30,-0.004033734915901976
2015-03-31,-0.0003373900102602301
2015-04-01,-0.011478778125903477
2015-04-02,0.002732188764869692
2015-04-06,0.008855686335253798
2015-04-07,-0.014517373759726282
2015-04-08,0.045221192163999335
2015-04-09,0.019337650755304248
2015-04-10,-0.004823155388833822
2015-04-13,-0.015185657430475064
2015-04-14,-0.006889794786613446
2015-04-15,-0.001982058330665004
2015-04-16,-0.01158544567621389
2015-04-17,-0.008707331965715936
2015-04-20,0.008783815563755182
2015-04-21,0.0083722777668358
2015-04-22,-0.0029890161661082493
2015-04-23,0.009660206796518134
2015-04-24,-0.0009899155591662767
2015-04-27,-0.021135990163666518
2015-04-28,-0.006747643422700622
2015-04-29,0.01086969354154177
2015-04-30,-0.026882001387212973
2015-05-01,0.030041721826104872
2015-05-04,-0.014750366264293824
2015-05-05,-0.011908888404865592
2015-05-06,0.0006888275245389153
2015-05-07,0.014452920569075767
2015-05-08,0.02103127461412546
2015-05-11,-0.013621361787813036
2015-05-12,-0.008757322046500371
2015-05-13,-0.010873187799253392
2015-05-14,0.013397643786349667
2015-05-15,0.0
2015-05-18,0.0003386770600408706
2015-05-19,0.002711027745148531
2015-05-20,0.0010140028619036734
2015-05-21,-0.011478778125903477
2015-05-22,0.002390765765312608
2015-05-26,-0.0061328965299595195
2015-05-27,0.008913098151315468
2015-05-28,-0.000679365730489323
2015-05-29,-0.01530119493284754
2015-06-01,0.007251618439620522
2015-06-02,0.0006854883008560186
2015-06-03,0.003425900892461753
2015-06-04,-0.0006829480992964765
2015-06-05,0.0040998852343416825
2015-06-08,-0.021435825414875542
2015-06-09,0.014603613047302622
2015-06-10,-0.01747776408871049
2015-06-11,0.004534305155730278
2015-06-12,-0.0069443819444842125
2015-06-15,-0.006293656120138769
2015-06-16,-0.013722643411849478
2015-06-17,-0.00356767839039962
2015-06-18,0.015395586300029684
2015-06-19,-0.009520444479433565
2015-06-22,-0.0007121234988660685
2015-06-23,0.001069121357551106
2015-06-24,-0.004270870027733409
2015-06-25,0.0003575668944848509
2015-06-26,0.0032155486774156916
2015-06-29,-0.026709208355909064
2015-06-30,0.00804953560371513
2015-07-01,0.00834861951130228
2015-07-02,0.0
2015-07-06,0.0007198579284319884
2015-07-07,0.0017984915330617746
2015-07-08,-0.02298016721848206
2015-07-09,0.002572354088996587
2015-07-10,0.02236089394916796
2015-07-13,0.010039108646448858
2015-07-14,0.0074550526525423155
2015-07-15,-0.008456775473801303
2015-07-16,0.003909057046316278
2015-07-17,0.0007080902104286135
2015-07-20,0.0017684519835419188
2015-07-21,-0.01059308989066321
2015-07-22,-0.001070748597563953
2015-07-23,-0.033583419091821276
2015-07-24,-0.008133223447209348
2015-07-27,-0.012299543438347937
2015-07-28,-0.00037709201222935196
2015-07-29,0.046054825652019016
2015-07-30,-0.042223112586085354
2015-07-31,0.01168052173801093
2015-08-03,-0.011917838875147968
2015-08-04,-0.01394661696763888
2015-08-05,-0.014526094426219216
2015-08-06,-0.003491050759587111
2015-08-07,0.008563864268713361
2015-08-10,0.011578244625829015
2015-08-11,-0.01106453377373906
2015-08-12,-0.0003866664616162252
2015-08-13,0.0
2015-08-14,-0.008513893584515153
2015-08-17,0.015612919272775416
2015-08-18,-0.006917908122485272
2015-08-19,-0.005030730426741292
2015-08-20,-0.029171979208933108
2015-08-21,-0.018429194593433396
2015-08-24,-0.03265306481326946
2015-08-25,-0.006751121723378328
2015-08-26,0.03356010273838694
2015-08-27,0.022605569404824166
2015-08-28,0.006431090127432482
2015-08-31,-0.008386570912799929
2015-09-01,-0.02940005489322639
2015-09-02,0.012032933779453803
