Date,NOC
2015-01-05,-0.021098078139083265
2015-01-06,0.005510204519981077
2015-01-07,0.03163135349231094
2015-01-08,0.023197867192073396
2015-01-09,0.003745739676449311
2015-01-12,-0.005041068233027635
2015-01-13,0.00019774866895128085
2015-01-14,0.0007232666626624251
2015-01-15,0.001315086698903789
2015-01-16,0.006696908544603142
2015-01-20,0.0026086544571888304
2015-01-21,0.0033174659622148273
2015-01-22,0.014652452590515841
2015-01-23,-0.0019805512208209697
2015-01-26,-0.004161832844045921
2015-01-27,-0.01671620556784481
2015-01-28,-0.0050997372492948
2015-01-29,0.037920686691681915
2015-01-30,-0.00620534043978882
2015-02-02,0.014271572604868332
2015-02-03,0.008103426361209642
2015-02-04,0.008475234399762277
2015-02-05,0.007352444084085752
2015-02-06,-0.004845001615000566
2015-02-09,0.004499356437279722
2015-02-10,0.011781110608457102
2015-02-11,0.008490355753431267
2015-02-12,0.006013529897605174
2015-02-13,-0.0008963559956124412
2015-02-17,0.0027522810497835337
2015-02-18,0.00047707123654938677
2015-02-19,0.014611252972306144
2015-02-20,0.01216690500900075
2015-02-23,-0.009755818924527815
2015-02-24,-0.0019349904812065999
2015-02-25,-0.009049129838552772
2015-02-26,-0.009764507909509224
2015-02-27,-0.0036078508448382784
2015-03-02,0.008388020261532736
2015-03-03,-0.02076565912385986
2015-03-04,0.0018329194583703856
2015-03-05,-0.003964829988244212
2015-03-06,-0.01757722669858519
2015-03-09,0.005361396349392367
2015-03-10,-0.018168338339328183
2015-03-11,-0.0019582971234256563
2015-03-12,0.012466304085403168
2015-03-13,-0.015249712950293759
2015-03-16,0.023990398299299942
2015-03-17,-0.0011149592036964195
2015-03-18,0.010423945860761341
2015-03-19,-0.001965220036515003
2015-03-20,0.0006152572930966382
2015-03-23,0.0006148789843170022
2015-03-24,-0.0038715899926000663
2015-03-25,-0.017891464399700796
2015-03-26,0.0007540250933748549
2015-03-27,0.007343884146536084
2015-03-30,0.013709526030923458
2015-03-31,-0.010572944758281966
2015-04-01,-0.0025475289943788226
2015-04-02,0.006727278426945205
2015-04-06,0.006991144773170532
2015-04-07,0.0009219127284028072
2015-04-08,0.00797930297699101
2015-04-09,0.002192152763222044
2015-04-10,0.004739841446981918
2015-04-13,-0.010704092898631057
2015-04-14,-0.002078957830305539
2015-04-15,0.0
2015-04-16,0.0008576493291692078
2015-04-17,-0.01970881030779359
2015-04-20,0.015797079951112902
2015-04-21,-0.0012295610015937708
2015-04-22,-0.00252332008929812
2015-04-23,0.004627234651048084
2015-04-24,-0.006448401542892501
2015-04-27,-0.010198459738429588
2015-04-28,0.002372939210330882
2015-04-29,-0.008535574841430194
2015-04-30,-0.03204728339373808
2015-05-01,0.012788971834914786
2015-05-04,-0.0011537446228250259
2015-05-05,-0.016364057949271316
2015-05-06,0.00013028090776256995
2015-05-07,0.001043994261797021
2015-05-08,0.018571757879949136
2015-05-11,0.0002558571022504008
2015-05-12,-0.005820442795317016
2015-05-13,-0.0014150325359998384
2015-05-14,0.015783473200868814
2015-05-15,0.0021564279813921505
2015-05-18,6.347591363065064e-05
2015-05-19,0.005758817797333782
2015-05-20,0.004341543864348596
2015-05-21,0.009773090971556764
2015-05-22,-0.007321020123543964
2015-05-26,-0.009562611110559893
2015-05-27,0.0053640818474971486
2015-05-28,0.012364227200416744
2015-05-29,-0.0081006154870642
2015-06-01,0.004774361200010624
2015-06-02,0.0025635837563235953
2015-06-03,-0.0005615747015801364
2015-06-04,-0.0133530971161826
2015-06-05,-0.005249068540630231
2015-06-08,-0.004005559079714227
2015-06-09,0.003574841557023367
2015-06-10,0.00852293776038393
2015-06-11,0.013938185053175234
2015-06-12,0.0018036870417657003
2015-06-15,-0.006830102958043427
2015-06-16,0.009565112501858541
2015-06-17,0.008545433529095314
2015-06-18,0.01406051394469121
2015-06-19,-0.0006662831182702167
2015-06-22,0.0025448953490356807
2015-06-23,-0.006647854202134429
2015-06-24,-0.007056952024825258
2015-06-25,-0.00661728738285694
2015-06-26,-0.0022207510699679966
2015-06-29,-0.019101245767187525
2015-06-30,-0.00031501809459411056
2015-07-01,0.009266939708034938
2015-07-02,-0.003747360670179556
2015-07-06,-0.001567779806834091
2015-07-07,0.013437783177721707
2015-07-08,-0.004522702874091067
2015-07-09,0.012635123359415745
2015-07-10,0.016473198121219612
2015-07-13,0.011670599666098402
2015-07-14,0.007113061970357215
2015-07-15,0.0005935665144969349
2015-07-16,0.007533035079497319
2015-07-17,-0.005121701973160198
2015-07-20,0.004970483307755957
2015-07-21,-0.01801811227862582
2015-07-22,-0.002938279449629877
2015-07-23,-0.004690641632928316
2015-07-24,-0.004230031095131648
2015-07-27,-0.013591771138604325
2015-07-28,0.004797980244091393
2015-07-29,0.06183437612735543
2015-07-30,0.01135845734105434
2015-07-31,-0.013682373215799792
2015-08-03,-0.004913088809697985
2015-08-04,-0.00023217767858185745
2015-08-05,0.009063706226507762
2015-08-06,-0.004664091763928235
2015-08-07,-0.0012724072949275023
2015-08-10,0.015059316910790432
2015-08-11,-0.01129778188176267
2015-08-12,-0.009869436826996147
2015-08-13,0.007577655802012195
2015-08-14,0.0076357143932561655
2015-08-17,0.0030435888793181043
2015-08-18,0.004521429248739661
2015-08-19,0.0006834814908753817
2015-08-20,-0.01725299331201613
2015-08-21,-0.041949301926526794
2015-08-24,-0.03223413807686526
2015-08-25,-0.0020624932770997306
2015-08-26,0.029995610897338265
2015-08-27,0.020772144457598785
2015-08-28,-0.0092171898988066
2015-08-31,-0.010873279477291886
2015-09-01,-0.026689088470969624
