Date,JPM
2015-01-05,-0.03104510147305317
2015-01-06,-0.025928962165627012
2015-01-07,0.0015258426031887762
2015-01-08,0.022346219369221876
2015-01-09,-0.01738670851337465
2015-01-12,-0.008594755543401278
2015-01-13,0.0001699416027487466
2015-01-14,-0.03450022272460629
2015-01-15,-0.03203627866927328
2015-01-16,0.017093618551689227
2015-01-20,-0.0039332049651436
2015-01-21,0.0032307178405859283
2015-01-22,0.03041696283343298
2015-01-23,-0.01580154188092331
2015-01-26,0.0015879389026038915
2015-01-27,-0.010040226735108848
2015-01-28,-0.02580091301626397
2015-01-29,0.016803715252280638
2015-01-30,-0.02317223162928439
2015-02-02,0.020044304698679127
2015-02-03,0.022534467629838684
2015-02-04,-0.005994300486501514
2015-02-05,0.006917170915190729
2015-02-06,0.019728863075978653
2015-02-09,-0.0012092581442049166
2015-02-10,0.011068883218302794
2015-02-11,-0.0015397624902462326
2015-02-12,0.020559101218051712
2015-02-13,0.0016782193231241749
2015-02-17,0.007206405640955982
2015-02-18,-0.012146373217318818
2015-02-19,-0.0023580554851173607
2015-02-20,0.009623481572788917
2015-02-23,-0.00752502340929706
2015-02-24,0.024768351988455173
2015-02-25,0.005261282567131209
2015-02-26,0.0071964946580840294
2015-02-27,-0.004871645904405475
2015-03-02,0.007996287301914595
2015-03-03,0.0032374717815515375
2015-03-04,0.0025821111171380196
2015-03-05,-0.00209230666635285
2015-03-06,-0.017903217960315687
2015-03-09,0.010018058639544636
2015-03-10,-0.02504074204307216
2015-03-11,0.004669959046931016
2015-03-12,0.018758212850102263
2015-03-13,-0.006029001757155705
2015-03-16,0.013934415585929116
2015-03-17,-0.003880351810245264
2015-03-18,0.0022724041719668353
2015-03-19,-0.008906938319199309
2015-03-20,0.008986984838834422
2015-03-23,-0.009878700000279572
2015-03-24,-0.011121991276840326
2015-03-25,-0.014058620570343239
2015-03-26,-0.0011747063766428534
2015-03-27,0.00016808565870296555
2015-03-30,0.02367750712282901
2015-03-31,-0.006233472610135626
2015-04-01,-0.003821979567496081
2015-04-02,0.009507975758473286
2015-04-06,-0.0008261104234266181
2015-04-07,0.006284113988057172
2015-04-08,0.003286769589833982
2015-04-09,0.006879348339055014
2015-04-10,0.0037419371355873476
2015-04-13,0.005996809440680817
2015-04-14,0.015627644863235313
2015-04-15,0.018559366529145915
2015-04-16,-0.006229557570383015
2015-04-17,-0.015201268234727783
2015-04-20,0.006365450189266708
2015-04-21,-0.014706102865193582
2015-04-22,0.010110843507695755
2015-04-23,-0.0022242837774181234
2015-04-24,-0.0031849530525840386
2015-04-27,-0.004153168640289251
2015-04-28,0.006737236918087364
2015-04-29,0.013384139892278712
2015-04-30,-0.0053458555859218215
2015-05-01,0.005532860443639764
2015-05-04,0.01745007634205198
2015-05-05,-0.004944483187214077
2015-05-06,-0.007453069776093835
2015-05-07,0.009073608161694224
2015-05-08,0.015348640213859621
2015-05-11,-0.0006109188104921337
2015-05-12,-0.0013744827867898657
2015-05-13,0.002447685610885264
2015-05-14,0.008089118801460016
2015-05-15,-0.0025739328907996573
2015-05-18,0.008196819212433537
2015-05-19,0.008882829802110415
2015-05-20,-0.007908727021481488
2015-05-21,0.0025567520735769733
2015-05-22,-0.0027006816636762077
2015-05-26,-0.011132860298003866
2015-05-27,0.011258196223770556
2015-05-28,-0.004062068528530305
2015-05-29,-0.006344248936243968
2015-06-01,0.004560769621247074
2015-06-02,-0.000908043220292587
2015-06-03,0.010299796727003763
2015-06-04,-0.005547500100955727
2015-06-05,0.016433140160921678
2015-06-08,-0.00786123009143258
2015-06-09,0.004335705150634084
2015-06-10,0.016076100681015948
2015-06-11,0.003809090016316574
2015-06-12,-0.003940832595295207
2015-06-15,-0.0038092795714699257
2015-06-16,0.005588988558953956
2015-06-17,-0.003364073474746543
2015-06-18,0.009392262207864599
2015-06-19,-0.01017741299121877
2015-06-22,0.012925865147892512
2015-06-23,0.011456249948799124
2015-06-24,-0.010465719188706646
2015-06-25,-0.00536095595541719
2015-06-26,0.004370028089206501
2015-06-29,-0.025380537242732815
2015-06-30,0.008333118787925198
2015-07-01,0.011140735473746277
2015-07-02,-0.008079920933048879
2015-07-06,-0.0028137837999915316
2015-07-07,-0.007871530899628998
2015-07-08,-0.020509302325581347
2015-07-09,0.010392972571519499
2015-07-10,0.014218664391401514
2015-07-13,0.015510895646711376
2015-07-14,0.013951950697921323
2015-07-15,0.0021728258494779773
2015-07-16,0.005347461509351392
2015-07-17,-0.005031569964087712
2015-07-20,0.000722399638257043
2015-07-21,-0.0023099811502759193
2015-07-22,0.014182499253388547
2015-07-23,-0.006278867617126593
2015-07-24,-0.01048232888895162
2015-07-27,-0.013060601695099483
2015-07-28,0.0005882199504931851
2015-07-29,0.013078524536768388
2015-07-30,0.00145045778756403
2015-07-31,-0.007386954625066888
2015-08-03,0.0
2015-08-04,-0.0010212632776657182
2015-08-05,0.003943635042580995
2015-08-06,-0.006983820567783239
2015-08-07,-0.0029302437084895994
2015-08-10,0.012343589796837584
2015-08-11,-0.009580014804624337
2015-08-12,-0.014510157242273225
2015-08-13,0.0046104435317926296
2015-08-14,0.005033509747278453
2015-08-17,0.0026510406709425727
2015-08-18,0.0020567713960213396
2015-08-19,-0.008943189598279
2015-08-20,-0.02455581819343655
2015-08-21,-0.03548702975327145
2015-08-24,-0.052672696613534464
2015-08-25,-0.00564312841591752
2015-08-26,0.05007480493252503
2015-08-27,0.02495622221993865
2015-08-28,-0.005427745330956912
2015-08-31,-0.00046799307160838577
2015-09-01,-0.04134151822552501
