Date,NXPI
2015-01-05,-0.01054540024980033
2015-01-06,-0.04763160699300828
2015-01-07,0.026940904096282248
2015-01-08,0.047222011421253596
2015-01-09,0.03186016072663089
2015-01-12,0.0003734945553053315
2015-01-13,-0.013814562585794388
2015-01-14,0.010474652943976981
2015-01-15,-0.04321210202798098
2015-01-16,0.016969059712992562
2015-01-20,0.011166496165246897
2015-01-21,0.006600854317144078
2015-01-22,-0.003026495920898431
2015-01-23,0.014799077661904914
2015-01-26,-0.013835538125115954
2015-01-27,-0.013776299470015796
2015-01-28,0.01409717961547674
2015-01-29,0.009351554184093613
2015-01-30,-0.006635934175827973
2015-02-02,-0.018527502364514947
2015-02-03,0.02401425867436191
2015-02-04,0.0001253681422159758
2015-02-05,-0.0185577067098861
2015-02-06,0.05136038227665929
2015-02-09,-0.016040853935167854
2015-02-10,0.012226479297448467
2015-02-11,0.023182232180245954
2015-02-12,0.018244843480258233
2015-02-13,-0.007026865292725559
2015-02-17,-0.012619160670586993
2015-02-18,0.01958904468753353
2015-02-19,0.00363143297577162
2015-02-20,-0.011789197119030481
2015-02-23,-0.0018897204793482114
2015-02-24,0.016686377616147663
2015-02-25,-0.011756554849018053
2015-02-26,0.0007066919680829287
2015-02-27,-0.0007061929072275097
2015-03-02,0.17267374881850572
2015-03-03,-0.008336794286095128
2015-03-04,0.007494987040717049
2015-03-05,-0.008042408615291374
2015-03-06,-0.001925608829794312
2015-03-09,0.002436881638152588
2015-03-10,-0.01185151120643313
2015-03-11,0.004100218651581722
2015-03-12,0.0064319169143198796
2015-03-13,0.06177724272406393
2015-03-16,-0.0028660629293455475
2015-03-17,-0.005173904576309174
2015-03-18,0.01473558245214357
2015-03-19,-0.0003796121544366038
2015-03-20,0.025731095531130066
2015-03-23,-0.02906607875115097
2015-03-24,-0.008103371316213415
2015-03-25,-0.03738996955239249
2015-03-26,-0.026460069650630524
2015-03-27,0.024820390350590804
2015-03-30,0.025120292499589247
2015-03-31,-0.020209214647683327
2015-04-01,-0.006077820414623458
2015-04-02,-0.004812393666459358
2015-04-06,0.006950871747237297
2015-04-07,0.004201637400181868
2015-04-08,0.014744172832214852
2015-04-09,0.002356186310865649
2015-04-10,-0.007443676200085347
2015-04-13,-0.010361261851666637
2015-04-14,-0.016551803354983186
2015-04-15,0.021494358072816633
2015-04-16,0.008734617158961733
2015-04-17,-0.01869533249155042
2015-04-20,0.013035192066855661
2015-04-21,0.0020783581442249677
2015-04-22,0.014322609185408508
2015-04-23,-0.04002346670042567
2015-04-24,-0.032967885586268064
2015-04-27,0.016783701340827184
2015-04-28,-0.007324940530720303
2015-04-29,-0.00831423050107416
2015-04-30,0.007336000148367772
2015-05-01,0.05066566043988607
2015-05-04,-0.008515714543866904
2015-05-05,-0.026864875975159408
2015-05-06,0.010775791878336216
2015-05-07,0.02284486102278338
2015-05-08,0.032162113109974966
2015-05-11,-0.003943135584427826
2015-05-12,-0.01728306890628928
2015-05-13,-0.0013755851524073215
2015-05-14,0.010035447341566472
2015-05-15,0.0005845185379727003
2015-05-18,0.0037968610980474438
2015-05-19,-0.0031034962190270576
2015-05-20,0.000875379077794447
2015-05-21,0.038005576983971334
2015-05-22,0.0036521542380079097
2015-05-26,-0.0017729552055544273
2015-05-27,0.03476957483875509
2015-05-28,0.0007227658485335908
2015-05-29,0.013178089433522722
2015-06-01,-0.0024053471089827694
2015-06-02,-0.012055733769282262
2015-06-03,-0.021693883741061404
2015-06-04,-0.013766973476349031
2015-06-05,0.0022483850094701108
2015-06-08,-0.02944472694749889
2015-06-09,-0.00019272589224017533
2015-06-10,0.014449442278000157
2015-06-11,-0.005887307726550106
2015-06-12,-0.008405809633235117
2015-06-15,-0.009825506009133789
2015-06-16,0.0035023440145418583
2015-06-17,-0.009403875985168897
2015-06-18,0.02935996686074227
2015-06-19,-0.005324231209518859
2015-06-22,-0.00019110795037535766
2015-06-23,-0.011281184510139375
2015-06-24,-0.0046414553866631625
2015-06-25,-0.003011178378825141
2015-06-26,-0.02055929390290845
2015-06-29,-0.030043807714620008
2015-06-30,0.007179412090138726
2015-07-01,-0.005804476072737708
2015-07-02,0.005019027669488141
2015-07-06,-0.014370324446303928
2015-07-07,-0.0024813943807141525
2015-07-08,-0.04384788853131594
2015-07-09,-0.0187552436870988
2015-07-10,0.024527763957131743
2015-07-13,-0.010029356272256207
2015-07-14,0.03202636319251395
2015-07-15,-0.01963287887794063
2015-07-16,-0.011735455853859489
2015-07-17,-0.005556545272570879
2015-07-20,-0.013912964859904675
2015-07-21,0.02655248106692376
2015-07-22,-0.022943694682697635
2015-07-23,0.030128538289840856
2015-07-24,-0.029247358140236157
2015-07-27,-0.022817890660229434
2015-07-28,0.03196571663004022
2015-07-29,0.008347876957898848
2015-07-30,0.06612207054528452
2015-07-31,-0.008991734749779656
2015-08-03,0.010104029796032643
2015-08-04,-0.027457097172996936
2015-08-05,0.018261670030532473
2015-08-06,-0.01329590951215387
2015-08-07,0.00637203977705636
2015-08-10,0.03051686270423226
2015-08-11,-0.03021775175189656
2015-08-12,-0.025446573153872
2015-08-13,-0.0019184856675755757
2015-08-14,-0.021676279047456726
2015-08-17,-0.0004365415656102378
2015-08-18,-0.03537911858872966
2015-08-19,-0.015055361968470016
2015-08-20,-0.05734950847217646
2015-08-21,-0.020605098491439322
2015-08-24,-0.013319790631811546
2015-08-25,0.019934460987348857
2015-08-26,0.05170660746875799
2015-08-27,0.019054863175544945
2015-08-28,0.0010384545361166175
2015-08-31,-0.023982004275661994
2015-09-01,-0.033195922812240375
