Date,PG
2015-01-05,-0.004754284334473113
2015-01-06,-0.004555203590236978
2015-01-07,0.005245503738970703
2015-01-08,0.011435492950272241
2015-01-09,-0.009330111917696282
2015-01-12,-0.003656911630323556
2015-01-13,0.00422605608156279
2015-01-14,-0.003432781558073472
2015-01-15,-0.0014450587495823397
2015-01-16,0.015469051865721895
2015-01-20,-0.0006574628639032243
2015-01-21,0.0020319750270856307
2015-01-22,0.009809188002559921
2015-01-23,-0.016808204012047634
2015-01-26,-0.005550867318760533
2015-01-27,-0.03449453107355471
2015-01-28,-0.0154931656181313
2015-01-29,0.0061070908488773945
2015-01-30,-0.0161082811171388
2015-02-02,0.009846757033722842
2015-02-03,0.009751344646866222
2015-02-04,-0.0018616275290721518
2015-02-05,0.010606930859807573
2015-02-06,-0.012572121853327123
2015-02-09,-0.006541128517162598
2015-02-10,0.00399746847240956
2015-02-11,0.0029280541595091414
2015-02-12,0.004553960692939674
2015-02-13,-0.001511125198565555
2015-02-17,-0.004773320984715723
2015-02-18,0.009007073153179057
2015-02-19,-0.0121724407465712
2015-02-20,-0.003990082321818411
2015-02-23,0.00612675564082843
2015-02-24,0.001288454031244557
2015-02-25,-0.00046793127541266966
2015-02-26,-0.0033933269516955855
2015-02-27,-0.0004699845199936936
2015-03-02,0.0032896963957458336
2015-03-03,-0.00292712754749469
2015-03-04,-0.00951165124129616
2015-03-05,0.0033195698498103
2015-03-06,-0.023278066138257225
2015-03-09,0.005202208211573245
2015-03-10,-0.018654736032629238
2015-03-11,-0.0018393191696683964
2015-03-12,0.00860058397886676
2015-03-13,-0.003167556012861561
2015-03-16,0.02114170626089651
2015-03-17,-0.008497068565510024
2015-03-18,0.010863145502347571
2015-03-19,-0.0044175407057122085
2015-03-20,0.016310799400726328
2015-03-23,0.001415840332318119
2015-03-24,-0.011076876718520423
2015-03-25,-0.010843773281350666
2015-03-26,-0.010360667905993992
2015-03-27,0.0019478662370142619
2015-03-30,0.0049816996569078675
2015-03-31,-0.009429920891813381
2015-04-01,0.0046377020724859275
2015-04-02,0.0013362561282865837
2015-04-06,0.007399565230717053
2015-04-07,-0.00782682278515312
2015-04-08,0.004611873977120373
2015-04-09,0.0014502808003631351
2015-04-10,0.005549199268209737
2015-04-13,0.0009602484742632367
2015-04-14,0.0020373904704167334
2015-04-15,-0.001076482961263503
2015-04-16,-0.00011996946565817623
2015-04-17,-0.011616446571720007
2015-04-20,0.004119589042488103
2015-04-21,0.0025340020730668655
2015-04-22,0.00012028262353758201
2015-04-23,-0.01791890910256999
2015-04-24,0.000617514601810587
2015-04-27,-0.0049380702479951966
2015-04-28,-0.002233159108148808
2015-04-29,-0.007088191963464774
2015-04-30,-0.004257619968136672
2015-05-01,0.009809811904800902
2015-05-04,0.0007473238010529126
2015-05-05,-0.0034842332164450873
2015-05-06,0.004121160157083414
2015-05-07,-0.0024879648141147293
2015-05-08,0.009476303326979352
2015-05-11,-0.008522443321835382
2015-05-12,-0.00398631893269219
2015-05-13,-0.003127206307792285
2015-05-14,0.010915869893611596
2015-05-15,0.005957686784884286
2015-05-18,-0.0038252686438889905
2015-05-19,0.0011150837987423667
2015-05-20,-0.0043300865634441355
2015-05-21,-0.0008698087662577514
2015-05-22,-0.005720384525427669
2015-05-26,-0.010131485950003571
2015-05-27,0.003158765095549576
2015-05-28,-0.000755859637606604
2015-05-29,-0.011849010461366882
2015-06-01,0.005867919739061422
2015-06-02,-0.003931612526057671
2015-06-03,0.00025502452576287027
2015-06-04,-0.005219307796568651
2015-06-05,-0.009212936490748613
2015-06-08,0.0036166770497014777
2015-06-09,0.015313038077140906
2015-06-10,0.008111265119444377
2015-06-11,-0.0016340122540076107
2015-06-12,-0.006800254658164806
2015-06-15,-0.009509443477595192
2015-06-16,0.012544744209051384
