Date,AVGO
2015-01-05,-0.0159856250974848
2015-01-06,-0.022743443294409027
2015-01-07,0.027012983855821293
2015-01-08,0.04997476073604101
2015-01-09,0.010694579520629466
2015-01-12,-0.016586711383343
2015-01-13,-0.0056226446685022635
2015-01-14,0.007896014662686968
2015-01-15,-0.020020830570322
2015-01-16,0.02467406534151051
2015-01-20,0.010113507737638194
2015-01-21,0.004863225931670989
2015-01-22,-0.001708392521535873
2015-01-23,0.01692057686336712
2015-01-26,-0.0023369989119326195
2015-01-27,-0.018176680286108415
2015-01-28,0.0020037862033410736
2015-01-29,0.014571436376078939
2015-01-30,-0.03426232789481232
2015-02-02,-0.004471120399273554
2015-02-03,0.0076153466904360645
2015-02-04,0.015504254419438812
2015-02-05,0.013358477044909778
2015-02-06,-0.013747289762314097
2015-02-09,-0.02386900037394868
2015-02-10,0.046948454432758746
2015-02-11,0.008407493479133166
2015-02-12,0.0163058122394637
2015-02-13,0.004102044359554302
2015-02-17,0.0065366180233865645
2015-02-18,-0.007846784152845454
2015-02-19,0.00818159735850399
2015-02-20,0.010459661804759879
2015-02-23,0.00705004531939446
2015-02-24,0.002924079281776404
2015-02-25,-0.004417623901873946
2015-02-26,0.14705387514565138
2015-02-27,-0.012611296470047773
2015-03-02,0.010969969108272082
2015-03-03,-0.006200812689064805
2015-03-04,0.009202864190350546
2015-03-05,0.00904204523326646
2015-03-06,-0.020525492692755054
2015-03-09,-0.006020903680492573
2015-03-10,-0.015732944299665208
2015-03-11,-0.0036763316032003557
2015-03-12,0.01171170143855016
2015-03-13,-0.008880512067769297
2015-03-16,0.03896003387907787
2015-03-17,-0.005928721091963407
2015-03-18,0.013362030870445185
2015-03-19,0.012266091155360037
2015-03-20,0.009466876334528473
2015-03-23,0.008627915216125936
2015-03-24,-0.009818283800153593
2015-03-25,-0.06528000180906202
2015-03-26,0.0022505134116024283
2015-03-27,0.028065031240416927
2015-03-30,0.018251336461036383
2015-03-31,-0.02734578150026523
2015-04-01,-0.010631676592047445
2015-04-02,-0.004855294143605304
2015-04-06,0.006478690729801784
2015-04-07,-0.001430618872247269
2015-04-08,0.009072968065428455
2015-04-09,0.0033914820706411053
2015-04-10,-0.003144187482740257
2015-04-13,-0.011591094488431986
2015-04-14,-0.01092962555115673
2015-04-15,0.015486426411703835
2015-04-16,-0.0045271764583636465
2015-04-17,-0.027766766368156004
2015-04-20,0.009684076036847733
2015-04-21,0.0005689795141887721
2015-04-22,0.03899241622233518
2015-04-23,-0.029945015502513717
2015-04-24,-0.03683419592476722
2015-04-27,0.005439496724798154
2015-04-28,-0.022471974624957314
2015-04-29,-0.0035757487281224964
2015-04-30,-0.0012819344874780425
2015-05-01,0.0506499511883336
2015-05-04,-0.013355362966499307
2015-05-05,-0.03606760214143434
2015-05-06,-8.548759935789185e-05
2015-05-07,0.048809537107367795
2015-05-08,0.006940239348190325
2015-05-11,-0.004216132524224259
2015-05-12,0.0011395886859004722
2015-05-13,0.0014640277237945032
2015-05-14,0.030942996371206455
2015-05-15,0.007326105049334952
2015-05-18,0.018065233139097803
2015-05-19,-0.00545408087266841
2015-05-20,-0.0027805046333508887
2015-05-21,0.0037181622701492056
2015-05-22,0.023535397852784357
2015-05-26,-0.010102353086469673
2015-05-27,0.07760832163910836
2015-05-28,0.006290299474918992
2015-05-29,0.039963433913855706
2015-06-01,-0.009792762428117108
2015-06-02,-0.01677798839338618
2015-06-03,-0.007630369215763988
2015-06-04,-0.013001814178083992
2015-06-05,0.01848469556215404
2015-06-08,-0.03601976396865347
2015-06-09,0.011397394586540655
2015-06-10,0.018900395902990974
2015-06-11,-0.0060900242621144685
2015-06-12,-0.01070491263125628
