Date,ABT
2015-01-05,0.00022253761709545294
2015-01-06,-0.0113557553523298
2015-01-07,0.00810810953319252
2015-01-08,0.020553814005369153
2015-01-09,-0.010507817004451137
2015-01-12,0.008407140195625162
2015-01-13,-0.016100578769441265
2015-01-14,-0.007397979052997661
2015-01-15,-0.007452275574209355
2015-01-16,0.012286857605514179
2015-01-20,-0.006068913909277329
2015-01-21,-0.0036182280667569344
2015-01-22,0.009759510721053521
2015-01-23,-0.014160415262746362
2015-01-26,0.006611758761599917
2015-01-27,-0.010645396340019264
2015-01-28,-0.006181348854131241
2015-01-29,0.04261681188106481
2015-01-30,-0.011047455806523554
2015-02-02,0.01050032008031554
2015-02-03,0.013266197075336272
2015-02-04,-0.01440117075252867
2015-02-05,0.010626286331783863
2015-02-06,-0.003285932554005
2015-02-09,-0.02153840389912176
2015-02-10,0.008984615989791722
2015-02-11,0.0002229263468975784
2015-02-12,0.006454300799111357
2015-02-13,0.01923924484179551
2015-02-17,0.006942852835045477
2015-02-18,0.0
2015-02-19,0.0043094641014143065
2015-02-20,0.018665694575224157
2015-02-23,-0.0033698963771333634
2015-02-24,0.003169966443002492
2015-02-25,-0.0014744991996122891
2015-02-26,0.004430226197409404
2015-02-27,-0.005041091301862588
2015-03-02,-0.0031664241834418183
2015-03-03,-0.0027527408798689867
2015-03-04,-0.001699050804467639
2015-03-05,0.009146578583365317
2015-03-06,-0.019814459607298218
2015-03-09,0.007096788345689609
2015-03-10,-0.014093259322197627
2015-03-11,0.0028155453613512016
2015-03-12,0.02051871029215957
2015-03-13,-0.007830983322035134
2015-03-16,0.020264156117179244
2015-03-17,-0.01547078922419065
2015-03-18,0.00637030306860753
2015-03-19,0.0010549637696506409
2015-03-20,0.0006326646403203018
2015-03-23,0.0
2015-03-24,-0.009901063929469767
2015-03-25,-0.009999877118516465
2015-03-26,-0.0006450376196870389
2015-03-27,0.0060215325605179615
2015-03-30,0.006413018673830928
2015-03-31,-0.015930137505207442
2015-04-01,-0.009497069217850207
2015-04-02,0.005229731327589748
2015-04-06,0.003685293317038596
2015-04-07,-0.002375680181298523
2015-04-08,0.009092663633258002
2015-04-09,0.00836740100141009
2015-04-10,0.003191251948266194
2015-04-13,-0.008100381429755554
2015-04-14,0.00365363787784867
2015-04-15,0.002783612319694706
2015-04-16,-0.006619753779079973
2015-04-17,-0.005804125602919652
2015-04-20,0.008216577472061948
2015-04-21,0.010508202185354643
