Date,TT
2015-01-05,-0.01738878657107501
2015-01-06,-0.020913994129084124
2015-01-07,0.005422625064209763
2015-01-08,0.020264528236259682
2015-01-09,-0.010892201038298799
2015-01-12,0.007287151779217016
2015-01-13,-0.0049836118361276105
2015-01-14,-0.00743238109601807
2015-01-15,0.001953184653069151
2015-01-16,0.0011373906999925243
2015-01-20,0.012171383029618843
2015-01-21,0.012024927875908586
2015-01-22,0.025665355532054512
2015-01-23,-0.0012354886460839154
2015-01-26,0.010361762628576798
2015-01-27,-0.008724680307157895
2015-01-28,-0.01405225799442289
2015-01-29,0.012686237544754508
2015-01-30,0.02690978889192852
2015-02-02,-0.003614510599114773
2015-02-03,0.019498095263246862
2015-02-04,-0.00948827319912482
2015-02-05,0.00044915078644836015
2015-02-06,-0.003740365641794252
2015-02-09,-0.0028534032911827767
2015-02-10,0.008885546796495003
2015-02-11,-0.004925895817929238
2015-02-12,0.014551613100418637
2015-02-13,0.0008868027384509869
2015-02-17,0.0010341340459119053
2015-02-18,0.0022137493354599247
2015-02-19,0.0008834919871860691
2015-02-20,0.012358400960053917
2015-02-23,-0.0024703585939542805
2015-02-24,0.0016024660893916298
2015-02-25,-0.007709294681876977
2015-02-26,-0.004104313770855739
2015-02-27,-0.01103898973071471
2015-03-02,0.008780984478669485
2015-03-03,-0.004868914894419429
2015-03-04,-0.006671076730769054
2015-03-05,0.010149077039209642
2015-03-06,-0.012116201178492436
2015-03-09,0.011965243232653577
2015-03-10,-0.021135017347778673
2015-03-11,0.003943107913730204
2015-03-12,0.017975913307872293
2015-03-13,-0.0025227150904151285
2015-03-16,0.020529935037951974
2015-03-17,-0.01195361547215179
2015-03-18,0.011212788571504317
2015-03-19,-0.009775314679537517
2015-03-20,0.005009747100060302
2015-03-23,-0.009529489684059977
2015-03-24,0.005772531931110159
2015-03-25,-0.01736570872814558
2015-03-26,0.010483648592624295
2015-03-27,0.00444652630976039
2015-03-30,0.01003402069563597
2015-03-31,-0.005405643732208754
2015-04-01,-0.015129251369366825
2015-04-02,0.007159024563858418
2015-04-06,0.004738556455746057
2015-04-07,-0.007369027285989205
2015-04-08,0.002375653491059504
2015-04-09,0.0053324439729780515
2015-04-10,0.010608405685786915
2015-04-13,0.001603761878637977
2015-04-14,-0.001746664335061765
2015-04-15,0.008894667948909696
2015-04-16,-0.0056367947172693
2015-04-17,-0.02122087619158808
2015-04-20,0.0050492638487635855
2015-04-21,-0.0070921239525174595
2015-04-22,0.0043153254905721194
2015-04-23,0.02326276166833563
2015-04-24,-0.006226506480344285
2015-04-27,0.0
2015-04-28,0.00815958317654375
2015-04-29,-0.02225720171796064
2015-04-30,-0.026755888051369414
2015-05-01,0.015340487593473062
2015-05-04,0.000598159084643779
2015-05-05,-0.015846452458242677
2015-05-06,0.015038564081427452
2015-05-07,0.004788643679185078
2015-05-08,0.004468642684997359
2015-05-11,-0.0040035921794358
2015-05-12,0.005210564838229681
2015-05-13,0.008886292903570903
2015-05-14,0.03024064211908062
2015-05-15,0.010402211698957275
2015-05-18,-0.005782268319674766
2015-05-19,-0.010780015351405603
2015-05-20,-0.005735723949325977
2015-05-21,0.0025960665428841345
2015-05-22,-0.0035960458106645277
2015-05-26,-0.009816990306889206
2015-05-27,0.013559124123373678
2015-05-28,-0.0011510436644232014
2015-05-29,-0.009504615364956948
2015-06-01,0.003053531778101304
2015-06-02,0.0036236715629864857
2015-06-03,-0.002166470818446564
2015-06-04,-0.00057885034120575
2015-06-05,0.0008689052149362109
2015-06-08,-0.0075244810437676835
2015-06-09,0.00029166270208524914
2015-06-10,0.012734209733929136
2015-06-11,0.006648508733534619
2015-06-12,0.0030148286941520386
2015-06-15,-0.011737501134734374
2015-06-16,0.00028946296705267827
2015-06-17,-0.0011583585179374412
2015-06-18,0.006523639016712268
2015-06-19,-0.0063372710134024235
2015-06-22,0.004058536483436459
2015-06-23,-0.005774569254845319
2015-06-24,-0.004356039233556541
2015-06-25,-0.005833350075858501
2015-06-26,0.0038138572962329587
2015-06-29,-0.012421527147291833
2015-06-30,-0.0023676253086295507
2015-07-01,0.00267009378565386
2015-07-02,-0.0013312767134576742
2015-07-06,-0.0071100665440785304
2015-07-07,0.004028052149872785
2015-07-08,-0.016641980115615795
2015-07-09,-0.0012088552887880022
2015-07-10,0.004690104673237716
2015-07-13,0.012347172416726782
2015-07-14,0.003272497566961352
2015-07-15,-0.0011861802247623565
2015-07-16,0.004601605074224802
2015-07-17,-0.0007388861533869084
2015-07-20,0.01670861339601082
2015-07-21,-0.011198329934341
2015-07-22,0.0030889500485229426
2015-07-23,-0.01803546527083666
2015-07-24,-0.0144841744989197
2015-07-27,-0.015151595218115155
2015-07-28,-0.06615364666007884
2015-07-29,0.013179524649961083
2015-07-30,-0.006341660841229668
2015-07-31,0.0047457699990896
2015-08-03,-0.014169588783615183
2015-08-04,-0.018998455992521812
2015-08-05,0.009767185155483915
2015-08-06,0.0008340197863268006
2015-08-07,0.003999435861501643
2015-08-10,0.022406571349045556
2015-08-11,-0.008766339987236305
2015-08-12,0.009498930918077741
2015-08-13,-0.004218266107890112
2015-08-14,0.002769857233216877
2015-08-17,0.009261059756793921
2015-08-18,0.00032180189598296494
2015-08-19,-0.019633142247555635
2015-08-20,-0.021831811948886393
2015-08-21,-0.030374227890014427
2015-08-24,-0.03842164555314176
2015-08-25,-0.022498054018765146
2015-08-26,0.019517356086617754
2015-08-27,0.010294081984170145
2015-08-28,-0.003753716542029384
2015-08-31,-0.007895149938904167
2015-09-01,-0.030927874070185712
