Date,FITB
2015-01-05,-0.030182657009242275
2015-01-06,-0.040306266496223264
2015-01-07,0.011164293867477193
2015-01-08,0.022607861404541296
2015-01-09,-0.026735172538089214
2015-01-12,-0.015319376076675328
2015-01-13,-0.006974363087201008
2015-01-14,-0.016207858631700933
2015-01-15,-0.010433686932914799
2015-01-16,0.015538469561950041
2015-01-20,-0.012021472377319431
2015-01-21,-0.0304207999165913
2015-01-22,0.021677060790588287
2015-01-23,-0.01340026012587725
2015-01-26,0.014714526786713034
2015-01-27,-0.014501149237814981
2015-01-28,-0.025467067213817973
2015-01-29,0.013937443409532957
2015-01-30,-0.009163829376516941
2015-02-02,0.03352592177934066
2015-02-03,0.020693407389714702
2015-02-04,0.00547973995488138
2015-02-05,0.015258805558549415
2015-02-06,0.01395592421353875
2015-02-09,-0.005293794626272108
2015-02-10,0.003193369556940384
2015-02-11,-0.0037136058163832475
2015-02-12,0.021831656413842104
2015-02-13,0.003647881425444366
2015-02-17,0.010903372518025423
2015-02-18,-0.018489983620176953
2015-02-19,0.00470945097827058
2015-02-20,0.0098958399564546
2015-02-23,-0.005157356529608026
2015-02-24,0.005184092744172197
2015-02-25,0.0005155597900223796
2015-02-26,0.0020623014431961906
2015-02-27,-0.004115202083147862
2015-03-02,0.0077475621803759775
2015-03-03,-0.0010249872899059653
2015-03-04,-0.010774493907206861
2015-03-05,0.0015557862677506584
2015-03-06,0.007250070389375862
2015-03-09,0.0010283594812057206
2015-03-10,-0.02003086813062016
2015-03-11,-0.0031447613201935898
2015-03-12,0.011566761111110768
2015-03-13,-0.008315891142580911
2015-03-16,0.008909418363561628
2015-03-17,0.0
2015-03-18,0.000520018074153139
2015-03-19,-0.002077149864273542
2015-03-20,0.013528015794501247
2015-03-23,-0.00975394708843258
2015-03-24,-0.005702537373515115
2015-03-25,-0.01876941361236739
2015-03-26,0.014346640478774653
2015-03-27,-0.002637457454716774
2015-03-30,0.007932651338804053
2015-03-31,-0.01101802317965539
2015-04-01,0.003713399176037857
2015-04-02,0.0031714549720054386
2015-04-06,0.0
2015-04-07,0.011064464936785035
2015-04-08,-0.004690353773291855
2015-04-09,0.005235968611991604
2015-04-10,-0.007812479604471623
2015-04-13,0.008398809510264282
2015-04-14,-0.01041133573625852
2015-04-15,0.0084165551286286
2015-04-16,0.005738448900859172
2015-04-17,-0.019191265587967243
2015-04-20,0.004230890659867148
2015-04-21,0.022116918171519062
2015-04-22,0.017516303211395634
2015-04-23,-0.0025312057084443396
2015-04-24,-0.008122310663082222
2015-04-27,0.005629859024042672
2015-04-28,0.008651217155229984
2015-04-29,0.013118077943626849
2015-04-30,-0.0039838970975119015
2015-05-01,0.011999902461294454
2015-05-04,0.009881778617075732
2015-05-05,-0.004403052776188576
2015-05-06,-0.011793645127786134
2015-05-07,-0.00646485419284204
2015-05-08,0.011511529395491937
2015-05-11,0.005442948780511436
2015-05-12,-0.0019686545973541802
2015-05-13,0.010354938575710015
2015-05-14,0.006832762217481525
2015-05-15,-0.013087245126955138
