Date,CRL
2015-01-05,0.007827116107427479
2015-01-06,0.004193915563527106
2015-01-07,0.02397517998113008
2015-01-08,0.005438075935759068
2015-01-09,0.0025541737466288073
2015-01-12,0.009890543975917154
2015-01-13,0.022258495527311295
2015-01-14,-0.0018870264852622887
2015-01-15,-0.013961591836059939
2015-01-16,0.0060471388533989145
2015-01-20,-0.0007329632463616287
2015-01-21,-0.010123274711468788
2015-01-22,0.013191038588203474
2015-01-23,0.006290232611710467
2015-01-26,0.026166527088342884
2015-01-27,-0.005949825623094318
2015-01-28,-0.006840469432297769
2015-01-29,0.0010044438566789715
2015-01-30,-0.00587734589383615
2015-02-02,-0.006633007852830941
2015-02-03,0.012919137720041496
2015-02-04,-0.01017482225412858
2015-02-05,0.017952770656555428
2015-02-06,-0.010809195466158106
2015-02-09,-0.010783608441280235
2015-02-10,0.013081306054700592
2015-02-11,0.04935441308499233
2015-02-12,0.010937969078941956
2015-02-13,-0.004463102788185513
2015-02-17,0.001901907193147645
2015-02-18,0.011525403038930015
2015-02-19,0.0033512065028624693
2015-02-20,0.017768895900706294
2015-02-23,0.007088486654818871
2015-02-24,-0.005474428600921066
2015-02-25,0.006553079685472918
2015-02-26,-0.00039070843097732677
2015-02-27,-0.0013025723393740307
2015-03-02,0.0010434568014257017
2015-03-03,-0.014723091249745468
2015-03-04,0.013091745937741095
2015-03-05,0.014227859668537013
2015-03-06,-0.01196911636682918
2015-03-09,0.017975836175018634
2015-03-10,0.0031989762651152276
2015-03-11,0.014030592509083117
2015-03-12,0.009937118434306225
2015-03-13,-0.0012454660976564114
2015-03-16,0.02219726555810375
2015-03-17,-0.0008539672292519063
2015-03-18,0.0006104447061272555
2015-03-19,0.0274557667332318
2015-03-20,-0.001425120208273456
2015-03-23,-0.009157995429259547
2015-03-24,-0.017884982684360118
2015-03-25,-0.04583231500839546
2015-03-26,0.012040507814534696
2015-03-27,0.007593955928346441
2015-03-30,0.0027634872379904696
2015-03-31,-0.006764385608685752
2015-04-01,-0.007567139200317485
2015-04-02,-0.010674849932945873
2015-04-06,0.010533072715432468
2015-04-07,-0.012838369522609527
2015-04-08,0.010172460067990663
2015-04-09,0.007520764693903281
2015-04-10,-0.0034160459176802993
2015-04-13,0.0038085954620161733
2015-04-14,-0.003288252652509982
2015-04-15,-0.001268855186129736
2015-04-16,-0.005971302581247784
2015-04-17,0.0002556783359806136
2015-04-20,0.003577801835597638
2015-04-21,0.0006365599921123177
2015-04-22,-0.00674384532375083
2015-04-23,-0.00217778855063
2015-04-24,-0.006290895719722522
2015-04-27,-0.006847529313286471
2015-04-28,-0.013789581762899239
2015-04-29,0.005804016034510084
2015-04-30,-0.09298355852971307
2015-05-01,0.021110454123248523
2015-05-04,0.018691583736706985
2015-05-05,-0.021545774244590254
2015-05-06,-0.001420634678053423
2015-05-07,-0.007397983577861478
2015-05-08,0.010176390254101442
2015-05-11,0.00014180627638915588
2015-05-12,-0.008653718667015142
2015-05-13,0.007298256386315538
2015-05-14,0.014206563555490881
2015-05-15,-0.01190640819986255
2015-05-18,0.016869895463019535
2015-05-19,-0.0005576594682186187
2015-05-20,0.010461709784610251
2015-05-21,0.0017945506493199925
2015-05-22,0.0006890319962531422
2015-05-26,-0.0066097953563653
2015-05-27,0.011228133704558552
2015-05-28,0.008224895525922093
2015-05-29,-0.01645148421021403
2015-06-01,0.0013824455153206294
2015-06-02,0.0022086696206873313
2015-06-03,0.012809921828129012
2015-06-04,-0.005167921388908869
2015-06-05,0.0006834644062938544
2015-06-08,0.0035519418998652963
2015-06-09,-0.007487005570621319
2015-06-10,0.007406298985189075
2015-06-11,0.004084452882540113
2015-06-12,-0.012881314552436463
2015-06-15,-0.005494526224051444
2015-06-16,-0.000276302099990855
2015-06-17,-0.0051118421004088255
2015-06-18,0.021524724015852037
2015-06-19,0.0014953862697444364
2015-06-22,0.014388559988252059
2015-06-23,-0.0016058174921906865
2015-06-24,-0.01970246895426475
2015-06-25,-0.003965011183311384
2015-06-26,-0.01592307559384387
2015-06-29,-0.01841260496403363
2015-06-30,-0.0004264090879669835
2015-07-01,-0.00469141624737901
2015-07-02,-0.006713343898898327
2015-07-06,0.008484272794406778
2015-07-07,0.003992676738309164
2015-07-08,-0.021161843710652994
2015-07-09,0.04439937999544363
2015-07-10,0.018199465094461686
2015-07-13,0.013371479264525865
2015-07-14,0.005924363286575307
2015-07-15,0.0024093201362813677
2015-07-16,0.003071215900762647
2015-07-17,0.001198034273164561
2015-07-20,0.008243621248893662
2015-07-21,-0.0051430750393141045
2015-07-22,0.005567313830239007
2015-07-23,-0.0009227484083972337
2015-07-24,-0.008840192121016943
2015-07-27,-0.0011981358359208771
2015-07-28,0.017592959033719824
2015-07-29,0.0022265641433238947
2015-07-30,-0.027182361381462905
2015-07-31,0.04271897099518296
2015-08-03,-0.009791318079590439
2015-08-04,-0.007285942676902968
2015-08-05,-0.0013106959307430666
2015-08-06,-0.02939629860209858
2015-08-07,0.014602512769384735
2015-08-10,-0.001865663485346114
2015-08-11,0.005874429947237081
2015-08-12,0.010353151667185756
2015-08-13,-0.00578037868536474
2015-08-14,-0.005285432403090873
2015-08-17,0.006376240232692565
2015-08-18,-0.008183774143342148
2015-08-19,-0.004924178195202411
2015-08-20,-0.04132668819876384
2015-08-21,-0.023577042887989785
2015-08-24,-0.06029434704251668
2015-08-25,-0.013379919390808404
2015-08-26,0.05393743308554155
2015-08-27,0.025149893786422073
2015-08-28,0.0038510432280118856
2015-08-31,-0.021170757628825698
2015-09-01,-0.03367687204788716
