Date,EXC
2015-01-05,-0.028480260301130378
2015-01-06,-0.007671194148654803
2015-01-07,0.0013802005844318899
2015-01-08,0.007720162713534817
2015-01-09,-0.0016417758774491809
2015-01-12,0.003836542199355586
2015-01-13,-0.0032760633019391916
2015-01-14,0.011229838003821824
2015-01-15,0.009479700877411457
2015-01-16,0.002951794411834907
2015-01-20,-0.0034779716509244496
2015-01-21,0.01986605077796333
2015-01-22,-0.019479078417022788
2015-01-23,0.0032214315417635753
2015-01-26,-0.0008025118965448996
2015-01-27,0.0018744478884757942
2015-01-28,-0.010959569917264211
2015-01-29,0.0008109569386380855
2015-01-30,-0.026735382497607763
2015-02-02,0.0002775913992589807
2015-02-03,0.024410594517674022
2015-02-04,-0.02003787360735587
2015-02-05,0.011329241079336416
2015-02-06,-0.04371603899806842
2015-02-09,-0.014857119514221084
2015-02-10,0.015081182444210528
2015-02-11,-0.012395456179761788
2015-02-12,0.005253977856052527
2015-02-13,-0.027003265567350665
2015-02-17,-0.012533389871312917
2015-02-18,0.024478275927237947
2015-02-19,-0.014158975785580785
2015-02-20,-0.0008979409923832726
2015-02-23,0.011680264367772253
2015-02-24,0.029898896859749557
2015-02-25,-0.008623157204983967
2015-02-26,-0.01536653847820002
2015-02-27,-0.0011775748919488072
2015-03-02,-0.032134665866387024
2015-03-03,0.005787208906523844
2015-03-04,-0.012113543478527111
2015-03-05,0.010729792835385332
2015-03-06,-0.021231773143414068
2015-03-09,-0.005267597610100427
2015-03-10,0.0009340258192280793
2015-03-11,-0.00933687562801544
2015-03-12,0.027018247813788365
2015-03-13,-0.009176988840366884
2015-03-16,0.009261985982366827
2015-03-17,0.00734218005816345
2015-03-18,0.02398971782367454
2015-03-19,-0.01393798652337741
2015-03-20,-0.00150395009841231
2015-03-23,0.0048194020396887804
2015-03-24,-0.004496280802847918
2015-03-25,-0.011141196965564815
2015-03-26,-0.009744112538701333
2015-03-27,-0.0027679018120135845
2015-03-30,0.03515296883627328
2015-03-31,0.001191369829826705
2015-04-01,-0.022612413586398428
2015-04-02,0.016134044504337863
2015-04-06,0.01348133682588415
2015-04-07,-0.0008870585409691545
2015-04-08,-0.01183445435345365
2015-04-09,0.0014970808940195646
2015-04-10,-0.00209254994888064
2015-04-13,-0.007489772568125441
2015-04-14,0.009961143404432882
2015-04-15,0.006276002315536822
2015-04-16,-0.008315965516969226
2015-04-17,-0.011979770154392555
2015-04-20,0.020309148688437917
2015-04-21,-0.016339999759754642
2015-04-22,0.0
2015-04-23,-0.0006033795769271322
2015-04-24,0.02931369637409209
2015-04-27,-0.02025835782755836
2015-04-28,0.010488061171336716
2015-04-29,0.0029657477264408705
2015-04-30,0.005914070012177364
2015-05-01,0.0029390271565430393
2015-05-04,0.020223077175710147
2015-05-05,-0.02269453836340729
