Date,PEP
2015-01-05,-0.007518168816121551
2015-01-06,-0.007574786678361534
2015-01-07,0.02924116782044761
2015-01-08,0.01817424108825172
2015-01-09,-0.006771252625674351
2015-01-12,-0.00413080887606776
2015-01-13,-0.000726230132580441
2015-01-14,0.0033210255162579028
2015-01-15,0.0
2015-01-16,0.0064139692429683315
2015-01-20,0.002261492370980722
2015-01-21,-0.0011284616583507878
2015-01-22,0.0154003682143804
2015-01-23,-0.0037410204300510896
2015-01-26,0.0016241958915048649
2015-01-27,-0.019961858377313457
2015-01-28,-0.010339094267015958
2015-01-29,0.003238594749368051
2015-01-30,-0.023430003741828576
2015-02-02,0.01652761751100318
2015-02-03,0.009126152275134025
2015-02-04,0.004158080193556124
2015-02-05,0.00010376939358902604
2015-02-06,0.0010351081266168904
2015-02-09,-0.007651901140950379
2015-02-10,0.02104825649418518
2015-02-11,0.024594504473200773
2015-02-12,-0.0012949372515294044
2015-02-13,-0.011369425081998785
2015-02-17,-0.00776741459792174
2015-02-18,0.009861603138865194
2015-02-19,-0.00614107892514093
2015-02-20,0.0034438512845877955
2015-02-23,0.0039374687385724805
2015-02-24,0.001307202403686647
2015-02-25,-0.0008036393741480685
2015-02-26,-0.0043213619461538455
2015-02-27,-0.0009089586166933783
2015-03-02,0.00020275882405762502
2015-03-03,-0.006060923404454854
2015-03-04,-0.003938806222454905
2015-03-05,-0.0013349782134104426
2015-03-06,-0.0109024329082279
2015-03-09,-0.0013516048896895505
2015-03-10,-0.01676369992799487
2015-03-11,-0.008471923244835255
2015-03-12,0.022215095521895822
2015-03-13,-0.01452317392135738
2015-03-16,0.011980536027719646
2015-03-17,-0.013829133574054131
2015-03-18,0.005417913210351344
2015-03-19,-0.0057058873722839465
2015-03-20,0.013177479907373169
2015-03-23,0.005349478473297253
2015-03-24,0.00010410092935697612
2015-03-25,-0.006259104512386426
2015-03-26,0.0038839491367868018
2015-03-27,0.0033465714159053306
2015-03-30,0.005940500592649167
2015-03-31,-0.009324617130633595
2015-04-01,-0.005542733014951784
2015-04-02,0.006309788006041872
2015-04-06,0.008256312096312612
2015-04-07,-0.0027991226029203675
2015-04-08,-0.0018704600048384812
2015-04-09,0.0033317688243645893
2015-04-10,-0.0015566307749069752
2015-04-13,-0.006964543234802223
2015-04-14,0.01004924719942335
2015-04-15,0.0014509612082198586
2015-04-16,-0.0018629715412638026
2015-04-17,-0.006635594923817045
2015-04-20,0.007201721480266654
2015-04-21,0.002901622358350453
2015-04-22,0.005166782588070795
2015-04-23,-0.01593352571972173
2015-04-24,-0.005849812788492836
2015-04-27,-0.007145304813536035
2015-04-28,-0.0007409458193629037
2015-04-29,-0.00042336738268611285
2015-04-30,0.007840324866672077
2015-05-01,0.0046258133953789304
2015-05-04,0.00408145555179118
2015-05-05,-0.005523776496653254
2015-05-06,0.0006290457911743985
2015-05-07,-0.0034563314890035945
2015-05-08,0.014712971487538917
2015-05-11,-0.0020713157626155443
2015-05-12,-0.0015566307749069752
2015-05-13,0.0021826807128391135
2015-05-14,0.01649216366702544
2015-05-15,0.002245357745809029
2015-05-18,-0.0017312242961354807
2015-05-19,-0.0010195502020381442
2015-05-20,-0.0026546126890845123
2015-05-21,-0.005016089463386053
2015-05-22,-0.009670219597938678
2015-05-26,-0.004883289687967252
2015-05-27,0.00615962233331846
2015-05-28,0.007055601240410825
2015-05-29,-0.006490874328623497
2015-06-01,-0.004770134748854349
2015-06-02,0.0008332744345282972
2015-06-03,-0.0004927232622005118
2015-06-04,-0.012172074377251874
2015-06-05,-0.011578241528195754
2015-06-08,-0.0022571513320579495
2015-06-09,0.0024772947812738977
2015-06-10,0.006661700866647635
2015-06-11,0.004269065853849341
2015-06-12,-0.0037194308763489614
2015-06-15,-0.011734626279614968
2015-06-16,0.009823209050129567
2015-06-17,0.005344453952279116
2015-06-18,0.012546777300596279
2015-06-19,-0.0038854059612224434
2015-06-22,0.007800365017566424
2015-06-23,0.0
2015-06-24,-0.003242487842817887
2015-06-25,-0.004827311195742756
2015-06-26,0.0008438306143174756
2015-06-29,-0.012854322829635945
2015-06-30,-0.0037357475954117314
2015-07-01,0.012641885955917198
2015-07-02,0.0014811122622064854
2015-07-06,-0.002746615552653653
2015-07-07,0.021186419945179447
2015-07-08,-0.00819493303664831
2015-07-09,-0.010668275287085693
2015-07-10,0.01014905309469194
2015-07-13,0.01747787536944201
2015-07-14,-0.0009261302389124149
2015-07-15,-0.008029992503353678
2015-07-16,0.005707948013995212
2015-07-17,-0.0012386008312491592
2015-07-20,0.005476838086890812
2015-07-21,-0.0039054102774576105
2015-07-22,0.0024762233739008543
2015-07-23,-0.003086999752925923
2015-07-24,-0.0071234415882134305
2015-07-27,-0.005406311080328408
2015-07-28,0.0047040211440601
2015-07-29,0.0043698282036062075
2015-07-30,0.0010361060192507487
2015-07-31,-0.0028973293179750392
2015-08-03,0.011416535215897916
2015-08-04,0.0036938819855789617
2015-08-05,0.014109342630562738
2015-08-06,-0.00040336946998098533
2015-08-07,-0.0005042600188680524
2015-08-10,-0.0001007785949164175
2015-08-11,-0.004743597246902875
2015-08-12,-0.0024335815519905823
2015-08-13,0.004167588711108561
2015-08-14,0.004453992176733257
2015-08-17,0.0063491130895168
2015-08-18,-0.0009014405781060386
2015-08-19,-0.007818024954882152
2015-08-20,-0.010203015104556012
2015-08-21,-0.017656725622638314
2015-08-24,-0.045921981750347785
2015-08-25,-0.023848530611866203
2015-08-26,0.03179389878950234
2015-08-27,0.012001202550659285
2015-08-28,-0.0007477803458014742
