Date,MPWR
2015-01-05,-0.019539792921841492
2015-01-06,-0.033144319495131636
2015-01-07,0.014536781743752503
2015-01-08,0.034645356633235425
2015-01-09,-0.0059943215892607205
2015-01-12,-0.01996250819642076
2015-01-13,-0.004031436132415633
2015-01-14,-0.003195732106301974
2015-01-15,-0.021158410881119805
2015-01-16,0.022052335310423832
2015-01-20,-0.003418093181923987
2015-01-21,-0.004072828473616452
2015-01-22,0.011837994968804777
2015-01-23,0.02105966513611346
2015-01-26,-0.003333527237991407
2015-01-27,-0.002299092290804272
2015-01-28,0.002304390296770542
2015-01-29,0.02173943380804033
2015-01-30,-0.028437072159698706
2015-02-02,-0.001263629976040348
2015-02-03,0.02319214240887968
2015-02-04,-0.01504227519754997
2015-02-05,-0.005648755224501256
2015-02-06,0.014307061214447803
2015-02-09,-0.01742365361093101
2015-02-10,0.03652093382429977
2015-02-11,0.008350043168499521
2015-02-12,0.013128940651858878
2015-02-13,0.0031898945293145076
2015-02-17,0.005762720632963125
2015-02-18,-0.003161283535540238
2015-02-19,0.011694742704840833
2015-02-20,0.018612683733112867
2015-02-23,0.004424327777900805
2015-02-24,0.009574748310977155
2015-02-25,0.0005691368688154341
2015-02-26,0.0062557505169345
2015-02-27,-0.0065937106655553634
2015-03-02,0.027119332116442685
2015-03-03,-0.011078310491946186
2015-03-04,-0.007655039299035549
2015-03-05,-0.008654820281833286
2015-03-06,-0.018409622854430707
2015-03-09,0.011214357364999872
2015-03-10,-0.0003825518771254366
2015-03-11,0.01740614575688393
2015-03-12,-0.003007786600769391
2015-03-13,-0.007731467570252115
2015-03-16,0.021094731671358558
2015-03-17,0.005769513751485933
2015-03-18,0.002405551789758542
2015-03-19,0.009968771868141157
2015-03-20,0.02577200550399983
2015-03-23,-0.011225907461998919
2015-03-24,-0.01784101468269217
2015-03-25,-0.045137587452361516
2015-03-26,-0.012874876804364721
2015-03-27,0.031854775923660705
2015-03-30,0.010227377775623214
2015-03-31,-0.012935923058490228
2015-04-01,-0.012535793458537392
2015-04-02,-0.005577700653181417
2015-04-06,0.0038683581939344958
2015-04-07,-0.007514460416435775
2015-04-08,0.004659201734641405
2015-04-09,0.0011592975355227964
2015-04-10,0.0077206157182558854
2015-04-13,-0.009002008492835722
2015-04-14,-0.0019328053080605034
2015-04-15,0.025562113307917578
2015-04-16,0.009629121618964342
2015-04-17,-0.012717137382770693
2015-04-20,0.011555051448834064
2015-04-21,0.010487166252464153
2015-04-22,-0.0007412370978199245
2015-04-23,-0.007604188757510344
2015-04-24,-0.06634239526771146
2015-04-27,0.009207254091615269
2015-04-28,0.011106826127772917
2015-04-29,0.02020369004222844
2015-04-30,-0.0034606675757546945
2015-05-01,0.02103018695965231
2015-05-04,-0.002456541456448802
2015-05-05,-0.02064767044223792
2015-05-06,-0.0027079397249005766
2015-05-07,0.006787866398812126
2015-05-08,0.012329043385834293
2015-05-11,-0.0064699280070281695
2015-05-12,-0.0009575428711321443
2015-05-13,0.0032593916192549255
2015-05-14,0.01605171229107638
2015-05-15,-0.005078221699692742
2015-05-18,0.02646505002702404
2015-05-19,-0.008102787303065684
2015-05-20,-0.004456223130939185
2015-05-21,0.008951949873760912
2015-05-22,0.0005543152826270603
2015-05-26,-0.014594213728322925
2015-05-27,0.026059093709108305
2015-05-28,0.004019562410435329
2015-05-29,-0.0063691848335475365
2015-06-01,-0.0012824006085906392
2015-06-02,-0.00275041222818595
2015-06-03,0.0038616123292865012
2015-06-04,-0.008975921065464854
2015-06-05,-0.008502748035408403
2015-06-08,-0.021998698624823065
2015-06-09,-0.005146712479003779
2015-06-10,0.020502219468978344
2015-06-11,-0.0043187390397125824
2015-06-12,0.0016972885814909855
2015-06-15,0.00414170518069823
2015-06-16,0.005249205530735601
2015-06-17,0.0
2015-06-18,0.009324879533033625
2015-06-19,0.002771557022604565
2015-06-22,0.007739034139746748
2015-06-23,-0.006216838423611537
2015-06-24,-0.007359645293970263
2015-06-25,-0.0025950824760841984
2015-06-26,-0.021078092497958445
2015-06-29,-0.03201211463197362
2015-06-30,-0.0017718540076292477
2015-07-01,0.004338439177542952
2015-07-02,0.012762979651837147
2015-07-06,-0.012020236905086468
2015-07-07,-0.0070644267213013645
2015-07-08,-0.02707526004906946
2015-07-09,-0.03046906535908822
2015-07-10,0.019484505346619052
2015-07-13,0.004726648471747641
2015-07-14,0.01268144089888068
2015-07-15,0.00403943777287985
2015-07-16,-0.010058007817362546
2015-07-17,-0.005080099590071163
2015-07-20,0.002042279335573216
2015-07-21,-0.005503493277721927
2015-07-22,-0.02992428697109195
2015-07-23,0.03972130325302614
2015-07-24,-0.017882384102236748
2015-07-27,-0.011587174709122183
2015-07-28,0.042076550017210446
2015-07-29,0.0
2015-07-30,0.02591416444165895
2015-07-31,0.012531676368323641
2015-08-03,-0.011023105554825885
2015-08-04,-0.012319134266096876
2015-08-05,0.014848632043920285
2015-08-06,-0.006827905072658624
2015-08-07,0.008249913260257813
2015-08-10,0.015390582704198685
2015-08-11,-0.024750630878054958
2015-08-12,0.00688583012307209
2015-08-13,-0.008987997440235485
2015-08-14,0.00335171269503598
2015-08-17,0.010414661424836602
2015-08-18,-0.02625451024009373
2015-08-19,-0.011783293851237442
2015-08-20,-0.03799532894568969
2015-08-21,-0.01428553295104229
2015-08-24,-0.030264347008112202
2015-08-25,-0.004835579667871626
2015-08-26,0.04174088197371195
2015-08-27,0.024591951710439375
2015-08-28,0.002275739632624285
2015-08-31,-0.007225400956677008
2015-09-01,-0.028487903987478247
2015-09-02,0.026112521398844457
