Date,DHI
2015-01-05,-0.020833553101979763
2015-01-06,-0.013502150726937834
2015-01-07,0.05143100165454495
2015-01-08,0.0228795750241213
2015-01-09,0.005013241012515213
2015-01-12,0.0007676291013325454
2015-01-13,-0.04831262215085974
2015-01-14,0.012892563437554738
2015-01-15,-0.07796365401276817
2015-01-16,0.025021646652747753
2015-01-20,-0.03409073094876214
2015-01-21,0.020043329820297995
2015-01-22,0.011960598059164385
2015-01-23,-0.02490487686130327
2015-01-26,0.05541153245551689
2015-01-27,-0.009023935634983937
2015-01-28,-0.011589302754585917
2015-01-29,0.04020099556540413
2015-01-30,-0.012882530928527536
2015-02-02,0.013458620379882325
2015-02-03,0.024949339300401663
2015-02-04,0.0197980691415387
2015-02-05,-0.005017309921143354
2015-02-06,0.027540492709547948
2015-02-09,-0.001509825392280506
2015-02-10,0.017012955370277583
2015-02-11,-0.0022303787476348758
2015-02-12,0.018628779690858188
2015-02-13,-0.005486483113244511
2015-02-17,0.006620320704425087
2015-02-18,-0.005480780288352194
2015-02-19,0.004041414991824199
2015-02-20,-0.0003660503711875318
2015-02-23,-0.006588349317263376
2015-02-24,0.01805424598074179
2015-02-25,-0.009047957404719975
2015-02-26,-0.005843926939214761
2015-02-27,0.0033068262156252803
2015-03-02,-0.006224910416194773
2015-03-03,-0.021002441578975906
2015-03-04,0.011291124050068602
2015-03-05,0.005582370057611863
2015-03-06,-0.03145821627187817
2015-03-09,0.0015282871841737489
2015-03-10,-0.01144564080337096
2015-03-11,0.003087410507167876
2015-03-12,0.023470545970813994
2015-03-13,-0.00939855041225679
2015-03-16,0.010247050124782886
2015-03-17,-0.00976754032133531
2015-03-18,0.028073090858247607
2015-03-19,-0.005535228497191902
2015-03-20,0.014100343820575345
2015-03-23,-0.007684088763113106
2015-03-24,0.011430786875224364
2015-03-25,-0.01895744337327898
2015-03-26,-0.008175466712119439
2015-03-27,0.02772591168012073
2015-03-30,0.021144726908344014
2015-03-31,0.016779837147032017
2015-04-01,-0.008075900614635478
2015-04-02,0.026902652191577614
2015-04-06,-0.010341291625056814
2015-04-07,-0.023685156873777702
2015-04-08,0.018194967058103417
2015-04-09,-0.002102363297565746
2015-04-10,0.004564704675656284
2015-04-13,-0.008039353296039331
2015-04-14,0.012685222471623403
2015-04-15,0.010438441746871918
2015-04-16,-0.019972662409136088
2015-04-17,-0.006675885875784937
2015-04-20,-0.008136041766922952
2015-04-21,0.01854503140592545
2015-04-22,-0.05357156742530733
2015-04-23,-0.032556290576666314
2015-04-24,0.016061084824464444
