Date,VRSN
2015-01-05,-0.01661125990586465
2015-01-06,-0.01884779755809829
2015-01-07,0.008336332595949125
2015-01-08,0.02228615568265857
2015-01-09,0.008087180529704918
2015-01-12,-0.009940722962519022
2015-01-13,0.0007046484630908179
2015-01-14,-0.00950538250961952
2015-01-15,-0.012440036958062173
2015-01-16,0.019614907384679414
2015-01-20,-0.00882459805061686
2015-01-21,0.0037392802192075525
2015-01-22,-0.003015701434565088
2015-01-23,0.010854094367520384
2015-01-26,-0.01760252778415372
2015-01-27,-0.017201296462691085
2015-01-28,-0.01002734057231447
2015-01-29,0.007182311724078794
2015-01-30,-0.003839787556934149
2015-02-02,0.01339936357867555
2015-02-03,0.038580022600028574
2015-02-04,-0.008022302719349672
2015-02-05,0.0012306491351394833
2015-02-06,0.05302897853853783
2015-02-09,0.010338484641845502
2015-02-10,0.004786267267083311
2015-02-11,0.0016425686851377908
2015-02-12,0.012135125756583154
2015-02-13,0.006966986575647649
2015-02-17,0.00016088190363539034
2015-02-18,0.007078465064305206
2015-02-19,0.01469651010357964
2015-02-20,0.005510082648529924
2015-02-23,-0.004070763685616208
2015-02-24,0.007074299659788119
2015-02-25,0.005307550034259201
2015-02-26,0.006677056207941012
2015-02-27,-0.012494263530545169
2015-03-02,0.008747301906491423
2015-03-03,-0.009600479055535627
2015-03-04,-0.004065035545139151
2015-03-05,0.010831997600935894
2015-03-06,-0.007299293054559897
2015-03-09,0.006414283085512729
2015-03-10,-0.0240945014294921
2015-03-11,0.0068492925332444
2015-03-12,0.009492190012755808
2015-03-13,-0.0028208387069160734
2015-03-16,0.006600656296436691
2015-03-17,-0.0010929453219180596
2015-03-18,0.0157861593445221
2015-03-19,-0.01107860518459658
2015-03-20,0.007468556453640307
2015-03-23,0.01915054552122486
2015-03-24,0.004546182267651799
2015-03-25,-0.017498979242559942
2015-03-26,-0.0032242896960276157
2015-03-27,0.021256996627289526
2015-03-30,0.010407155601705576
2015-03-31,-0.00029851653043855286
2015-04-01,-0.005972798782730715
2015-04-02,0.0018026292230950425
2015-04-06,-0.0013495965549440436
2015-04-07,-0.0012011732603692815
2015-04-08,0.010673592481735383
2015-04-09,0.004313378448606242
2015-04-10,0.003406446449222944
2015-04-13,-0.0033948819656055562
2015-04-14,0.0008887465806652894
2015-04-15,0.0017755752167509797
2015-04-16,0.002511231781619605
2015-04-17,-0.02666872565634526
2015-04-20,0.00650915470391733
2015-04-21,0.008572734314270969
2015-04-22,0.0025351982207182377
2015-04-23,0.007437067357820792
2015-04-24,-0.03971654164450933
2015-04-27,-0.009532637969714153
2015-04-28,0.004501766184382694
2015-04-29,-0.008808546754115354
2015-04-30,-0.00982228851175948
2015-05-01,0.010077219919091718
2015-05-04,0.004208802141578705
2015-05-05,-0.02437126626721431
2015-05-06,0.007796387109590297
2015-05-07,0.00347332811322576
2015-05-08,0.005349241639109215
2015-05-11,-0.004694875868930692
2015-05-12,0.0011006183490400723
2015-05-13,0.0028271014604288602
2015-05-14,0.004228697234515799
2015-05-15,-0.0004679363945345738
2015-05-18,0.007489532452114034
2015-05-19,-0.004026632693162835
2015-05-20,-0.0010885861192243551
2015-05-21,0.004203084707388172
2015-05-22,0.0001549962881530753
2015-05-26,-0.01565409620635716
2015-05-27,0.015273296791613822
2015-05-28,-0.012717209945875552
2015-05-29,-0.007382995418472538
2015-06-01,0.0011078201167928903
2015-06-02,-0.015017355951527978
2015-06-03,0.010752636685154249
2015-06-04,-0.004128228908352516
2015-06-05,-0.0011161215930344248
2015-06-08,-0.010215488961305641
2015-06-09,-0.007579384852901105
2015-06-10,0.020636953047741713
2015-06-11,0.004617098140877296
2015-06-12,-0.0023771388278415184
2015-06-15,-0.007148591536971782
2015-06-16,0.008160008881575642
2015-06-17,0.007300470904321843
2015-06-18,0.018276225827805304
2015-06-19,-0.006807885044586737
2015-06-22,0.0031157370643519755
2015-06-23,-0.003416689102024084
2015-06-24,-0.013090162614725398
2015-06-25,-0.0007896024940639013
2015-06-26,-0.005214841798452219
2015-06-29,-0.02494043903757459
2015-06-30,0.005539227804747471
2015-07-01,0.025599473757504265
2015-07-02,-0.006793026692065829
2015-07-06,-0.001431537621318535
2015-07-07,0.005097167768946864
2015-07-08,-0.02535659204105256
2015-07-09,0.011544710875946551
2015-07-10,0.015753065675137234
2015-07-13,0.01376799882323243
2015-07-14,0.0020294047837632334
2015-07-15,0.0017136970985853761
2015-07-16,0.010108732767718287
2015-07-17,0.0010777418164060748
2015-07-20,0.00784386720325525
2015-07-21,-0.006867084063466367
2015-07-22,0.011831594993656935
2015-07-23,0.0025815501359900406
2015-07-24,0.025901291333327192
2015-07-27,0.0029528888680054877
2015-07-28,0.030030946537910275
2015-07-29,0.0081463633891663
2015-07-30,0.0069463461189120945
2015-07-31,-0.0012670272948310801
2015-08-03,-0.0043699094604193744
2015-08-04,0.003539584718621036
2015-08-05,0.002680591871576876
2015-08-06,-0.006331785927034761
2015-08-07,0.0039648441816235724
2015-08-10,0.006629129974841774
2015-08-11,-0.00714586690411545
2015-08-12,-0.00197570764881716
2015-08-13,-0.0014140752410916058
2015-08-14,0.006655305113175691
2015-08-17,0.0014067155602197623
2015-08-18,-0.003652193723376329
2015-08-19,-0.004934394661405661
2015-08-20,-0.02026077878113619
2015-08-21,-0.019378182051514647
2015-08-24,-0.027577046061737942
2015-08-25,-0.0003032699672355088
2015-08-26,0.032767038317958797
2015-08-27,0.025998765045737615
2015-08-28,-0.004294844926570729
2015-08-31,-0.008770724696568699
2015-09-01,-0.03452288346152099
