Date,CAH
2015-01-05,-0.0057135070743742356
2015-01-06,-0.01074335306148766
2015-01-07,0.0358632789031792
2015-01-08,0.030841966712859437
2015-01-09,-0.008514864270192102
2015-01-12,-0.012284530638649205
2015-01-13,-0.0037438790418679035
2015-01-14,-0.006666796034478506
2015-01-15,-0.013422204423292783
2015-01-16,0.017439323327472556
2015-01-20,-0.006321150525870567
2015-01-21,0.0024466292699094616
2015-01-22,0.024163796793235326
2015-01-23,-0.005362298140352606
2015-01-26,0.015335126550141132
2015-01-27,-0.0005898882390948934
2015-01-28,0.008146328711945205
2015-01-29,-0.006675333397109906
2015-01-30,-0.019217100881658178
2015-02-02,-0.004447757629467919
2015-02-03,0.007244484916688831
2015-02-04,0.005394561667721787
2015-02-05,0.006676583551878723
2015-02-06,0.012318348571888293
2015-02-09,-0.014624957210197298
2015-02-10,0.010686087061314131
2015-02-11,0.011395464395751898
2015-02-12,-0.0005805875968465379
2015-02-13,0.00046475182711636087
2015-02-17,0.003833956390489668
2015-02-18,-0.002198905001128293
2015-02-19,-0.0005800096053304449
2015-02-20,0.010328566705634312
2015-02-23,0.011945510770515533
2015-02-24,0.013053338485088162
2015-02-25,-0.01064421467252974
2015-02-26,-0.0014720604872048293
2015-02-27,-0.0020411797569719337
2015-03-02,0.01738778919632389
2015-03-03,-0.012176110295974651
2015-03-04,0.0067848966679908695
2015-03-05,-0.0008981720492823309
2015-03-06,-0.021810289946266548
2015-03-09,0.01114846938095515
2015-03-10,-0.01182094755610752
2015-03-11,0.0037959126243662933
2015-03-12,0.01386504689259116
2015-03-13,-0.004069099651824781
2015-03-16,0.021107579303217605
2015-03-17,-0.004778642630090868
2015-03-18,0.009268775228991943
2015-03-19,-0.005089956207323443
2015-03-20,0.014790704309742164
2015-03-23,-0.010191500567437783
2015-03-24,-0.00963265627046972
2015-03-25,-0.004918701402253811
2015-03-26,0.0014605488103236475
2015-03-27,0.01065711733201935
2015-03-30,0.01173307312743388
2015-03-31,-0.005837064792849067
2015-04-01,-0.015730623645007658
2015-04-02,0.008441311580738908
2015-04-06,0.003683575354640034
2015-04-07,0.00011083834142633364
2015-04-08,0.0027795175258622518
2015-04-09,-0.00332610785530707
2015-04-10,0.007008443386999241
2015-04-13,-0.00994273631702014
2015-04-14,0.007587836418854188
2015-04-15,-0.0016611976473103196
2015-04-16,-0.005435631282028508
2015-04-17,-0.0012265428105857623
2015-04-20,0.006588334253104788
2015-04-21,0.0023295556877225287
2015-04-22,0.012728465143309275
2015-04-23,0.0
2015-04-24,-0.0013111494518199818
2015-04-27,-0.020245396645293456
2015-04-28,0.010610833157768784
2015-04-29,-0.017462283296248327
2015-04-30,-0.05129342866319653
2015-05-01,0.014346648219354163
2015-05-04,0.0009349727302607747
2015-05-05,-0.012378965691487553
2015-05-06,0.002246474119973918
2015-05-07,0.0027140062333552706
2015-05-08,0.01953134233043441
2015-05-11,-0.003346487326848724
2015-05-12,-0.002315981896891417
2015-05-13,0.0037140068760326272
2015-05-14,0.01757640210111533
2015-05-15,-0.005113729896592756
2015-05-18,0.003426637438171287
2015-05-19,-0.006260579667441424
2015-05-20,0.008820475034592823
2015-05-21,0.006698699669644315
2015-05-22,-0.0018045829257167245
2015-05-26,-0.010282654596189711
2015-05-27,0.012558329540016677
2015-05-28,-0.006539142871897385
2015-05-29,0.0006808556457238435
2015-06-01,0.002835316168537494
2015-06-02,-0.004410393567358062
2015-06-03,-0.00011404358485678223
2015-06-04,-0.004657852871874146
2015-06-05,0.004907897141286144
2015-06-08,-0.0005673665309716691
2015-06-09,-0.0037508578941540804
2015-06-10,0.012662708285031465
2015-06-11,0.01013805513567978
2015-06-12,-0.008810014188553317
2015-06-15,-0.006862757840830791
2015-06-16,0.009630056784535324
2015-06-17,0.009761435938497431
2015-06-18,-0.0015554744418576627
2015-06-19,0.0002221016895771477
2015-06-22,-0.0001104574039961781
2015-06-23,-0.00701169134769275
2015-06-24,-0.024655031549187578
2015-06-25,-0.004136416096700013
2015-06-26,-0.0073846575585487795
2015-06-29,-0.022219681817474246
2015-06-30,-0.0010749713847356679
2015-07-01,0.015541322896735155
2015-07-02,-0.00529763947478501
2015-07-06,0.0004733945175121601
2015-07-07,0.00544119012889599
2015-07-08,-0.018823495745713403
2015-07-09,0.009112700848162403
2015-07-10,0.015684646725862894
2015-07-13,0.007486520869212754
2015-07-14,0.0005811881977906275
2015-07-15,0.004990024085576694
2015-07-16,0.004849489543188978
2015-07-17,-0.002987459779697055
2015-07-20,-0.0020747545063475314
2015-07-21,-0.004504549511547773
2015-07-22,0.007309724005225782
2015-07-23,-0.029371471079778222
2015-07-24,-0.011629731165913815
2015-07-27,-0.012005701191369123
2015-07-28,0.01689146821838694
2015-07-29,0.008006831724513663
2015-07-30,-0.011974149567525627
2015-07-31,0.019678598381696055
2015-08-03,0.009884772564003219
2015-08-04,-0.0008156535272686449
2015-08-05,0.006064120592136568
2015-08-06,-0.01727130712617786
2015-08-07,0.003538462055572067
2015-08-10,0.007639844563090525
2015-08-11,0.0018661726295154946
2015-08-12,-0.009779926909305403
2015-08-13,-0.009993967218356326
2015-08-14,0.0008311653714496714
2015-08-17,0.0008308978044009319
2015-08-18,0.005453971724660667
2015-08-19,0.005542482232498758
2015-08-20,-0.035299510327615136
2015-08-21,-0.020180067226269083
2015-08-24,-0.02009926266422246
2015-08-25,0.005570899807433083
2015-08-26,0.052002406310330374
2015-08-27,0.0016755066748019853
2015-08-28,-0.0035845482276268825
2015-08-31,-0.01343135862757594
2015-09-01,-0.024796124785949947
