Date,ANET
2015-01-05,0.01786852148104212
2015-01-06,0.00015677329702312726
2015-01-07,0.020843096501077962
2015-01-08,0.015044571171570098
2015-01-09,0.004537135660944713
2015-01-12,-0.005269474311499378
2015-01-13,-0.012108416156394797
2015-01-14,-0.003217390765638428
2015-01-15,-0.02843526811471153
2015-01-16,0.021041003801903102
2015-01-20,0.014409672946751328
2015-01-21,-0.018176300889237607
2015-01-22,-0.012134393187762438
2015-01-23,-0.0014173252376046275
2015-01-26,0.014824138605440185
2015-01-27,-0.011344204499552646
2015-01-28,0.02845019496509127
2015-01-29,-0.03010853143076153
2015-01-30,-0.0053577081231172
2015-02-02,-0.007287691575677324
2015-02-03,0.0007979450555746226
2015-02-04,-0.02950085315148987
2015-02-05,-0.005915225217568154
2015-02-06,-0.06264464323185692
2015-02-09,0.05801447661155312
2015-02-10,0.051166661580403616
2015-02-11,-0.024734443964473884
2015-02-12,-0.008453855588618442
2015-02-13,0.03180846980356655
2015-02-17,0.016844134246791542
2015-02-18,0.018596633778639626
2015-02-19,0.043111346201859746
2015-02-20,0.007501134758856054
2015-02-23,0.008029241631500872
2015-02-24,-0.03910216449393744
2015-02-25,0.010248686071048008
2015-02-26,0.025958494636090457
2015-02-27,0.006398174536636603
2015-03-02,-0.0020228202788670213
2015-03-03,0.004632976635849051
2015-03-04,-0.028390275803879095
2015-03-05,0.027588262546235143
2015-03-06,-0.02006350193620121
2015-03-09,0.008837803498530805
2015-03-10,-0.006862333703645085
2015-03-11,0.011320263311707102
2015-03-12,0.002035170632143979
2015-03-13,0.0017409363999816296
2015-03-16,0.035915939434211674
2015-03-17,0.0296379530653037
2015-03-18,0.007875109559242643
2015-03-19,-0.01320225397567698
2015-03-20,-0.018430013298581516
2015-03-23,0.010431154159712408
2015-03-24,-0.03482448349840239
2015-03-25,-0.01996579393954956
2015-03-26,0.0016007073398949245
2015-03-27,-0.013802187307339175
2015-03-30,0.00942839445409982
2015-03-31,0.0293345334895585
2015-04-01,-0.012902255046996602
2015-04-02,-0.051852922550032376
2015-04-06,-0.003332846744181106
2015-04-07,0.005623996677809773
2015-04-08,-0.0007557897368505317
2015-04-09,-0.007260676939979227
2015-04-10,-0.005789993437767205
2015-04-13,0.013639837389248122
2015-04-14,0.0027215044880080086
2015-04-15,0.022165277856867283
2015-04-16,-0.03127308921597083
2015-04-17,-0.010659311219125445
2015-04-20,0.0015391484106856979
2015-04-21,0.012294499085750754
2015-04-22,0.006072474264548822
2015-04-23,-0.0018107005170651114
2015-04-24,0.0036280855364099196
2015-04-27,-0.026961905889193893
2015-04-28,0.017182672392728193
2015-04-29,-0.014457418375869002
2015-04-30,-0.011581222595117957
2015-05-01,0.0109357432413828
2015-05-04,-0.0009271760074579527
2015-05-05,-0.01283838842173024
2015-05-06,-0.00454404445180312
2015-05-07,0.022351616499763916
2015-05-08,0.013087084579741948
2015-05-11,0.02811547702613182
2015-05-12,-0.026607583313493888
2015-05-13,0.006985559531234253
2015-05-14,0.039209865770514885
2015-05-15,-0.05064584686828377
2015-05-18,0.03531038295083344
2015-05-19,-0.002657615476957642
2015-05-20,-0.0010362648654594908
2015-05-21,0.0063722626524083115
2015-05-22,0.01413634269921693
2015-05-26,-0.0017424530535246063
2015-05-27,-0.008436390269886407
2015-05-28,0.012908976183798382
2015-05-29,0.012454751228713645
2015-06-01,-0.0014304977582174638
2015-06-02,0.02578431621125632
2015-06-03,0.0452450472860515
2015-06-04,-0.011489654347139444
2015-06-05,0.04189753431036469
2015-06-08,0.02127392783694937
2015-06-09,0.01333666172479342
2015-06-10,0.015417440157354134
2015-06-11,-0.008270655236042646
2015-06-12,0.010206713487638241
2015-06-15,0.02562831576893121
2015-06-16,0.020783318132286732
2015-06-17,0.008826644571322761
2015-06-18,0.015748932044987507
2015-06-19,-0.004134611365721241
2015-06-22,0.011186728531252133
2015-06-23,-0.0025091380011108555
2015-06-24,-0.002858449606871538
2015-06-25,-0.02121314635411431
2015-06-26,-0.036551109703292006
2015-06-29,-0.015564187895738879
2015-06-30,0.009634372382873124
2015-07-01,0.0012233726050219218
2015-07-02,0.0002444314926206559
2015-07-06,-0.012704628729209078
2015-07-07,-0.012001994857285814
2015-07-08,-0.029555424614271297
2015-07-09,0.01032395243014772
2015-07-10,0.028611544738470718
2015-07-13,-0.013162766356160205
2015-07-14,0.026173421405621067
2015-07-15,0.004046525926562072
2015-07-16,0.025036677094810722
2015-07-17,0.009174271896421393
2015-07-20,-0.0075560733495601
2015-07-21,-0.005710156334521432
2015-07-22,0.019382568577374526
2015-07-23,-0.011854396044749804
2015-07-24,0.006295269793652025
2015-07-27,-0.023371144102978803
2015-07-28,-0.02405121966580226
2015-07-29,-0.004210480964589758
2015-07-30,0.056709331562218246
2015-07-31,-0.0058844297142151
2015-08-03,0.0018941166142143473
2015-08-04,-0.019969217379874893
2015-08-05,0.019893825029122958
2015-08-06,-0.03558333889521237
2015-08-07,0.030644765186170098
2015-08-10,-0.0066603850593809355
2015-08-11,-0.04789272223147378
2015-08-12,0.010437649221493706
2015-08-13,0.012943384384286105
2015-08-14,-0.007249002854344044
2015-08-17,0.014603963621386384
2015-08-18,-0.025616077305735008
2015-08-19,-0.004256338878079746
2015-08-20,-0.06851904092162009
2015-08-21,-0.0016195859511216604
2015-08-24,-0.031769615186424516
2015-08-25,0.006003913553274787
2015-08-26,0.03636356705363908
2015-08-27,0.007633583886456741
2015-08-28,0.015018672446781567
2015-08-31,-0.020688775359843814
2015-09-01,-0.038507784706017345
2015-09-02,0.01793899625140094
