Date,INVH
2017-02-02,0.011499859328759188
2017-02-03,0.01977282799049429
2017-02-06,0.004847417620926331
2017-02-07,0.003376643030654103
2017-02-08,0.0019233220187047095
2017-02-09,0.0019189569094506531
2017-02-10,0.0067052208468438845
2017-02-13,-0.0009515403922001342
2017-02-14,0.0014285587063824767
2017-02-15,-0.00570608335047984
2017-02-16,0.002391029931643196
2017-02-17,0.009065177734543184
2017-02-21,0.01513007072681094
2017-02-22,0.0046574379529094045
2017-02-23,0.00046363886715616864
2017-02-24,0.0009266313570361895
2017-02-27,0.009722353447424004
2017-02-28,-0.0009168594744038971
2017-03-01,-0.011931827934840489
2017-03-02,0.008824741023302884
2017-03-03,0.004143393242858284
2017-03-06,0.005043691773153114
2017-03-07,-0.005018380608165063
2017-03-08,-0.011920888125351414
2017-03-09,-0.014385163849564342
2017-03-10,0.007532814497096307
2017-03-13,-0.0009346438592882089
2017-03-14,-0.006080212488162484
2017-03-15,0.01270576587230643
2017-03-16,-0.0018588640724114258
2017-03-17,0.005586433491393095
2017-03-20,-0.002777753426709384
2017-03-21,-0.006963727083542426
2017-03-22,0.005142726619970839
2017-03-23,-0.00046514834187338927
2017-03-24,0.004187956907088397
2017-03-27,-0.0023165783925903627
2017-03-28,0.005108523413169808
2017-03-29,0.002310804064966865
2017-03-30,0.002766226983226039
2017-03-31,0.003678199760791312
2017-04-03,-0.00916180046968218
2017-04-04,-0.004160958857843844
2017-04-05,0.0018571385935257645
2017-04-06,0.005560763087530507
2017-04-07,-0.004147535932743085
2017-04-10,0.0013880174640743537
2017-04-11,-0.004158496679954382
2017-04-12,0.0
2017-04-13,-0.012065144097883618
2017-04-17,0.017848558629326883
2017-04-18,0.004614778012650866
2017-04-19,-0.0009186515033509091
2017-04-20,-0.011953988001729976
2017-04-21,0.007910875351416768
2017-04-24,-0.0009238562233642167
2017-04-25,0.003697329714719144
2017-04-26,-0.001841639654480809
2017-04-27,-0.004151469269250363
2017-04-28,-0.0018525125425461475
2017-05-01,0.0060324635709059216
2017-05-02,-0.007380150195178681
2017-05-03,-0.0018588640724114258
2017-05-04,-0.013035192865872736
2017-05-05,0.0033018934502007102
2017-05-08,0.00046995827966256343
2017-05-09,0.00798872366295078
2017-05-10,0.010256245942397602
2017-05-11,0.013420268107620537
2017-05-12,-0.005023212224409379
2017-05-15,0.00504857227437383
2017-05-16,-0.02420124017105041
2017-05-17,0.007955088543627475
2017-05-18,0.005106734374052957
2017-05-19,0.0060044503332365995
2017-05-22,-0.00505024881436944
2017-05-23,-0.00507620602386627
2017-05-24,0.0037102878689891927
2017-05-25,-0.02033244159832326
2017-05-26,0.0
2017-05-30,0.0075470254062222075
2017-05-31,0.007490712734211646
2017-06-01,0.00743491081313552
2017-06-02,0.011531307134885482
2017-06-05,-0.01595972893527109
2017-06-06,-0.0027804070426031835
2017-06-07,-0.010222853416356315
2017-06-08,-0.005633694294431613
2017-06-09,0.01038651620737907
2017-06-12,0.0023370039681027688
2017-06-13,-0.001864983254819652
2017-06-14,0.004203617271133053
2017-06-15,-0.0018604296119933972
2017-06-16,-0.010717789464341876
2017-06-19,0.017899079817555785
2017-06-20,-0.01110565251574358
2017-06-21,-0.0037434940754373924
2017-06-22,0.007045371152171409
2017-06-23,0.013059887920479074
2017-06-26,-0.0036835998129435277
2017-06-27,-0.0032343124320169947
2017-06-28,0.0
2017-06-29,-0.012517413967704338
2017-06-30,0.015493151822884466
2017-07-03,0.0023111820622783164
2017-07-05,0.00046119206913086686
2017-07-06,-0.0184414358312065
2017-07-07,0.007515339959251133
2017-07-10,-0.0009322742633941505
2017-07-11,0.000933144209724901
2017-07-12,0.0018647658908039766
2017-07-13,0.0
2017-07-14,0.00232656452433333
2017-07-17,0.004178571737794012
2017-07-18,-0.0069351628502811735
2017-07-19,0.009310917642697092
2017-07-20,-0.0013836837364363808
2017-07-21,0.004157018265963597
2017-07-24,0.0013799720788616465
2017-07-25,-0.005971781093589756
2017-07-26,-0.009703691390812508
2017-07-27,-0.007466567862308926
2017-07-28,0.00282114963491642
2017-07-31,-0.00046919673693501807
2017-08-01,0.00703611558482975
2017-08-02,-0.012575931880776103
2017-08-03,-0.00566059894562454
2017-08-04,0.003794994645801797
2017-08-07,-0.002362849358135022
2017-08-08,-0.013263604785967442
2017-08-09,0.007681417315784866
2017-08-10,0.039065909137606436
2017-08-11,0.008743981398049439
2017-08-14,0.04926959094486261
2017-08-15,-0.002608772313748675
2017-08-16,0.01787318739402899
2017-08-17,0.007708704551483869
2017-08-18,-0.00892518439527501
2017-08-21,-0.0008574590169648788
2017-08-22,-0.006437707701553941
2017-08-23,0.001728012636976528
2017-08-24,-0.0125058041915177
2017-08-25,-0.00043613626276250983
2017-08-28,-0.0021845754704918896
2017-08-29,-0.007880937308530345
2017-08-30,0.015004236376916724
2017-08-31,0.006087135398746835
2017-09-01,0.005185976884029442
2017-09-05,-0.01418760888177728
2017-09-06,-0.014391692732224515
2017-09-07,-0.012389126780741666
2017-09-08,0.0004481977756194411
2017-09-11,0.025973839555710088
2017-09-12,-0.015713915812196166
2017-09-13,-0.01596478510123689
2017-09-14,-0.0004503004200919758
2017-09-15,0.009918926164376174
2017-09-18,0.012946753948216205
2017-09-19,0.013661827567449158
2017-09-20,-0.023043398042829955
2017-09-21,0.004450612067695703
2017-09-22,-0.01860879915276281
2017-09-25,0.01580113260709881
2017-09-26,-0.0017777266673761893
2017-09-27,0.008904773280302702
2017-09-28,-0.01014987938677192
2017-09-29,0.009807956047433564
2017-10-02,0.015011068359463753
