Date,DECK
2015-01-05,-0.007577470468084213
2015-01-06,-0.017403988842974116
2015-01-07,0.032453435552049825
2015-01-08,0.04050910818605957
2015-01-09,-0.002765645422564078
2015-01-12,0.003733337402343828
2015-01-13,-0.007226378424737168
2015-01-14,-0.04035536956013619
2015-01-15,-0.04796427605140918
2015-01-16,0.013005234515379938
2015-01-20,-0.08443214352368433
2015-01-21,0.001642305322486104
2015-01-22,-0.01072019405161262
2015-01-23,-0.0014022806336823068
2015-01-26,0.038427193487401645
2015-01-27,-0.004917695120067234
2015-01-28,0.0066716200233434275
2015-01-29,0.009695665529139585
2015-01-30,-0.19715573917292195
2015-02-02,0.044057501493969475
2015-02-03,0.043503482059236376
2015-02-04,-0.005558559090821258
2015-02-05,0.03409718697807618
2015-02-06,-0.015000034409601182
2015-02-09,-0.003429773638079947
2015-02-10,0.026431771849172447
2015-02-11,0.004962355063830026
2015-02-12,0.020552554317437632
2015-02-13,0.00797704237643826
2015-02-17,-0.028671546341257348
2015-02-18,-0.011486584756399632
2015-02-19,-0.007026109492016652
2015-02-20,0.033610032555475566
2015-02-23,-0.0059241556215712254
2015-02-24,-0.020527072339587726
2015-02-25,0.00892379195860693
2015-02-26,-0.011793149664004243
2015-02-27,0.0067805545728683025
2015-03-02,0.003771586773317903
2015-03-03,0.00509923971732551
2015-03-04,-0.006675542331950002
2015-03-05,0.0012097051438886286
2015-03-06,-0.017049300161291137
2015-03-09,-0.015569482691709213
2015-03-10,0.002358518088547701
2015-03-11,-0.0034602339203980703
2015-03-12,0.0008333524068195874
2015-03-13,-0.019011945783020567
2015-03-16,0.006082901427743037
2015-03-17,-0.010826751143544255
2015-03-18,0.01904753926006597
2015-03-19,0.002789826746275592
2015-03-20,0.0023647514965350336
2015-03-23,0.0011101054695483725
2015-03-24,0.018575075642215166
2015-03-25,-0.011976036246683752
2015-03-26,-0.002066162926976145
2015-03-27,0.003174570579995928
2015-03-30,0.00701706457771567
2015-03-31,-0.0043720998377047016
2015-04-01,0.012213469759926987
2015-04-02,0.004473994557539829
2015-04-06,0.019165880326217577
2015-04-07,0.00953515178349984
2015-04-08,0.0031483638011198245
2015-04-09,0.0014384805981337845
2015-04-10,-0.010577192140219238
2015-04-13,-0.013593729598172177
2015-04-14,-0.010034787037154658
2015-04-15,-0.0244628090225657
2015-04-16,-0.011221885137496779
2015-04-17,-0.0016814171495569408
2015-04-20,0.011228059467516482
2015-04-21,0.005690517128414507
2015-04-22,0.001794081686270932
2015-04-23,0.04174129605009358
2015-04-24,-0.007405441149530456
2015-04-27,0.00039968939643775236
2015-04-28,-0.013583705284087144
2015-04-29,-0.0012150946130651263
2015-04-30,0.00027032374342783605
2015-05-01,0.0160811144875479
2015-05-04,-0.015693580220700998
2015-05-05,-0.005134455707877961
2015-05-06,-0.007605588378721273
2015-05-07,0.009579865414848676
2015-05-08,0.02697575797910101
