Date,AVY
2015-01-05,-0.012357488925691218
2015-01-06,0.009970456327164756
2015-01-07,0.009872477059603035
2015-01-08,0.02971073640280264
2015-01-09,-0.013030552927773553
2015-01-12,0.006978439289837324
2015-01-13,-0.000561665556205404
2015-01-14,0.003185691239923294
2015-01-15,-0.021296663859757148
2015-01-16,0.006299087416154814
2015-01-20,0.016691597505824163
2015-01-21,-0.009328404426730552
2015-01-22,0.01487769183837595
2015-01-23,-0.024308506853117584
2015-01-26,0.007607066646334593
2015-01-27,-0.011324892250397456
2015-01-28,-0.0091635675310211
2015-01-29,0.01657030414643157
2015-01-30,-0.009287375102615458
2015-02-02,-0.020470423778967795
2015-02-03,0.012304836924050155
2015-02-04,-0.00636732257413497
2015-02-05,0.01631073083079615
2015-02-06,0.0011463986769046919
2015-02-09,-0.008015424460166454
2015-02-10,0.025778885949055308
2015-02-11,-0.0024380381316129185
2015-02-12,0.00864851871106409
2015-02-13,0.0026095285913210198
2015-02-17,0.0037180596177313063
2015-02-18,0.001666873191314977
2015-02-19,-0.005177474598747622
2015-02-20,0.005204420352926231
2015-02-23,0.007581850912185439
2015-02-24,0.0027524868874524433
2015-02-25,-0.003843328945521418
2015-02-26,-0.0023884032831865687
2015-02-27,-0.013811877171251652
2015-03-02,0.013721291766366717
2015-03-03,-0.012423310587896252
2015-03-04,-0.0005632536245162578
2015-03-05,-0.004321144693923085
2015-03-06,-0.014150422471915225
2015-03-09,0.003061645237739441
2015-03-10,-0.014500691988475478
2015-03-11,0.000774235997848205
2015-03-12,0.012381583120114614
2015-03-13,-0.006114900942782553
2015-03-16,0.01307401163176869
2015-03-17,-0.008729900840469762
2015-03-18,0.011487488613669328
2015-03-19,0.0032176622110346997
2015-03-20,0.00924572591536732
2015-03-23,-0.0035523646329794767
2015-03-24,-0.006191227365285545
2015-03-25,-0.010572326341946825
2015-03-26,-0.004960438817323665
2015-03-27,0.004026695697649796
2015-03-30,0.02482807319088698
2015-03-31,-0.0139768894729283
2015-04-01,0.001322690785265923
2015-04-02,0.0003775741336384808
2015-04-06,0.007547501166800696
2015-04-07,-0.0016855897836761669
2015-04-08,0.0103173247009547
2015-04-09,-0.002599320406981631
2015-04-10,0.0059567628551042695
2015-04-13,-0.002035880244868893
2015-04-14,-0.015946437253767543
2015-04-15,-0.011116980511562624
2015-04-16,-0.011242923900232848
2015-04-17,-0.015802432088341423
2015-04-20,0.007049157512287074
2015-04-21,0.0013612021339430846
2015-04-22,0.00543669064026564
2015-04-23,-0.005214620641492473
2015-04-24,0.007766002532822336
2015-04-27,0.000962903042940555
2015-04-28,-0.0023095608700842707
2015-04-29,0.05343371538171282
2015-04-30,0.01794544305578616
2015-05-01,0.01025367815990852
2015-05-04,0.00854710260949898
2015-05-05,0.00406042080754343
2015-05-06,0.01494671071146736
2015-05-07,-0.0003466472902178275
2015-05-08,0.008665510295389423
2015-05-11,0.0018901229150498633
2015-05-12,-0.0008575331411128095
2015-05-13,0.026948273312286997
2015-05-14,0.011365267546258329
2015-05-15,0.0001654082932212031
2015-05-18,-0.005122083903465691
