Date,JBL
2015-01-05,-0.01618883708433494
2015-01-06,-0.011753776513362402
2015-01-07,0.01902967360025265
2015-01-08,0.026143522679859643
2015-01-09,-0.010464076036318604
2015-01-12,-0.012413559284202846
2015-01-13,-0.004655974764955828
2015-01-14,-0.011693113324699578
2015-01-15,-0.02413579400868937
2015-01-16,0.02182349386372473
2015-01-20,-0.02040836391848533
2015-01-21,-0.002422427129237348
2015-01-22,0.014084276589069633
2015-01-23,-0.004310230355650924
2015-01-26,0.005291412154425634
2015-01-27,-0.020574362059112228
2015-01-28,-0.007816776644554602
2015-01-29,0.0315117916281078
2015-01-30,-0.016229139877460663
2015-02-02,0.002911773733077938
2015-02-03,0.023705299917938794
2015-02-04,-0.008506686452740109
2015-02-05,0.012869556405644467
2015-02-06,-0.00047089296549718274
2015-02-09,0.002354490348747129
2015-02-10,0.012681768193970377
2015-02-11,0.009310786165118268
2015-02-12,0.014760774598093551
2015-02-13,0.012272438507035854
2015-02-17,-0.0017959682688869494
2015-02-18,0.0022490698039729917
2015-02-19,-0.0026931642640252162
2015-02-20,0.007650769003426872
2015-02-23,-0.003572872131271443
2015-02-24,0.012550265398688643
2015-02-25,-0.01682162744019733
2015-02-26,-0.004052103923244621
2015-02-27,-0.006781423613581805
2015-03-02,0.015020654075455386
2015-03-03,-0.013452530787913086
2015-03-04,0.004090591724319914
2015-03-05,-0.008601330380120897
2015-03-06,-0.007305912165699757
2015-03-09,0.0013803178413416273
2015-03-10,-0.022508177457213785
2015-03-11,0.009868147450468934
2015-03-12,0.009307133263453116
2015-03-13,0.0018438005031500282
2015-03-16,0.022549424905142335
2015-03-17,0.018902026828919283
2015-03-18,0.00044172336386005817
2015-03-19,0.030905142281745235
2015-03-20,0.012847775127552419
2015-03-23,-0.010570948829904725
2015-03-24,0.006837762939911007
2015-03-25,-0.03353126802379325
2015-03-26,0.004391647903479345
2015-03-27,0.0013116607727468033
2015-03-30,0.025764419177617626
2015-03-31,-0.004683132195111628
2015-04-01,-0.009837274175697353
