Date,JNJ
2015-01-05,-0.006983972061373467
2015-01-06,-0.0049139947509601045
2015-01-07,0.02207609471176708
2015-01-08,0.007862483425755906
2015-01-09,-0.013629044678466928
2015-01-12,-0.0034305248822878998
2015-01-13,0.0017211180767735534
2015-01-14,-0.0072543487990582856
2015-01-15,-0.01451957712301688
2015-01-16,0.015123461191962617
2015-01-20,-0.026431988568633824
2015-01-21,0.006022033088586287
2015-01-22,0.018253373072716128
2015-01-23,-0.015034894870109783
2015-01-26,0.0005870997482473328
2015-01-27,-0.0016626065268177115
2015-01-28,-0.005974745728126396
2015-01-29,0.008868774907797361
2015-01-30,-0.021879383337295333
2015-02-02,0.006890535667313236
2015-02-03,0.016165808823678463
2015-02-04,-0.010735912942674064
2015-02-05,0.010852423617852436
2015-02-06,-0.013273987553547917
2015-02-09,-0.013055920798205611
2015-02-10,0.0057127180480400774
2015-02-11,0.00029855404500489513
2015-02-12,-0.019326393862314495
2015-02-13,0.011986863762152966
2015-02-17,0.008231668338823273
2015-02-18,-0.004779301052917795
2015-02-19,0.00740308907890963
2015-02-20,0.0025999951073722993
2015-02-23,-0.000797900532449991
2015-02-24,0.005190342973000028
2015-02-25,0.005064757222785321
2015-02-26,0.01570993585243241
2015-02-27,-0.002821257183482473
2015-03-02,0.006926249263776052
2015-03-03,-0.008525412353012074
2015-03-04,-0.006741960638685596
2015-03-05,0.008558325059174088
2015-03-06,-0.023507662963660803
2015-03-09,0.005494307160840428
2015-03-10,-0.011225647720982779
2015-03-11,-0.012157457984018127
2015-03-12,0.015357860015176472
2015-03-13,-0.006210492996964745
2015-03-16,0.0186476439696297
2015-03-17,-0.011577558624284778
2015-03-18,0.01571734748243503
2015-03-19,0.0022667451962099516
2015-03-20,0.006981900462425417
2015-03-23,0.005664259613237244
2015-03-24,-0.009905046085156854
2015-03-25,-0.015888367970034567
2015-03-26,-0.0019931106071177096
2015-03-27,0.001997091030433884
2015-03-30,0.012059118359632137
2015-03-31,-0.009354818589208391
2015-04-01,-0.014413962812597547
2015-04-02,0.004942353541467215
2015-04-06,-0.004817293888443541
2015-04-07,0.009479358017689954
2015-04-08,0.0005994073665147592
2015-04-09,0.011681188343174886
2015-04-10,0.007204450152165087
2015-04-13,-0.014795366730853576
2015-04-14,-0.00029821096639026656
2015-04-15,0.0007960386901260108
2015-04-16,-0.0080518285952067
2015-04-17,-0.002104493509169969
2015-04-20,0.006326591357141309
2015-04-21,0.0008983772181505589
2015-04-22,0.0012959065141844306
2015-04-23,0.00029846615885986694
2015-04-24,0.0061716469607771
2015-04-27,-0.004946298194648868
2015-04-28,0.0015908247068205927
2015-04-29,-0.0034745467259679197
2015-04-30,-0.0118538192758183
2015-05-01,0.009375054680144546
2015-05-04,0.0021974049414037466
2015-05-05,-0.00847073332403403
2015-05-06,-0.003316569575478101
2015-05-07,0.004941151736470806
2015-05-08,0.018161630896365466
2015-05-11,-0.004336072693565951
2015-05-12,-0.0055431372241693255
2015-05-13,0.0007963339943182213
2015-05-14,0.012729994198312777
2015-05-15,0.0046156043772234145
2015-05-18,0.01094804974964636
2015-05-19,0.005221584617447261
2015-05-20,-0.0034628114650743225
2015-05-21,-0.0041808847218846035
2015-05-22,-0.010446948514602483
2015-05-26,-0.005229402058034238
2015-05-27,0.0030744334952228503
2015-05-28,0.0001977972461641997
2015-05-29,-0.009984942486755188
2015-06-01,-0.0009985619821902825
2015-06-02,-0.000599756209274771
2015-06-03,0.0011001457151313954
2015-06-04,-0.00859204408070291
2015-06-05,-0.006450093526051415
2015-06-08,-0.0063901630044539415
2015-06-09,0.0025522178526249384
2015-06-10,0.0068223465633849845
2015-06-11,0.0036402433854152427
2015-06-12,-0.008967935032328955
2015-06-15,-0.008743953041801977
2015-06-16,0.0089238304166257
2015-06-17,0.0037615311188707867
2015-06-18,0.016509842235179928
2015-06-19,-0.004981965777903441
2015-06-22,0.002303142286118165
2015-06-23,-0.003097159095027835
2015-06-24,-0.004510397648210374
2015-06-25,-0.0021136449916434596
2015-06-26,0.005245793239414986
2015-06-29,-0.019670660529730433
2015-06-30,-0.0022519973593786435
2015-07-01,0.010362985744277076
2015-07-02,-0.00030455705778231756
2015-07-06,-0.002438222417314617
2015-07-07,0.0073320325335406444
2015-07-08,-0.011625958375232504
2015-07-09,0.006444171880314542
2015-07-10,0.011484110700854533
2015-07-13,0.007434624309996307
2015-07-14,-0.004886740856204774
2015-07-15,0.0064138339329353755
2015-07-16,0.0068712993873703
2015-07-17,-0.010187026600565696
2015-07-20,0.002897697328475779
2015-07-21,-0.0002986914203374491
2015-07-22,-0.0015945346538869254
2015-07-23,0.00019957228761735557
2015-07-24,-0.010479075038287267
2015-07-27,-0.008774731051215512
2015-07-28,0.007529699684590385
2015-07-29,0.007170052801972915
2015-07-30,0.001102701715194776
2015-07-31,0.0037062775075282772
2015-08-03,-0.0018957717712825284
2015-08-04,-0.0021998143547710125
2015-08-05,0.0072142824759082735
2015-08-06,-0.014424867939796693
2015-08-07,-0.002220807664812585
2015-08-10,0.009509469354259004
2015-08-11,-0.007816264810822537
2015-08-12,-0.003029977644118609
2015-08-13,-0.002330281045614835
2015-08-14,0.003350811184665181
2015-08-17,0.01072796817641053
2015-08-18,-0.005006409366392961
2015-08-19,-0.0006045099423175326
2015-08-20,-0.005235760943342105
2015-08-21,-0.02529550955232418
2015-08-24,-0.028673388003630618
2015-08-25,-0.022516427285363516
2015-08-26,0.04827468532492163
2015-08-27,0.011670876120096763
2015-08-28,-0.010912416095314903
2015-08-31,-0.01250385915092167
