Date,WAT
2015-01-05,-0.007551814463410911
2015-01-06,-0.004335497065329208
2015-01-07,0.030214178999035335
2015-01-08,0.018631898792623502
2015-01-09,-0.013294942361857465
2015-01-12,-0.0005149121208571916
2015-01-13,-0.003778142236521065
2015-01-14,-0.013963068126707445
2015-01-15,-0.014073431720954654
2015-01-16,0.005940226646926838
2015-01-20,0.004406839450331157
2015-01-21,0.0027202313187451033
2015-01-22,0.014352035243036632
2015-01-23,-0.012596037164516627
2015-01-26,0.014504182668174881
2015-01-27,0.027904554704486717
2015-01-28,-0.0033515000502127856
2015-01-29,0.014039561506390852
2015-01-30,-0.013016080741788172
2015-02-02,8.395217622636508e-05
2015-02-03,0.003527681899482271
2015-02-04,-0.002929411564126072
2015-02-05,0.008142375917626454
2015-02-06,-0.00865945819101277
2015-02-09,-0.011086844632048676
2015-02-10,0.007983713763048295
2015-02-11,0.0005898187954518352
2015-02-12,0.003368433902138257
2015-02-13,0.005958867607051221
2015-02-17,0.001084575778041108
2015-02-18,0.00016671616648955556
2015-02-19,-0.004333007776057274
2015-02-20,0.012971822574848302
2015-02-23,0.004791819453632273
2015-02-24,-0.008715714225044024
2015-02-25,0.001410134387711981
2015-02-26,0.0016565637594732063
2015-02-27,-0.004548110893656143
2015-03-02,0.008140915262446313
2015-03-03,-0.015079118505694877
2015-03-04,0.005939923799243241
2015-03-05,0.013722567824296927
2015-03-06,-0.024202124563245442
2015-03-09,0.0019337121474531926
2015-03-10,-0.01930012131998704
2015-03-11,0.024728324820142644
2015-03-12,0.01853708401055143
2015-03-13,-0.008444059520784197
2015-03-16,0.03017777278192768
2015-03-17,-0.009149272902159833
2015-03-18,0.004940876517698589
2015-03-19,-0.003707577058145506
2015-03-20,0.00978884457971052
2015-03-23,-0.007851332793860188
2015-03-24,-0.0056524303047642555
2015-03-25,-0.01299332858576896
2015-03-26,0.00255058051883017
2015-03-27,0.01854741210120281
2015-03-30,0.006687630545265444
2015-03-31,-0.00496240382957247
2015-04-01,-0.006837182080177251
2015-04-02,0.005912332715006574
2015-04-06,0.011513690340682503
2015-04-07,-0.005492277537982204
2015-04-08,-0.0001601110298546926
2015-04-09,0.004082630032868906
2015-04-10,0.0027106460740125016
2015-04-13,-0.00811001566582803
2015-04-14,-0.001523065662575096
2015-04-15,0.0001605994930398147
2015-04-16,0.002889714280465139
2015-04-17,-0.004242026324158488
2015-04-20,-0.0031348525646073266
2015-04-21,0.001128906812067676
2015-04-22,-0.0006443446254431606
2015-04-23,0.002175988387186134
2015-04-24,-0.006513852581689572
2015-04-27,-0.012465605505218913
2015-04-28,0.029426199490906857
2015-04-29,-0.0011147336072195868
