Date,CSGP
2015-01-05,-0.019874523506988595
2015-01-06,-0.004078193188318702
2015-01-07,0.005346065045328086
2015-01-08,0.018498594979908578
2015-01-09,-0.01577429467350322
2015-01-12,-0.001467216152444939
2015-01-13,-0.009664266113829534
2015-01-14,-0.004565423753461251
2015-01-15,-0.02568365154186547
2015-01-16,0.02906734079475659
2015-01-20,0.005546350294074465
2015-01-21,0.007221590934356703
2015-01-22,0.028792426340729982
2015-01-23,0.0319377021383489
2015-01-26,-0.004094637758950137
2015-01-27,-0.006781332997109812
2015-01-28,-0.00854794893625399
2015-01-29,0.007374454165972377
2015-01-30,-0.006835983820491998
2015-02-02,0.011923435629904722
2015-02-03,0.024637191552419946
2015-02-04,-0.003031758036815768
2015-02-05,0.02270227890811216
2015-02-06,-0.015584991613181165
2015-02-09,-0.00593689836618827
2015-02-10,0.01131608958743291
2015-02-11,0.014090310147679252
2015-02-12,0.021505901225142177
2015-02-13,0.0028504833040463584
2015-02-17,-0.06302981375817096
2015-02-18,-0.014209695867743122
2015-02-19,0.016249996009838785
2015-02-20,0.015937162871508148
2015-02-23,-0.010405841170244678
2015-02-24,-0.012681626462006768
2015-02-25,0.026277824093351
2015-02-26,0.021328664825164267
2015-02-27,0.016900755537982315
2015-03-02,-0.001456177717847229
2015-03-03,-0.0036707375379021467
2015-03-04,-0.01781562270112691
2015-03-05,-0.004727452813924726
2015-03-06,-0.008002415377588834
2015-03-09,0.0017174475637975473
2015-03-10,-0.008053238880579516
2015-03-11,0.0005762407007758874
2015-03-12,0.00853269650542754
2015-03-13,-0.0038929077145646307
2015-03-16,0.018758825003272417
2015-03-17,-0.002915508779939846
2015-03-18,0.004719450279683901
2015-03-19,0.00919025329873624
2015-03-20,-0.004452152579779156
2015-03-23,0.019514218316111
2015-03-24,-0.02621877028019637
2015-03-25,-0.03736689027765705
2015-03-26,0.005742837553855296
2015-03-27,0.015438290352439932
2015-03-30,0.02910548961092818
2015-03-31,0.0009107795068241664
2015-04-01,-0.0008593336476413471
2015-04-02,0.0031872772922558745
2015-04-06,0.008926322131928899
2015-04-07,-0.014895547733958181
2015-04-08,-0.0015222593041797072
2015-04-09,0.01798963820567323
2015-04-10,0.035143794304176135
2015-04-13,-0.037471085308595664
2015-04-14,-0.00977001344767292
2015-04-15,-0.011080745969804351
2015-04-16,0.0038373375618667716
2015-04-17,-0.014475045085656224
2015-04-20,0.018773218560979688
2015-04-21,0.01238648641661566
2015-04-22,-0.0028582014553347745
2015-04-23,0.009353355474793767
2015-04-24,-0.006127993998959802
2015-04-27,0.003107939070014387
2015-04-28,0.00039975115157209196
2015-04-29,-0.0009490534285353514
2015-04-30,0.022150039672851562
2015-05-01,0.00019565180882286093
2015-05-04,-0.00992815656769419
2015-05-05,-0.015658933192483793
2015-05-06,-0.007979143692641077
2015-05-07,0.00429992884107433
2015-05-08,0.01979547858568176
2015-05-11,0.004346505117650112
2015-05-12,0.012934026409847199
2015-05-13,-0.003835532968600064
2015-05-14,0.021785774012369696
2015-05-15,0.009587417703798007
2015-05-18,0.006945070234692263
2015-05-19,0.005020426609630313
2015-05-20,-0.018254003094677618
2015-05-21,0.01036665647188828
2015-05-22,-0.013366611766169711
2015-05-26,-0.005962887178000087
2015-05-27,0.009933810295600587
2015-05-28,0.007270129597292563
2015-05-29,-0.014482460949425513
2015-06-01,-0.011105277040301953
2015-06-02,-0.0030495050163110715
2015-06-03,0.00839961267747813
2015-06-04,-0.008955603287997715
2015-06-05,0.020988155404942033
2015-06-08,-0.020461590181515388
2015-06-09,-0.022054825643217146
2015-06-10,0.022055547796842268
2015-06-11,-0.007630692079687584
2015-06-12,0.010578975333940255
2015-06-15,-0.00702725851967978
2015-06-16,0.011615938243945356
2015-06-17,-0.004679892190213697
2015-06-18,0.010179398951244867
2015-06-19,-0.006765870760473858
2015-06-22,0.0064254954992228885
2015-06-23,-0.012096812589086459
2015-06-24,-0.011127312555961222
2015-06-25,0.01390599716864016
2015-06-26,-0.001356977652112512
2015-06-29,-0.022032439735385267
2015-06-30,-0.001290242954111176
2015-07-01,0.00024848793857357165
2015-07-02,0.005712571067234107
2015-07-06,0.0016793636393184208
2015-07-07,0.008185328069126419
2015-07-08,-0.02005281544297577
2015-07-09,0.017019441134265234
2015-07-10,0.021347570725733123
2015-07-13,-0.0011051660993437462
2015-07-14,-0.008562196365807573
2015-07-15,0.020862660904489072
2015-07-16,0.022907672760948072
2015-07-17,0.005668342542185512
2015-07-20,0.0027719780398924865
2015-07-21,0.006358004550395258
2015-07-22,-0.02137989069704105
2015-07-23,0.001122762371979391
2015-07-24,0.0038785132983647497
2015-07-27,-0.02471722488628758
2015-07-28,0.008781978723121364
2015-07-29,0.007049591696896895
2015-07-30,-0.025182020293078478
2015-07-31,-0.029880997774315632
2015-08-03,-0.019971207364304577
2015-08-04,-0.0070968416250839494
2015-08-05,0.010619297709691722
2015-08-06,-0.017176062201437747
2015-08-07,0.012130560882068542
2015-08-10,0.017114412343183227
2015-08-11,-0.008587925839298127
2015-08-12,-0.010324426962123767
2015-08-13,-0.005343216488205127
2015-08-14,0.0006139894550336589
2015-08-17,0.0029654696570371453
2015-08-18,-0.01264269989410205
2015-08-19,-0.007951225132725614
2015-08-20,-0.021026398522087764
2015-08-21,-0.03450293387949144
2015-08-24,-0.06392816160823489
2015-08-25,0.004352906171013249
2015-08-26,0.026355908318124843
2015-08-27,0.023795926323925132
2015-08-28,0.010980463948920827
2015-08-31,-0.023927665871394832
2015-09-01,-0.03197017451528472
2015-09-02,0.018671938715548064
