Date,MRNA
2018-12-10,0.010752626424140876
2018-12-11,-0.042021225544593754
2018-12-12,0.03720155845525741
2018-12-13,0.004282651092028633
2018-12-14,-0.02345418596425264
2018-12-17,-0.07205238628891164
2018-12-18,0.0
2018-12-19,-0.04823527616613055
2018-12-20,-0.042027212135358094
2018-12-21,-0.06645159567556069
2018-12-24,-0.030407776498815764
2018-12-26,-0.036350626152115706
2018-12-27,0.08357981675346138
2018-12-28,-0.034129693721463794
2018-12-31,0.07915200490653662
2019-01-02,0.003929237992385204
2019-01-03,0.01108937228571416
2019-01-04,0.0941934893208165
2019-01-07,-0.04068388348798302
2019-01-08,0.04179473177895954
2019-01-09,-0.036578218957311615
2019-01-10,0.009185524753893004
2019-01-11,0.031553426711631305
2019-01-14,-0.015294131110696219
2019-01-15,-0.008960550811301093
2019-01-16,-0.019891496122414254
2019-01-17,0.0030749837857773077
2019-01-18,0.023298656073455604
2019-01-22,-0.06770521739259627
2019-01-23,-0.04948588926726005
2019-01-24,-0.010141962063364374
2019-01-25,0.01844258864464443
2019-01-28,-0.030851780204867896
2019-01-29,0.012456768688700492
2019-01-30,0.034176349698484376
2019-01-31,0.09715798122339447
2019-02-01,-0.02289163008329942
2019-02-04,0.003082684742656605
2019-02-05,0.05593115069507437
2019-02-06,0.05587887470429442
2019-02-07,-0.060088213300045545
2019-02-08,0.0551319985994132
2019-02-11,0.010005575734623351
2019-02-12,0.02861862716457031
2019-02-13,-0.008560719253086768
2019-02-14,0.060982143491283614
2019-02-15,0.09053920144764471
2019-02-19,-0.028451520296493116
2019-02-20,-0.0436869827530082
2019-02-21,-0.029116461921919967
2019-02-22,0.027921354907872287
2019-02-25,0.08903423201630645
2019-02-26,0.09468827623694653
2019-02-27,-0.06751056244570697
2019-02-28,0.022624433998618354
2019-03-01,-0.01460176628920018
2019-03-04,-0.051638958010410185
2019-03-05,0.011837120741756246
2019-03-06,-0.033692147516497406
2019-03-07,-0.0029055431985840485
2019-03-08,0.016512877613804156
2019-03-11,-0.02388915397561442
2019-03-12,-0.05726872534590888
2019-03-13,0.036863918797257256
2019-03-14,0.0425638663343022
2019-03-15,0.04803074037741695
2019-03-18,0.016498653317440493
2019-03-19,-0.08250675827443599
2019-03-20,-0.017199035622054826
2019-03-21,-0.03299999237060547
2019-03-22,-0.017580152528716253
2019-03-25,0.021052611501593432
2019-03-26,0.025773196383076957
2019-03-27,-0.03165824989162136
2019-03-28,0.020238680870986236
2019-03-29,0.03509667036688424
2019-04-01,0.011793600325270992
2019-04-02,-0.04322483647658337
2019-04-03,0.08274107094620176
2019-04-04,0.08204406967929989
2019-04-05,0.12478332626892619
2019-04-08,0.04892143692421369
2019-04-09,-0.015056917161388905
2019-04-10,-0.0007457292315902198
2019-04-11,-0.03992536288376314
2019-04-12,-0.04352891378976764
2019-04-15,0.04997966321540681
2019-04-16,-0.0797213410904749
2019-04-17,-0.01177462903955051
2019-04-18,-0.04212764983481554
2019-04-22,0.04975561619265245
2019-04-23,0.0452814913319759
2019-04-24,0.04291495680975177
2019-04-25,-0.0007764152789582202
2019-04-26,0.020202038165794578
2019-04-29,-0.04265045047492322
2019-04-30,0.035401802649348335
2019-05-01,0.014214326627912444
2019-05-02,0.07348486977613145
2019-05-03,-0.04022580746331916
2019-05-06,-0.003676484509735012
2019-05-07,-0.09409598186400037
2019-05-08,-0.0411404624407693
2019-05-09,-0.011894676115361325
2019-05-10,0.07136714664993393
2019-05-13,-0.01966291210345117
2019-05-14,-0.034383959971131306
2019-05-15,-0.01992366724520478
2019-05-16,0.014705805921178872
2019-05-17,-0.01619774832037868
2019-05-20,-0.020797207271361695
2019-05-21,0.004424795565566519
2019-05-22,-0.03083703697853135
2019-05-23,-0.02818185632879089
2019-05-24,0.021047744649365097
2019-05-28,-0.013284425524151766
2019-05-29,0.007428033454574878
2019-05-30,-0.009677464720643791
2019-05-31,-0.03303858036456897
2019-06-03,-0.044754584910743356
2019-06-04,-0.019143630267633216
2019-06-05,-0.09090901966293319
2019-06-06,0.013559308518261703
2019-06-07,-0.02341137479325095
2019-06-10,-0.10559362632036529
2019-06-11,0.021059344103341093
2019-06-12,0.01874995231628418
2019-06-13,-0.008588920012347456
2019-06-14,-0.047029717577846575
2019-06-17,0.02402602911679219
2019-06-18,-0.0019023897130413525
2019-06-19,-0.015247762046257884
2019-06-20,-0.0206451416015625
2019-06-21,-0.031620585392675093
2019-06-24,-0.04489794938610292
2019-06-25,-0.01923073396174857
2019-06-26,-0.0050835618134688065
2019-06-27,0.04671535417759132
2019-06-28,0.020920515170337994
2019-07-01,0.006147486120423595
2019-07-02,-0.022403254172535636
2019-07-03,0.06319450174952879
2019-07-05,-0.022860899534742796
2019-07-08,-0.04478610124234561
2019-07-09,0.0391882729959141
2019-07-10,-0.024915880789814437
2019-07-11,-0.0027624283920971715
2019-07-12,-0.016620483247395845
2019-07-15,0.008450696279642456
2019-07-16,-0.012569787383900799
2019-07-17,-0.0077793923395134135
2019-07-18,0.016393478281409468
2019-07-19,-0.010518974039059437
2019-07-22,-0.004252265584853476
2019-07-23,-0.03202845574065438
2019-07-24,0.06397057802619432
2019-07-25,-0.06634416174368829
2019-07-26,0.04515171327482159
2019-07-29,-0.030453279650204168
2019-07-30,-0.021183343370483
2019-07-31,-0.022388003403051693
2019-08-01,-0.006870240455503995
2019-08-02,-0.021521958625635884
2019-08-05,-0.03692060724708601
2019-08-06,0.002446960229292472
2019-08-07,0.04556553469120317
2019-08-08,0.026459080842041738
2019-08-09,0.010614127958803676
