Date,MCO
2015-01-05,-0.019605765812409803
2015-01-06,-0.010530775348613686
2015-01-07,0.015265777498811639
2015-01-08,0.009741625483199234
2015-01-09,-0.01614950332296272
2015-01-12,-0.008633487784086014
2015-01-13,0.01591270705950998
2015-01-14,-0.00793780320747417
2015-01-15,-0.011414399575720213
2015-01-16,0.015754498536486583
2015-01-20,0.0005311328184267605
2015-01-21,-0.015502090953050218
2015-01-22,0.01768747326185305
2015-01-23,-0.006146610143379805
2015-01-26,0.004798761062636769
2015-01-27,-0.007110220323725547
2015-01-28,-0.031423793563844504
2015-01-29,0.019090724964607286
2015-01-30,-0.0110451083384423
2015-02-02,-0.022008257320098923
2015-02-03,0.03772991397154368
2015-02-04,-0.005070816528213062
2015-02-05,0.01138590400139683
2015-02-06,0.05114187797364056
2015-02-09,-0.0015300241109948987
2015-02-10,0.009806725279080775
2015-02-11,-0.01568004061997752
2015-02-12,0.009352710578839574
2015-02-13,0.00010162304291250202
2015-02-17,-0.0014255208214323245
2015-02-18,0.005013433933114708
2015-02-19,-0.011503536468126963
2015-02-20,0.0004118949970506325
2015-02-23,-0.003809223137555162
2015-02-24,0.004237351197641237
2015-02-25,0.003909911373831232
2015-02-26,-0.007072622287947472
2015-02-27,0.0007228120985014463
2015-03-02,-0.0017539456348514282
2015-03-03,-0.006510105927651777
2015-03-04,-0.011129470136554742
2015-03-05,0.011044161497225424
2015-03-06,-0.01622936625284599
2015-03-09,0.01977577528002117
2015-03-10,-0.01254804274464505
2015-03-11,0.008191735344838413
2015-03-12,0.02395820758120326
2015-03-13,-0.0120042512022005
2015-03-16,0.00628086996032895
2015-03-17,0.0302876529090923
2015-03-18,0.021650728371399586
2015-03-19,-0.0038883290668636494
2015-03-20,0.017468349679174988
2015-03-23,-0.007097689395361373
2015-03-24,-0.0022216999228772405
2015-03-25,-0.015393619788975466
2015-03-26,0.0038349338255874166
2015-03-27,0.003917954153115133
2015-03-30,0.01590401169922928
2015-03-31,-0.0030731562527054335
2015-04-01,0.006069115870474429
2015-04-02,0.002585648543249608
2015-04-06,0.0020058645037313028
2015-04-07,-0.0031458666419672543
2015-04-08,0.007076295907342045
2015-04-09,0.005031954766863578
2015-04-10,-0.00113385844417202
