Date,EL
2015-01-05,-0.012038228478621904
2015-01-06,-0.009239971254977775
2015-01-07,0.00459562458683882
2015-01-08,0.014395195789707493
2015-01-09,-0.006631344161102004
2015-01-12,-0.00854469090553911
2015-01-13,0.003501329271319076
2015-01-14,-0.005367605036271428
2015-01-15,-0.00553217045068255
2015-01-16,0.006919623287404253
2015-01-20,0.004176892788391395
2015-01-21,-0.007379742634513908
2015-01-22,0.01527419237872607
2015-01-23,-0.018772570544401734
2015-01-26,-0.011398013938731633
2015-01-27,-0.015234007241931469
2015-01-28,-0.018815576867041606
2015-01-29,0.022301363711293876
2015-01-30,-0.01917489240840531
2015-02-02,0.01756637312266074
2015-02-03,0.01406092659987035
2015-02-04,-0.003981260324708802
2015-02-05,0.08063398732433513
2015-02-06,0.014668800011375493
2015-02-09,-0.0011319404156374668
2015-02-10,0.006921879175328272
2015-02-11,0.004374591664502381
2015-02-12,0.0068439213540794075
2015-02-13,0.019528048480401905
2015-02-17,-0.008607246333661278
2015-02-18,-0.003423673164240526
2015-02-19,-0.005153259319237158
2015-02-20,0.008880349026762158
2015-02-23,0.004156314122247595
2015-02-24,-0.004504703669809262
2015-02-25,0.0042928955108914035
2015-02-26,0.004884997708682448
2015-02-27,0.004740196814103204
2015-03-02,0.008830417661759737
2015-03-03,-0.00587539881346677
2015-03-04,-0.008201777896759466
2015-03-05,0.012039544730393148
2015-03-06,-0.011896318472022105
2015-03-09,0.0079043206428131
2015-03-10,-0.019425460018920315
2015-03-11,-0.009474585808091796
2015-03-12,0.008944510636553549
2015-03-13,-0.008495176771867063
2015-03-16,0.00769850724895238
2015-03-17,-0.004066983777115674
2015-03-18,0.011383900918480405
2015-03-19,-0.0008566918373011934
2015-03-20,0.022774856779277153
2015-03-23,-0.007782133932919155
2015-03-24,0.005792087719623584
2015-03-25,0.004318763003270609
2015-03-26,-0.01624474145018251
2015-03-27,0.0064348103523372835
2015-03-30,0.014235890636528747
2015-03-31,-0.010823788784692256
2015-04-01,0.0
2015-04-02,0.011303109284413582
2015-04-06,0.010344641726496295
2015-04-07,-0.011651206975966777
2015-04-08,0.002262353370724446
2015-04-09,0.0038020044193709523
2015-04-10,-0.012427600051553855
2015-04-13,-0.0028761381070815384
2015-04-14,0.017307439806902858
2015-04-15,-0.003898980866338553
2015-04-16,-0.004625548324048601
2015-04-17,-0.013107830985822244
2015-04-20,-0.0033807191118678803
2015-04-21,0.002302032903047424
2015-04-22,-0.0037472611929222355
2015-04-23,0.00036380846458916594
2015-04-24,-0.0023039142528930023
2015-04-27,0.011062262663472655
2015-04-28,-0.002644914027242873
2015-04-29,-0.0061484700797033165
2015-04-30,-0.01394955718943458
2015-05-01,0.018206024655992525
2015-05-04,0.009302988251347344
