Date,OKE
2015-01-05,-0.05729154823495819
2015-01-06,-0.041648826507158176
2015-01-07,-0.007317112506713741
2015-01-08,0.01094481380458201
2015-01-09,-0.03402581447808084
2015-01-12,-0.05992692234267949
2015-01-13,-0.02116766354403421
2015-01-14,0.051950927731989616
2015-01-15,-0.0004721269741183587
2015-01-16,0.013947828905265691
2015-01-20,0.01865216640187861
2015-01-21,0.03845291034902121
2015-01-22,-0.019175869420354097
2015-01-23,-0.009887862763617083
2015-01-26,0.022015846273355955
2015-01-27,-0.007550386215731897
2015-01-28,-0.04343897971322519
2015-01-29,0.020393209092480102
2015-01-30,0.023239912796007678
2015-02-02,0.02634577602658328
2015-02-03,0.03518499050022017
2015-02-04,-0.02800359685479714
2015-02-05,0.038486937217096395
2015-02-06,-0.007200352588889181
2015-02-09,-0.014505301952615346
2015-02-10,-0.0015152562173704753
2015-02-11,-0.009971891675840117
2015-02-12,0.035253201247791965
2015-02-13,0.0008462462986784658
2015-02-17,0.025147514142595417
2015-02-18,-0.0059778366897627055
2015-02-19,-0.014931507528768484
2015-02-20,0.003578572387110901
2015-02-23,-0.00524445808052032
2015-02-24,-0.04892416958137147
2015-02-25,0.006429737316131723
2015-02-26,-0.03128408303876695
2015-02-27,0.006595224989197401
2015-03-02,-0.004292819567220274
2015-03-03,0.026321865733865524
2015-03-04,-0.004421805824156855
2015-03-05,0.021319419005232154
2015-03-06,0.024787933295374875
2015-03-09,-0.0029704807276289547
2015-03-10,-0.013194410490748543
2015-03-11,-0.005607024242269887
2015-03-12,0.004988145785889131
2015-03-13,-0.03172227988642473
2015-03-16,0.005794547949666162
2015-03-17,0.014402831215574619
2015-03-18,0.036041902934204284
2015-03-19,-0.021294392861110345
2015-03-20,0.020465253239104753
2015-03-23,0.026388045899491397
2015-03-24,-0.0343481873146122
2015-03-25,0.002343245164929453
2015-03-26,0.0021250048993852744
2015-03-27,-0.0023326562890086944
2015-03-30,0.021041375240477223
2015-03-31,0.0041631609065084785
2015-04-01,0.002073100668091854
2015-04-02,-0.005585499531055804
2015-04-06,0.016642325729608
2015-04-07,-0.00859437716459266
2015-04-08,-0.01609915771944903
2015-04-09,0.008601066330319096
2015-04-10,0.0035357051120488148
2015-04-13,-0.01243550081440048
2015-04-14,0.03252915326400352
2015-04-15,0.038007983879628116
2015-04-16,-0.014293877471663552
2015-04-17,-0.015891867260749315
2015-04-20,-0.008276250113015582
2015-04-21,-0.02177887407614154
2015-04-22,0.018310208339836764
2015-04-23,0.006538488508311957
2015-04-24,-0.0006088243334344545
2015-04-27,-0.013406564350920025
2015-04-28,0.005733564545147507
2015-04-29,0.007255568736543427
2015-04-30,-0.010084803291171673
2015-05-01,0.01164237445751648
2015-05-04,-0.011097055124025035
2015-05-05,-0.0035330107370624697
2015-05-06,-0.0648591636753576
2015-05-07,-0.020517519062585254
2015-05-08,0.018898286440636625
2015-05-11,-0.03061473295537742
2015-05-12,-0.0004610698718433559
2015-05-13,0.026521889916473862
2015-05-14,0.002920990229356102
2015-05-15,0.023521686453459312
2015-05-18,0.0035014450980237477
2015-05-19,-0.016139317471333903
2015-05-20,0.0008869336506196479
2015-05-21,-0.001329380068350705
2015-05-22,-0.02084703247355979
2015-05-26,-0.01132522815569792
2015-05-27,-0.012600216229050276
2015-05-28,-0.02064912185870582
2015-05-29,-0.006870696541565469
2015-06-01,-0.014551596466912842
2015-06-02,0.006293910449105988
2015-06-03,-0.02116901699573337
2015-06-04,-0.023101840585330047
2015-06-05,0.0035221367401481185
2015-06-08,-0.010779356258383777
2015-06-09,-0.0005069636766420471
2015-06-10,-0.0030426897548018195
2015-06-11,0.0015263065347763671
2015-06-12,-0.013966822118127498
2015-06-15,0.00489328213761242
2015-06-16,-0.001794106101905113
2015-06-17,0.0066752616107546014
2015-06-18,0.0015303145482286062
2015-06-19,-0.005856923390129776
2015-06-22,0.04482610246814844
2015-06-23,-0.003677724992079856
2015-06-24,-0.006889740898331831
2015-06-25,-0.02601588112133102
2015-06-26,0.015517391119898472
2015-06-29,-0.020290337083083587
2015-06-30,0.009460749278020097
2015-07-01,-0.01722431612705566
2015-07-02,0.010824846815638445
2015-07-06,-0.03289123346938749
2015-07-07,0.03137335894480331
2015-07-08,-0.015592850700091976
2015-07-09,0.016359216011050393
2015-07-10,0.010220161654799664
2015-07-13,0.04198216510101971
2015-07-14,0.0048547513736858505
2015-07-15,-0.018599078707493555
2015-07-16,0.008614273511485582
2015-07-17,-0.014397135243945036
2015-07-20,-0.032186093178607766
2015-07-21,0.009976983515854299
2015-07-22,-0.029888814559799526
2015-07-23,0.009660459456979575
2015-07-24,-0.025601269703188323
2015-07-27,0.005042531908904024
2015-07-28,0.023501792503191066
2015-07-29,0.031991829248881
2015-07-30,-0.03769542017473593
2015-07-31,-0.0031652124694774297
2015-08-03,-0.032284061840633926
2015-08-04,-0.024063207084100258
2015-08-05,-0.02437655316091325
2015-08-06,0.014072578539092495
2015-08-07,-0.028037460605884523
2015-08-10,0.040209611927098265
2015-08-11,0.009523879102703692
2015-08-12,0.047724946085386355
2015-08-13,-0.037606235758537276
2015-08-14,-0.0016511252946498356
2015-08-17,0.008544793229138259
2015-08-18,-0.02650981421138965
2015-08-19,-0.017686949629759363
2015-08-20,-0.0031436866986666034
2015-08-21,-0.02150236446787679
2015-08-24,-0.05742719610124958
2015-08-25,-0.016786021366835935
2015-08-26,0.02940261101737951
2015-08-27,0.05896784912169939
2015-08-28,0.03335256092391381
2015-08-31,0.010665638945666744
2015-09-01,-0.02971433951859659
