Date,HPQ
2015-01-05,-0.016650091494367136
2015-01-06,-0.007581483071440798
2015-01-07,0.01171375826727239
2015-01-08,0.023911135499465885
2015-01-09,-0.000245505214711228
2015-01-12,-0.018441391423249298
2015-01-13,-0.0027552083068898003
2015-01-14,-0.00879189913063827
2015-01-15,-0.0321842249715677
2015-01-16,0.003927219641713053
2015-01-20,0.007303425148339038
2015-01-21,-0.0012947515671186682
2015-01-22,0.03863115013221341
2015-01-23,0.0004995627634289956
2015-01-26,-0.030938810921923854
2015-01-27,-0.03810487312354227
2015-01-28,-0.00535312376019581
2015-01-29,0.01560820121832407
2015-01-30,-0.04266051250646885
2015-02-02,0.009410484744557746
2015-02-03,0.03564584443649932
2015-02-04,0.0034418951833765643
2015-02-05,0.0013191160217569387
2015-02-06,0.0
2015-02-09,-0.008168596550976792
2015-02-10,0.006641842381789109
2015-02-11,0.007653823415359806
2015-02-12,0.00497634156650828
2015-02-13,0.0049513939967773535
2015-02-17,-0.0007773898319390904
2015-02-18,-0.00986242569503204
2015-02-19,0.006028631263247597
2015-02-20,0.0002602941116818247
2015-02-23,-0.0052091184056791695
2015-02-24,0.007855131521361969
2015-02-25,-0.09924678540447063
2015-02-26,-0.01903632164228597
2015-02-27,0.02440466535697272
2015-03-02,0.002296127037186846
2015-03-03,-0.010023152611070119
2015-03-04,-0.010992002664645506
2015-03-05,-0.0055572566513705235
2015-03-06,-0.02411732933202204
2015-03-09,-0.0021200070787892322
2015-03-10,-0.00849768936023354
2015-03-11,-0.0018367059514927675
2015-03-12,0.0033730570835319718
2015-03-13,-0.008863149191996822
2015-03-16,-0.0015416606686153855
2015-03-17,0.0015440410559821593
2015-03-18,0.01850155053943703
2015-03-19,-0.005752387240262169
2015-03-20,0.013398357755619594
2015-03-23,0.005108190786951239
2015-03-24,-0.004185334863493373
2015-03-25,-0.03332327036960325
2015-03-26,-0.005900843960765512
2015-03-27,-0.01624462738368826
2015-03-30,0.0025402134711334234
2015-03-31,-0.012986672669309751
2015-04-01,0.004171609470858373
2015-04-02,0.003515633831475684
2015-04-06,0.01369441400962046
2015-04-07,-0.012881048785559068
2015-04-08,0.0031825275913801576
2015-04-09,0.0009519983247054942
2015-04-10,0.01774981151868449
2015-04-13,0.018374027645342794
2015-04-14,-0.005504617009137847
2015-04-15,0.015990137235531554
2015-04-16,-0.0069611693993083534
2015-04-17,-0.008534039399579973
2015-04-20,0.027052079282960495
2015-04-21,-0.005986282944220878
2015-04-22,0.009033325467041609
2015-04-23,-0.003879150013573751
2015-04-24,-0.0035949272730011472
2015-04-27,-0.005712958319424644
2015-04-28,0.0051409830106861065
2015-04-29,0.0024062138553453405
2015-04-30,-0.010504163896891239
2015-05-01,0.02517456278066965
