Date,ROK
2015-01-05,-0.03359171637792857
2015-01-06,-0.011462151105892548
2015-01-07,0.0016967919448014346
2015-01-08,0.029455981558955013
2015-01-09,-0.017186091458637476
2015-01-12,-0.01404514564232573
2015-01-13,-0.014339840288350114
2015-01-14,0.0037327279946135494
2015-01-15,-0.0006673127464629225
2015-01-16,-0.0010494884529337334
2015-01-20,0.007259503175588877
2015-01-21,0.00891411169335199
2015-01-22,0.020020773354215704
2015-01-23,-0.01529701594699906
2015-01-26,0.0036500325285728774
2015-01-27,-9.334018646811604e-05
2015-01-28,0.01230880693350711
2015-01-29,0.013448663055072752
2015-01-30,-0.009997971535130601
2015-02-02,0.02726745019720722
2015-02-03,0.02180708803307274
2015-02-04,-0.01950473774659489
2015-02-05,0.008385308571432493
2015-02-06,-0.003450231535813697
2015-02-09,0.021127689288232165
2015-02-10,-0.0002608361298854778
2015-02-11,0.0028692915040140488
2015-02-12,0.01918404131066298
2015-02-13,0.008726572879474537
2015-02-17,-0.0006783774930709807
2015-02-18,0.0053471693789350905
2015-02-19,-0.005234375166605187
2015-02-20,0.0031403023840208544
2015-02-23,-0.004145890384177897
2015-02-24,0.006032117139192383
2015-02-25,-0.007093382509146817
2015-02-26,-0.0014457435979696731
2015-02-27,-0.003151375759705921
2015-03-02,0.005895105820782565
2015-03-03,-0.005096091793702073
2015-03-04,-0.01946568275538607
2015-03-05,-0.0056596053427625526
2015-03-06,-0.016112046530729174
2015-03-09,-0.0002670281663508245
2015-03-10,-0.01451073986475293
2015-03-11,-0.006504016256871359
2015-03-12,0.029641593061879634
2015-03-13,-0.01518890815703533
2015-03-16,0.027618367939485466
2015-03-17,-0.0137872886661623
2015-03-18,0.023624410652097305
2015-03-19,-0.010286183594443665
2015-03-20,0.014410505682380004
2015-03-23,-0.007748643665169697
2015-03-24,0.0076355180456397775
2015-03-25,-0.02083858155406737
2015-03-26,-0.0027262848962780195
2015-03-27,-0.0022927724660722903
2015-03-30,0.02103570708576674
2015-03-31,0.004068762738167253
2015-04-01,-0.023795178147655416
2015-04-02,-0.003797665397941463
2015-04-06,0.014007051008298133
2015-04-07,-0.013725962674921988
2015-04-08,-0.011169117445826715
2015-04-09,0.0013445838231267437
2015-04-10,-0.0013427783450860042
2015-04-13,-0.0024206199041346688
2015-04-14,0.0021567056453681843
2015-04-15,0.023493431266952802
2015-04-16,0.0016646408850193861
2015-04-17,-0.017668125576795424
2015-04-20,0.016294137992160396
2015-04-21,-0.0036796850288629557
2015-04-22,0.002638100666242371
2015-04-23,0.0
2015-04-24,-0.016575967825138815
2015-04-27,0.02416826827006391
2015-04-28,-0.01131970856984632
2015-04-29,-0.010657376697837284
2015-04-30,0.055817879957976935
2015-05-01,0.02225952701256162
2015-05-04,0.008000609917157231
2015-05-05,-0.01644698716616888
2015-05-06,0.005407700856181696
2015-05-07,-0.011667239018964382
2015-05-08,0.005358062797702345
2015-05-11,0.004746654225826541
2015-05-12,0.0083712324762506
2015-05-13,0.01611085674544177
2015-05-14,0.011710040888386342
2015-05-15,-0.00032165734620870357
2015-05-18,0.005548129697755089
2015-05-19,-0.0003998330717389642
2015-05-20,-7.995393343207535e-05
2015-05-21,0.0053598732130002436
2015-05-22,-0.004296763253617386
2015-05-26,-0.011108441098822364
2015-05-27,0.007434866512573413
2015-05-28,-0.006738271313142419
2015-05-29,-0.007511010820326125
2015-06-01,0.007649110552161886
2015-06-02,0.013728530265430416
2015-06-03,0.006133915493596875
2015-06-04,-0.014014082166776465
2015-06-05,0.0051393156601755585
2015-06-08,-0.0014381488556556299
2015-06-09,0.0010400886454247082
2015-06-10,0.012787556003155176
2015-06-11,0.0013416832164676595
2015-06-12,-0.008038286298968411
2015-06-15,-0.01565136408498924
2015-06-16,0.0015335607723312439
2015-06-17,0.004190679125058772
2015-06-18,0.007864520299288413
2015-06-19,-0.009714370274335193
2015-06-22,0.011900062878055007
2015-06-23,-0.002065814562528523
2015-06-24,-0.003344186935381299
2015-06-25,-0.009187483443221178
2015-06-26,0.0056444528955323925
2015-06-29,-0.014512619334827614
2015-06-30,0.014075247181702277
2015-07-01,0.013077299680676058
2015-07-02,-0.0011084068150031268
2015-07-06,-0.005629493626690407
2015-07-07,-0.0017538304938706784
2015-07-08,-0.03578262074067262
2015-07-09,0.006378316222576341
2015-07-10,0.00559707380596719
2015-07-13,0.018253268103678222
2015-07-14,0.004823228340919528
2015-07-15,-0.016880041865261486
2015-07-16,0.0049639778585792715
2015-07-17,0.0019432600908346753
2015-07-20,-0.002909236732614784
2015-07-21,-0.0208301071936986
2015-07-22,-0.004221414093606879
2015-07-23,-0.019950440300304018
2015-07-24,-0.0032229724502989
2015-07-27,-0.01021079578574724
2015-07-28,0.025017345432038818
2015-07-29,-0.024071355630055358
2015-07-30,0.006359618867551875
2015-07-31,-0.0027327027308191587
2015-08-03,-0.01258806304805804
2015-08-04,-0.003034921450706052
2015-08-05,0.009307420355105567
2015-08-06,0.003361377564053969
2015-08-07,-0.004466768784642028
2015-08-10,0.02622958901980077
2015-08-11,-0.018496936151534027
2015-08-12,-0.007709284727196342
2015-08-13,2.410144006592674e-07
2015-08-14,0.00850756527953811
2015-08-17,0.007144422469681055
2015-08-18,-0.011281996523761273
2015-08-19,-0.014436090802991908
2015-08-20,-0.02438392059144079
2015-08-21,-0.02058783936801223
2015-08-24,-0.034606468100331855
2015-08-25,-0.015213252414442713
2015-08-26,0.03408308879282207
2015-08-27,0.03846848754798482
2015-08-28,0.004046049429249576
2015-08-31,0.0014328313285711936
