Date,CAT
2015-01-05,-0.052786064715963366
2015-01-06,-0.006434656915234371
2015-01-07,0.0154964074548809
2015-01-08,0.01024984308300958
2015-01-09,-0.011949278480727799
2015-01-12,-0.008670748318101884
2015-01-13,-0.005984434135075878
2015-01-14,-0.003473420487950629
2015-01-15,-0.012299393570753492
2015-01-16,-0.005455360423737399
2015-01-20,0.001311704979738204
2015-01-21,0.016671972836223237
2015-01-22,0.016985394446935143
2015-01-23,-0.01393711766408079
2015-01-26,0.00490615386089166
2015-01-27,-0.07183523606179032
2015-01-28,0.002003396442721961
2015-01-29,-0.00012481349070703196
2015-01-30,-0.00037473724636949424
2015-02-02,0.010878582700809325
2015-02-03,0.038100068972556356
2015-02-04,-0.023474699033534607
2015-02-05,0.019768336526456265
2015-02-06,-0.004307320170444995
2015-02-09,0.017545403189942244
2015-02-10,-0.009094156351923899
2015-02-11,-0.005840405984775532
2015-02-12,0.001439467168127928
2015-02-13,0.019154152592767426
2015-02-17,0.0029368399658360467
2015-02-18,-0.006793123660808642
2015-02-19,-0.0176890781278084
2015-02-20,0.013685673095192419
2015-02-23,-0.011250427727319101
2015-02-24,0.01209730407421361
2015-02-25,0.00769202545189418
2015-02-26,-0.01585383801418605
2015-02-27,-0.010740382543442673
2015-03-02,0.0012062518797730792
2015-03-03,-0.0019278464398433393
2015-03-04,-0.013399113848853728
2015-03-05,-0.0026916579528788454
2015-03-06,-0.017789317906104385
2015-03-09,0.009367905745672589
2015-03-10,-0.011137043688637327
2015-03-11,-0.0026284300865569987
2015-03-12,0.006148685154404809
2015-03-13,-0.011971843633612478
2015-03-16,0.009340126359064227
2015-03-17,-0.019007332533302335
2015-03-18,0.036711308664412856
2015-03-19,-0.015246704929868349
2015-03-20,0.013735062318180447
2015-03-23,-0.0012320265811751607
2015-03-24,-0.00752264081409737
2015-03-25,-0.007703806581664474
2015-03-26,0.00025059677976257966
2015-03-27,-0.0026295427285042416
2015-03-30,0.021338667210314632
2015-03-31,-0.016468142725829193
2015-04-01,-0.004873257562512667
2015-04-02,0.007534276121455852
2015-04-06,0.015578211294580147
2015-04-07,-0.011657883954302672
2015-04-08,-0.0012417837378981833
2015-04-09,0.0029838621040187974
2015-04-10,0.023797092103552187
2015-04-13,-0.0055686589274202
2015-04-14,0.010469858458808101
2015-04-15,0.02602411946888128
2015-04-16,-0.0014209261469554368
2015-04-17,-0.01256802195049378
2015-04-20,0.015850461421261564
2015-04-21,-0.008037883987615846
2015-04-22,0.011319872474581993
2015-04-23,-0.0009423573683744468
2015-04-24,-0.00224060465090703
2015-04-27,0.00862845829504244
2015-04-28,0.010195780846160352
2015-04-29,0.01508085807973214
2015-04-30,-0.007085767533182352
2015-05-01,0.005640359412931284
2015-05-04,-0.0008012949689619742
2015-05-05,-0.0034364694568367327
2015-05-06,-0.00011492498123633066
2015-05-07,-0.006437564902163961
2015-05-08,0.010182046793276722
2015-05-11,0.01672151094130503
2015-05-12,-0.006871313222668651
2015-05-13,0.003176007975798978
2015-05-14,0.0033917238617939827
2015-05-15,-0.003493265861541861
2015-05-18,-0.001582707279690787
2015-05-19,-0.011893053742087711
2015-05-20,0.007909828320978418
2015-05-21,0.015921347384266316
2015-05-22,-0.007836026400646734
2015-05-26,-0.008913664612261285
2015-05-27,0.0009110594578090048
2015-05-28,-0.021724243125776477
2015-05-29,-0.008022594504640934
2015-06-01,0.0024612948566367088
2015-06-02,0.00748253948483435
2015-06-03,0.0006967673700606358
2015-06-04,-0.008813209783978815
2015-06-05,0.00678554592490066
2015-06-08,0.001161937286048742
2015-06-09,0.006732451017224861
2015-06-10,0.020177796178285634
2015-06-11,-0.0035039773438761967
2015-06-12,-0.0036292483214726
2015-06-15,-0.008195552418170604
2015-06-16,-0.006197825877089946
2015-06-17,0.0076222225836997115
2015-06-18,0.002177658508357938
2015-06-19,0.0009147731784511226
2015-06-22,0.008569407314489075
2015-06-23,0.00203944836343517
2015-06-24,-0.0031659310782266026
2015-06-25,-0.016445017394179473
2015-06-26,0.0011529599214890052
2015-06-29,-0.01750777894375455
2015-06-30,-0.00562668780574993
2015-07-01,-0.010257197673393281
2015-07-02,0.005122139835327388
2015-07-06,-0.014577151518442966
2015-07-07,0.01010199335520423
2015-07-08,-0.02047827902597754
2015-07-09,-0.007050145196856872
2015-07-10,0.005631337569409034
2015-07-13,0.018137373426366565
2015-07-14,0.009803727401659357
2015-07-15,-0.003551904738863798
2015-07-16,0.004437320970263281
2015-07-17,-0.007163581828462884
2015-07-20,-0.010942626142816492
2015-07-21,-0.00036481457250792104
2015-07-22,-0.029919615873707284
2015-07-23,-0.036108581249190586
2015-07-24,-0.010145730985135937
2015-07-27,-0.010249463604882547
2015-07-28,0.03266078665419636
2015-07-29,-0.0057858208848193815
2015-07-30,0.013190321886329626
2015-07-31,0.003573398231910163
2015-08-03,-0.017422887363114703
2015-08-04,-0.008542700750796217
2015-08-05,0.003655163972035025
2015-08-06,0.007544307393180905
2015-08-07,-0.0021946338844670565
2015-08-10,0.03713301388070733
2015-08-11,-0.026447202487056898
2015-08-12,0.01127604716834707
2015-08-13,-0.014697905649785903
2015-08-14,0.009387375508670859
2015-08-17,0.0006373600421833991
2015-08-18,0.0035648780270491898
2015-08-19,-0.017889196958792875
2015-08-20,-0.012918001678351776
2015-08-21,-0.01845304514090096
2015-08-24,-0.029066673411110244
2015-08-25,-0.01043659974685407
2015-08-26,0.025118253065959717
2015-08-27,0.024231564585030396
2015-08-28,0.0038330752402500057
2015-08-31,0.0064511979700903055
