Date,KHC
2015-07-07,0.02288895473547914
2015-07-08,0.010317774936262625
2015-07-09,-0.007957205661927147
2015-07-10,0.03355545776673563
2015-07-13,0.01966131513279401
2015-07-14,-0.010529156299250553
2015-07-15,-0.016538231215745713
2015-07-16,0.02659343212659615
2015-07-17,0.011174616322954689
2015-07-20,0.006028335308030597
2015-07-21,0.0013730762797259377
2015-07-22,-0.0196961507205613
2015-07-23,-0.01728767342076054
2015-07-24,-0.004300152270453439
2015-07-27,0.012694838992649116
2015-07-28,0.012147825685757896
2015-07-29,-0.0052350963061083
2015-07-30,0.016686000850439475
2015-07-31,0.0032822233364186992
2015-08-03,0.011325152429412233
2015-08-04,-0.006967699546437167
2015-08-05,0.008394762749824647
2015-08-06,-0.008946144458259253
2015-08-07,-0.016298901348377748
2015-08-10,0.004460758691810174
2015-08-11,-0.01065861735463769
2015-08-12,-0.0164166853275739
2015-08-13,-0.009127504219815341
2015-08-14,0.005658851999379433
2015-08-17,-0.008113110572028459
2015-08-18,-0.008047408026736536
2015-08-19,-0.0054530997038368945
2015-08-20,-0.007087583276470633
2015-08-21,-0.02666655248309202
2015-08-24,-0.019371796507910655
2015-08-25,-0.009312812735648879
2015-08-26,0.052699343384209785
2015-08-27,0.01718287728169199
2015-08-28,-0.006517882839195632
2015-08-31,-0.027178651908998375
2015-09-01,-0.03495752514534356
2015-09-02,0.02780964576424405
2015-09-03,0.001248791113865444
2015-09-04,-0.022034675486443778
2015-09-08,0.049596055686219165
2015-09-09,-0.02565135298482668
2015-09-10,-0.00013822106738026196
2015-09-11,0.02217275397711327
2015-09-14,0.010710335803850057
2015-09-15,0.011267838181082679
2015-09-16,0.012998911205483799
2015-09-17,0.0007856267804549066
2015-09-18,-0.012953314684924
2015-09-21,-0.00318140258236288
2015-09-22,-0.011834869431047834
2015-09-23,-0.013456868122723842
2015-09-24,-0.005320082661529391
2015-09-25,0.005896854997334833
2015-09-28,-0.04580776289422961
2015-09-29,-0.011287247282582458
2015-09-30,0.019941890176040866
2015-10-01,0.00354213316820573
2015-10-02,0.008188585199204734
2015-10-05,0.011623121385772262
2015-10-06,0.0031839986885759952
2015-10-07,0.009383225223969172
2015-10-08,0.017498252120641933
2015-10-09,-0.0005374287752079043
2015-10-12,-0.009006792088138371
2015-10-13,-0.004611864601523741
2015-10-14,0.005314690696099467
2015-10-15,0.01965583721342168
2015-10-16,0.028848431980492473
2015-10-19,-0.007623298847968529
2015-10-20,0.0009113440303964992
2015-10-21,0.0023415499945398377
2015-10-22,0.03750826013035713
2015-10-23,-0.02451845281992815
2015-10-26,-0.01500398692435434
2015-10-27,0.00468713853439251
2015-10-28,0.026046299543330154
