Date,GS
2015-01-05,-0.031222851809402874
2015-01-06,-0.020228959537295643
2015-01-07,0.014902436502936212
2015-01-08,0.015965407148260224
2015-01-09,-0.015346631918756293
2015-01-12,-0.012169520616417517
2015-01-13,-0.0007567506694742265
2015-01-14,-0.025414969566935453
2015-01-15,-0.00965387484321023
2015-01-16,-0.007059412125214659
2015-01-20,-0.009028011881684006
2015-01-21,0.008654618151884064
2015-01-22,0.027603647092191874
2015-01-23,-0.008514694686742597
2015-01-26,-0.00038782080390220575
2015-01-27,-0.02178217224155088
2015-01-28,-0.019491353672023037
2015-01-29,0.01698930921614772
2015-01-30,-0.020342527662363774
2015-02-02,0.017864810904133277
2015-02-03,0.027067016434359603
2015-02-04,-0.008100008198452135
2015-02-05,0.011130881327102271
2015-02-06,0.014714775288799942
2015-02-09,-0.006596603430962578
2015-02-10,0.012842064350252036
2015-02-11,0.016742025194476762
2015-02-12,0.011351086814806566
2015-02-13,-0.004110031952624271
2015-02-17,0.0053968230630041525
2015-02-18,-0.007104570382972852
2015-02-19,0.002332423664551442
2015-02-20,0.012690801618740144
2015-02-23,-0.006266126854753695
2015-02-24,0.010036613195549604
2015-02-25,-0.0026012418365646273
2015-02-26,0.005650690230763811
2015-02-27,-0.012539336373443954
2015-03-02,0.010538253203291603
2015-03-03,-0.00271114823568952
2015-03-04,-0.008364973542395071
2015-03-05,0.0021613842095795643
2015-03-06,-0.016677132545489193
2015-03-09,0.005456714156803377
2015-03-10,-0.027775915846783517
2015-03-11,0.00804560950995814
2015-03-12,0.031327813691246265
2015-03-13,-0.00321128436002327
2015-03-16,0.013520386702356557
2015-03-17,-0.006930437636644138
2015-03-18,0.009183215551572976
2015-03-19,-0.012219487510290894
2015-03-20,0.016634275413832222
2015-03-23,-0.006058146733743164
2015-03-24,-0.0035424330928190972
2015-03-25,-0.020545665749418296
2015-03-26,-0.0005872497469870952
2015-03-27,0.00437937072374317
2015-03-30,0.015739749411309623
2015-03-31,-0.015967067769620535
2015-04-01,0.022663099955668287
2015-04-02,-0.00353716609578536
2015-04-06,0.0026103800177432745
2015-04-07,0.0017701912962491129
2015-04-08,0.0008835802727131803
2015-04-09,0.012100059507851979
2015-04-10,0.003848370181133598
2015-04-13,-0.0003065362835058538
2015-04-14,0.010941743501285295
2015-04-15,0.017095068944204206
2015-04-16,-0.00442564156165981
2015-04-17,-0.014284953017034696
2015-04-20,0.003800493036934416
2015-04-21,-0.006360817192243573
2015-04-22,0.007519030784541636
2015-04-23,0.004991857357706575
2015-04-24,-0.006622812594556993
2015-04-27,-0.007424778479959593
2015-04-28,0.004936049937110054
2015-04-29,0.005417912862446528
2015-04-30,-0.010777811587858399
2015-05-01,0.00565116521513076
2015-05-04,0.008960845692486119
2015-05-05,-0.010085641076837293
2015-05-06,-0.005270946957431799
2015-05-07,0.005808659588589782
2015-05-08,0.01575551742756298
2015-05-11,0.006134941261697335
2015-05-12,-0.005948520997691831
2015-05-13,0.004487878220485131
2015-05-14,0.0059077608018951455
2015-05-15,0.0017276380706323646
2015-05-18,0.008326074250504023
2015-05-19,0.00361572841402813
2015-05-20,-0.0015578143686709733
2015-05-21,-0.0006340463060984236
2015-05-22,0.013905903613863568
2015-05-26,-0.006833405828229333
2015-05-27,0.012985591326444945
2015-05-28,0.000336101439962766
2015-05-29,-0.010984425759918981
2015-06-01,0.007857001167030031
2015-06-02,-0.006640780799731072
2015-06-03,0.009010285059343426
2015-06-04,0.002784691355237623
2015-06-05,0.007564297061024794
