Date,EXR
2015-01-05,0.022056287094404103
2015-01-06,0.021746604659578894
2015-01-07,0.014459377574587373
2015-01-08,0.015054945664256802
2015-01-09,-0.003787098192397198
2015-01-12,0.014254190563459446
2015-01-13,0.0010930996341655952
2015-01-14,0.010450889442681133
2015-01-15,0.009879555128229578
2015-01-16,0.01956589412755161
2015-01-20,-0.006296872409930487
2015-01-21,-0.0021122300063540767
2015-01-22,0.012246235027175256
2015-01-23,-0.006720756560114949
2015-01-26,0.003458605476970744
2015-01-27,0.001947944248526845
2015-01-28,0.0055338907062640885
2015-01-29,0.0023800681934598167
2015-01-30,-0.020626478158430217
2015-02-02,0.0022728924493926606
2015-02-03,0.007860687403898226
2015-02-04,0.0
2015-02-05,0.019499494274531015
2015-02-06,-0.02648229630826049
2015-02-09,-0.010881411918514106
2015-02-10,-0.003513836547261673
2015-02-11,-0.005060180885991028
2015-02-12,0.01171246969047246
2015-02-13,-0.004874442718514671
2015-02-17,-0.009643210856973838
2015-02-18,0.011591679972381641
2015-02-19,-0.025821003622020222
2015-02-20,0.028387576146217564
2015-02-23,0.007625423916170382
2015-02-24,-0.010746005819214255
2015-02-25,0.01499398574571753
2015-02-26,-0.013416112010974923
2015-02-27,0.005042058964028762
2015-03-02,0.010793721239154452
2015-03-03,-0.003910455425032544
2015-03-04,-0.013890740273737379
2015-03-05,0.008268053154396382
2015-03-06,-0.024753060032269847
2015-03-09,0.0017124410310400684
2015-03-10,-0.005906997044157758
2015-03-11,0.0009384234590670282
2015-03-12,0.021718612505194024
2015-03-13,-0.0036968407837094652
2015-03-16,0.005875000374937933
2015-03-17,0.0007684149505484683
2015-03-18,0.022116491277537564
2015-03-19,0.005710418108486381
2015-03-20,0.03421472175682494
2015-03-23,0.0011554628914551834
2015-03-24,-0.012698222253683666
2015-03-25,-0.018708108383560962
2015-03-26,0.0016383222767495376
2015-03-27,-0.004014759028324155
2015-03-30,0.019110314397443817
2015-03-31,-0.010108533497281691
2015-04-01,-0.003403783078640199
2015-04-02,0.007870700468223468
2015-04-06,0.007808746276060763
2015-04-07,-0.009795293273694994
2015-04-08,0.007086930001732661
2015-04-09,-0.019058667213850855
2015-04-10,0.002540655626340982
2015-04-13,-0.0028323602362932965
2015-04-14,0.0011957115150607045
2015-04-15,-0.012841547988072244
2015-04-16,0.0015128402769177818
2015-04-17,-0.005890520046856307
2015-04-20,0.006077349182971981
2015-04-21,0.009966584131480438
2015-04-22,0.001345656639579751
2015-04-23,0.005375641433865264
2015-04-24,0.004158589005643254
2015-04-27,-0.012128458206859483
2015-04-28,0.0008983133221260875
2015-04-29,-0.026327371843219538
2015-04-30,0.01290484989561902
2015-05-01,0.00910064806931965
2015-05-04,0.0028561092493448736
2015-05-05,-0.01588751395532728
2015-05-06,-0.0013706598094279654
2015-05-07,0.021656240167301943
2015-05-08,0.022690073228457397
2015-05-11,-0.0067143242963778604
2015-05-12,0.012637986536945256
2015-05-13,-0.005224461862088026
2015-05-14,0.02946753564109983
2015-05-15,0.023381257668181554
2015-05-18,-0.008308100230787763
2015-05-19,-0.006701775443040403
2015-05-20,-0.0018276431810310134
2015-05-21,-0.007745329458300754
2015-05-22,0.0045412217455960135
2015-05-26,-0.002401429329734639
2015-05-27,0.004956667235550327
2015-05-28,-0.004509848738487476
2015-05-29,-0.008634940663326263
2015-06-01,0.003998412824429254
2015-06-02,-0.016213930347474204
2015-06-03,-0.01402391098500022
2015-06-04,-0.008504328442603515
2015-06-05,-0.015231925481001163
2015-06-08,-0.0024029463000145856
2015-06-09,-0.009031898561968843
2015-06-10,0.01078522584213748
2015-06-11,0.01743739059510019
2015-06-12,0.001490158241705064
2015-06-15,-0.0014879409741991312
2015-06-16,0.02041729670884629
2015-06-17,0.002483062841084127
2015-06-18,0.013257717039999006
2015-06-19,-0.00934600553153353
2015-06-22,-0.010885405304030704
2015-06-23,-0.014526801331345984
2015-06-24,-0.013549714955102043
2015-06-25,-0.012678922936724901
2015-06-26,0.0035158314043814975
2015-06-29,-0.009140488729230345
2015-06-30,0.0027672396666067467
2015-07-01,0.02468589718102665
2015-07-02,0.008678821060765785
2015-07-06,-0.0013352190324009694
2015-07-07,0.01812231168952838
2015-07-08,0.0039393772279532335
2015-07-09,0.0013079731430365449
2015-07-10,0.00986930656184648
2015-07-13,0.001724612226760014
2015-07-14,-0.0018649425328126634
2015-07-15,0.0
2015-07-16,0.011498802264034547
2015-07-17,-0.0028419036233899853
2015-07-20,0.008693053472809575
2015-07-21,-0.007064107891015747
2015-07-22,0.008964463589312466
2015-07-23,-0.0008463647996539425
2015-07-24,0.0018350594446046031
2015-07-27,0.002676763904438939
2015-07-28,-0.002529432725287606
2015-07-29,0.0022541463965426445
2015-07-30,0.023611945904174148
2015-07-31,0.009473736459220783
2015-08-03,0.01224201776322964
2015-08-04,-0.0014781650083357523
2015-08-05,0.005113772718945198
2015-08-06,0.0087023944254776
2015-08-07,0.004778425737402614
2015-08-10,-0.005283902531354023
2015-08-11,0.010756875169861457
2015-08-12,0.007751926793156949
2015-08-13,0.007170838451813433
2015-08-14,0.015533931144535496
2015-08-17,0.0031867623412020762
2015-08-18,-0.00215980746236899
2015-08-19,-0.0010190325990389049
2015-08-20,-0.007265860156562831
2015-08-21,-0.017334254820825956
2015-08-24,-0.05631760499190697
2015-08-25,-0.030324049280174514
2015-08-26,0.029701683232149723
2015-08-27,0.023990759281993013
2015-08-28,0.003927449401146976
2015-08-31,-0.008767988227430412
2015-09-01,-0.013473369304586869
2015-09-02,0.014898574419091704
