Date,ATO
2015-01-05,-0.018068118017764978
2015-01-06,-0.006194239319786354
2015-01-07,0.014298948111227894
2015-01-08,0.0066870432290730975
2015-01-09,-0.00807896456263324
2015-01-12,0.0016288997375344394
2015-01-13,0.004879018929480283
2015-01-14,0.027513180982792207
2015-01-15,0.0029749055736556507
2015-01-16,0.02024095400864878
2015-01-20,-0.004275951692920388
2015-01-21,0.006698710641018568
2015-01-22,0.0005120632876645104
2015-01-23,0.00034131267781956076
2015-01-26,0.0025569587171021535
2015-01-27,-0.005781359436819011
2015-01-28,-0.015905655084113013
2015-01-29,0.019986040322996557
2015-01-30,-0.030328819571237897
2015-02-02,0.01036719430272015
2015-02-03,0.0073042809512327
2015-02-04,-0.02002744227637865
2015-02-05,0.011980156679056497
2015-02-06,-0.04091192413189204
2015-02-09,-0.010891433167496523
2015-02-10,0.008441927348283418
2015-02-11,-0.026751744967091984
2015-02-12,-0.00579636813920259
2015-02-13,-0.012225147923956792
2015-02-17,0.00038089749417036245
2015-02-18,0.01884247129888661
2015-02-19,-0.005268716102010407
2015-02-20,0.001324155625568535
2015-02-23,0.003778417372138243
2015-02-24,0.003764378530512591
2015-02-25,-0.0033750426894544328
2015-02-26,-0.012417524120527657
2015-02-27,0.01047809470780292
2015-03-02,-0.01734548233820765
2015-03-03,0.022448292067412945
2015-03-04,-0.0031901459711518587
2015-03-05,0.00583561259174914
2015-03-06,-0.022833786753571728
2015-03-09,-0.0005742933964771879
2015-03-10,-0.00306631176487826
2015-03-11,0.0005765785727966932
2015-03-12,0.02593671462275937
2015-03-13,-0.00580528890346621
2015-03-16,0.014880446667313807
2015-03-17,0.006867192133712896
2015-03-18,0.0259908336281085
2015-03-19,-0.008444433446460509
2015-03-20,0.011958889519677163
2015-03-23,-0.007520292213470836
2015-03-24,-0.004329833973834019
2015-03-25,-0.009965402027204973
2015-03-26,-0.013726058773661398
2015-03-27,0.013360242574702585
2015-03-30,0.014100114443695855
2015-03-31,-0.0014446103071092953
2015-04-01,0.009403374821304267
2015-04-02,0.0023289437740805496
2015-04-06,0.00822170987786297
2015-04-07,-0.015423323398778055
2015-04-08,-0.002700446460096151
2015-04-09,-0.0064993966445766604
2015-04-10,0.006178820571903776
2015-04-13,-0.01480957255994586
2015-04-14,0.006049103199700756
2015-04-15,-0.0020041251925452253
2015-04-16,-0.0091290155304109
2015-04-17,-0.004422111493439962
2015-04-20,0.014991460183046978
2015-04-21,-0.0036470873443129603
2015-04-22,-0.0018301292514257828
2015-04-23,0.013751493948891413
2015-04-24,0.007053540139888792
2015-04-27,-0.005747307418930037
2015-04-28,0.007406348048775602
2015-04-29,-0.004124517046780629
2015-04-30,-0.027727591188214884
2015-05-01,0.005740877249313714
2015-05-04,-0.000736355966057145
2015-05-05,-0.03261469221704416
2015-05-06,0.0024761285614582906
2015-05-07,0.015960423376622845
2015-05-08,0.008228806981012804
2015-05-11,-0.005564824777281929
2015-05-12,-0.012497470687073853
2015-05-13,-0.008311279738908772
2015-05-14,0.01714274337852384
2015-05-15,0.00823959376971617
2015-05-18,0.009843975429704388
2015-05-19,-0.0014711766340822496
2015-05-20,-0.00018442667011164815
2015-05-21,-0.005566843649949749
2015-05-22,-0.0016794834997826413
2015-05-26,-0.005607061908804778
2015-05-27,0.003946974566473527
2015-05-28,0.01085969383424068
2015-05-29,0.0005554106055223329
2015-06-01,0.0012961064116021603
2015-06-02,-0.016454009456797203
2015-06-03,-0.009962640326644623
2015-06-04,-0.0060755563076246855
2015-06-05,-0.017382905019260098
2015-06-08,-0.0007776038038390665
2015-06-09,-0.0005838689710858658
2015-06-10,0.0035042220953553915
2015-06-11,0.007759539042500041
2015-06-12,-0.009047262840594317
2015-06-15,-0.0007769996059898698
2015-06-16,0.00972009468120505
2015-06-17,0.003465391781404037
2015-06-18,0.014773462473049559
2015-06-19,-0.003592379896901643
2015-06-22,0.0009491104723184929
2015-06-23,-0.00436038949160289
2015-06-24,-0.010852785609242854
2015-06-25,-0.0053899758862867575
2015-06-26,0.0015482849914238983
2015-06-29,-0.006183940850206571
2015-06-30,-0.0029162289887493253
2015-07-01,0.0039002450347902506
2015-07-02,0.01340312546184097
2015-07-06,0.004983653805131771
2015-07-07,0.026702419474101458
2015-07-08,0.0
2015-07-09,-0.016533484765664852
2015-07-10,0.0073664757572382555
2015-07-13,0.0037505028190600864
2015-07-14,0.0013076081324439048
2015-07-15,0.001679260517429615
2015-07-16,0.02775166391398587
2015-07-17,-0.0184847150712113
2015-07-20,-0.003323615207334707
2015-07-21,-0.0070396794262614915
2015-07-22,0.010447927951563685
2015-07-23,-0.011078359228887558
2015-07-24,0.004481039981523605
2015-07-27,0.009107770203341747
2015-07-28,0.0012894816099933148
2015-07-29,0.005886315120170904
2015-07-30,0.0
2015-07-31,0.011338728141621734
2015-08-03,0.00036161934968670373
2015-08-04,-0.011930176595609798
2015-08-05,0.005671081361822372
2015-08-06,-0.0016373207148813185
2015-08-07,0.013666274299893866
2015-08-10,-0.006651056909888764
2015-08-11,0.00524788985336877
2015-08-12,0.03150304290904171
2015-08-13,-0.003141230462936906
2015-08-14,0.005252051260196788
2015-08-17,0.00783712812319104
2015-08-18,-0.009849879230028336
2015-08-19,0.0029671548934910863
2015-08-20,-0.0143659566770159
2015-08-21,-0.012975551870148316
2015-08-24,-0.003961948434565876
2015-08-25,-0.015006288611570051
2015-08-26,0.008259873924099104
2015-08-27,0.0076462355257633785
2015-08-28,0.004155645404996466
2015-08-31,-0.01421407971600086
2015-09-01,-0.021901793406510772
