Date,BLK
2015-01-05,-0.02587426982347152
2015-01-06,-0.015539274764435618
2015-01-07,0.02116290942704757
2015-01-08,0.011679822988565736
2015-01-09,-0.011855686629195117
2015-01-12,-0.00658582664077878
2015-01-13,0.003026529981956516
2015-01-14,-0.006408971074226777
2015-01-15,-0.009544091402498456
2015-01-16,0.016410904767875545
2015-01-20,-0.004251593548022292
2015-01-21,0.008395990966793221
2015-01-22,0.03230318130100929
2015-01-23,-0.015715317302011922
2015-01-26,0.00639229194627422
2015-01-27,-0.016536954483800215
2015-01-28,-0.01835066510146477
2015-01-29,0.005535713771299244
2015-01-30,-0.01853372564406741
2015-02-02,0.0209391287453371
2015-02-03,0.01527489644351232
2015-02-04,-0.006148181757559268
2015-02-05,0.022920540772795928
2015-02-06,0.010060130316886129
2015-02-09,-0.004304507249101697
2015-02-10,0.027157189780611768
2015-02-11,-0.0020775936724455324
2015-02-12,0.01346314820555139
2015-02-13,0.003094756105941787
2015-02-17,0.011407795243930874
2015-02-18,-0.006494181213632544
2015-02-19,-0.0006617122596479508
2015-02-20,-0.0025684781869397266
2015-02-23,-0.0005580861960804429
2015-02-24,0.004463063573070247
2015-02-25,-0.005791439008405175
2015-02-26,-0.0023946261889316034
2015-02-27,-0.009598952409788253
2015-03-02,0.0134614594153466
2015-03-03,-0.007332134828897274
2015-03-04,-0.006299521912613404
2015-03-05,0.0021675106820275847
2015-03-06,-0.012083301636578225
2015-03-09,-0.0024075227271399546
2015-03-10,-0.023039572219645033
2015-03-11,0.006232597530397399
2015-03-12,0.02873811538784743
2015-03-13,-0.002631209391525502
2015-03-16,0.01724089934666928
2015-03-17,0.00048107239521444356
2015-03-18,0.009351635498596744
2015-03-19,-0.020674402822365212
2015-03-20,0.023489438481520075
2015-03-23,-0.011382790391744502
2015-03-24,-0.013971246154148353
2015-03-25,-0.014034600383496798
2015-03-26,-0.004863357763077003
2015-03-27,-0.0014360801886745822
2015-03-30,0.017891565929264663
2015-03-31,-0.006139819078279762
2015-04-01,-0.008938397315931046
2015-04-02,0.01056353459137882
2015-04-06,0.0015831773277270589
2015-04-07,0.004468454464910954
2015-04-08,0.002956853485851063
2015-04-09,0.004922968500399749
2015-04-10,-0.005598444384821155
2015-04-13,0.0006497181487794546
2015-04-14,0.010738781142673792
2015-04-15,0.008028755046334046
2015-04-16,-0.011894375660708278
2015-04-17,-0.01821658805390458
2015-04-20,0.01179480018047152
2015-04-21,-0.005923427569778261
2015-04-22,0.00541486078100295
2015-04-23,0.006548967663669858
2015-04-24,0.0028234174892689534
2015-04-27,-0.00292228818046969
2015-04-28,0.016026162560521362
2015-04-29,-0.02958862628172798
2015-04-30,-0.007445242948104114
2015-05-01,0.012913934903376889
2015-05-04,0.004421958785568503
2015-05-05,-0.011397458421213424
2015-05-06,-0.007238982635771052
2015-05-07,0.0062740460777586105
2015-05-08,0.011923040297993293
2015-05-11,-0.006107630158319832
2015-05-12,-0.007096383832999487
2015-05-13,-0.0001098621700603708
2015-05-14,0.017363702357067634
2015-05-15,-0.0016689300344309155
2015-05-18,-0.0003780421360840558
2015-05-19,0.0009986133923587381
2015-05-20,-0.002236809772430126
2015-05-21,-0.005482541472949021
2015-05-22,-0.00038031286771356143
2015-05-26,-0.008285985534881135
2015-05-27,0.009999016816764517
2015-05-28,0.002251048817001333
2015-05-29,-0.010094506703588912
2015-06-01,-0.004128252454891457
2015-06-02,-0.002388001399728168
2015-06-03,0.004264924325654729
2015-06-04,-0.01950953718608528
2015-06-05,-0.0009278546608458837
2015-06-08,-0.0052629472460352655
2015-06-09,-0.002036758347652712
2015-06-10,0.008164329034510587
2015-06-11,0.0033751205932841533
2015-06-12,-0.009473312536959155
2015-06-15,0.005234737896301134
2015-06-16,0.005629206991588198
2015-06-17,5.6077023000700166e-05
2015-06-18,0.010020072249543377
2015-06-19,-0.004683289576039362
2015-06-22,-0.000640909540321255
2015-06-23,0.0033156054525818046
2015-06-24,-0.01271694118868738
2015-06-25,-0.012486980874273135
2015-06-26,0.009512103598018573
2015-06-29,-0.028013524389495115
2015-06-30,0.004179542929764191
2015-07-01,0.004103670798875303
2015-07-02,-0.005756669524627833
2015-07-06,-0.00749855525795684
2015-07-07,-0.0005831797172179964
2015-07-08,-0.02478062387909752
2015-07-09,0.0082907980301683
2015-07-10,0.007628382180804527
2015-07-13,0.014140222269953151
2015-07-14,-0.00444437597638303
2015-07-15,0.010970439566069912
2015-07-16,0.022482951193042444
2015-07-17,0.000733732663389608
2015-07-20,-0.0040614354438526235
2015-07-21,-0.0036249612549027477
2015-07-22,-0.005173157688574737
2015-07-23,-0.010171704404476123
2015-07-24,-0.014518920022225545
2015-07-27,-0.015143380331670953
2015-07-28,0.001784425759102426
2015-07-29,0.008906819414090661
2015-07-30,-0.003207602067763493
2015-07-31,-0.007173530268234196
2015-08-03,-0.004817141360671906
2015-08-04,-0.006752111010353001
2015-08-05,0.00676846924019836
2015-08-06,-0.004840483196167367
2015-08-07,-0.003662852448555798
2015-08-10,0.011269859872551136
2015-08-11,-0.016657165165741672
2015-08-12,-0.008696681132961293
2015-08-13,-0.0037294819051196804
2015-08-14,0.006842185960497682
2015-08-17,0.0036270170388750245
2015-08-18,-0.0018527011067597243
2015-08-19,-0.016609892354278455
2015-08-20,-0.01917957730239661
2015-08-21,-0.030877506783227204
2015-08-24,-0.0263609090163488
2015-08-25,-0.015074911352727094
2015-08-26,0.02860905396978186
2015-08-27,0.037546765525824144
2015-08-28,-0.010303126834813714
2015-08-31,-0.021291398864072497
